#SampleID	BarcodeSequence	LinkerPrimerSequence	lowry_sample_ID	orig_lowry_sample_id	sampling_date	reactor	noodle	quarter	1-4-Dioxane_sed_tank_ug_per_L	1-4-Dioxane_sed_tank_sampling_date	Tetrahydrofuran_sed_tank_ug_per_L	Tetrahydrofuran_sed_tank_sampling_date	total_N_sed_tank_ug_per_L	total_N_sed_tank_sampling_date	1-2-Dichloroethane_sed_tank_ug_per_L	1-2-Dichloroethane_sed_tank_sampling_date
CM001			01-18-22_R1_N006_C	01-17-22:R1:N006:C	2022-01-18	R1	2022-01-18_R1_N006	C	15000.0	2022-01-18	16000.0	2022-01-18	82.0	2022-01-18	5600.0	2022-01-18
CM002			01-18-22_R2_N001_C	01-18-22:R2:N001:C	2022-01-18	R2	2022-01-18_R2_N001	C	15000.0	2022-01-18	16000.0	2022-01-18	82.0	2022-01-18	5600.0	2022-01-18
CM003			01-18-22_R2_N001_D	01-18-22:R2:N001:D	2022-01-18	R2	2022-01-18_R2_N001	D	15000.0	2022-01-18	16000.0	2022-01-18	82.0	2022-01-18	5600.0	2022-01-18
CM004			01-18-22_R2_N002_C	01-18-22:R2:N002:C	2022-01-18	R2	2022-01-18_R2_N002	C	15000.0	2022-01-18	16000.0	2022-01-18	82.0	2022-01-18	5600.0	2022-01-18
CM005			01-18-22_R2_N002_D	01-18-22:R2:N002:D	2022-01-18	R2	2022-01-18_R2_N002	D	15000.0	2022-01-18	16000.0	2022-01-18	82.0	2022-01-18	5600.0	2022-01-18
CM006			01-18-22_R2_N003_C	01-18-22:R2:N003:C	2022-01-18	R2	2022-01-18_R2_N003	C	15000.0	2022-01-18	16000.0	2022-01-18	82.0	2022-01-18	5600.0	2022-01-18
CM007			01-18-22_R2_N003_D	01-18-22:R2:N003:D	2022-01-18	R2	2022-01-18_R2_N003	D	15000.0	2022-01-18	16000.0	2022-01-18	82.0	2022-01-18	5600.0	2022-01-18
CM008			01-18-22_R2_N004_C	01-18-22:R2:N004:C	2022-01-18	R2	2022-01-18_R2_N004	C	15000.0	2022-01-18	16000.0	2022-01-18	82.0	2022-01-18	5600.0	2022-01-18
CM009			01-25-22_R1_N003_C	01-25-22:R1:N003:C	2022-01-25	R1	2022-01-25_R1_N003	C	16000.0	2022-01-25	23000.0	2022-01-25	84.0	2022-01-25	6300.0	2022-01-25
CM010			01-25-22_R1_N004_D	01-25-22:R1:N004:D	2022-01-25	R1	2022-01-25_R1_N004	D	16000.0	2022-01-25	23000.0	2022-01-25	84.0	2022-01-25	6300.0	2022-01-25
CM011			01-25-22_R1_N005_C	01-25-22:R1:N005:C	2022-01-25	R1	2022-01-25_R1_N005	C	16000.0	2022-01-25	23000.0	2022-01-25	84.0	2022-01-25	6300.0	2022-01-25
CM012			01-25-22_R1_N005_D	01-25-22:R1:N005:D	2022-01-25	R1	2022-01-25_R1_N005	D	16000.0	2022-01-25	23000.0	2022-01-25	84.0	2022-01-25	6300.0	2022-01-25
CM013			01-25-22_R1_N006_D	01-25-22:R1:N006:D	2022-01-25	R1	2022-01-25_R1_N006	D	16000.0	2022-01-25	23000.0	2022-01-25	84.0	2022-01-25	6300.0	2022-01-25
CM014			01-25-22_R2_N001_A	01-25-22:R2:N001:A	2022-01-25	R2	2022-01-25_R2_N001	A	16000.0	2022-01-25	23000.0	2022-01-25	84.0	2022-01-25	6300.0	2022-01-25
CM015			01-25-22_R2_N001_B	01-25-22:R2:N001:B	2022-01-25	R2	2022-01-25_R2_N001	B	16000.0	2022-01-25	23000.0	2022-01-25	84.0	2022-01-25	6300.0	2022-01-25
CM016			01-25-22_R2_N001_C	01-25-22:R2:N001:C	2022-01-25	R2	2022-01-25_R2_N001	C	16000.0	2022-01-25	23000.0	2022-01-25	84.0	2022-01-25	6300.0	2022-01-25
CM017			01-25-22_R2_N002_A	01-25-22:R2:N002:A	2022-01-25	R2	2022-01-25_R2_N002	A	16000.0	2022-01-25	23000.0	2022-01-25	84.0	2022-01-25	6300.0	2022-01-25
CM018			01-25-22_R2_N002_B	01-25-22:R2:N002:B	2022-01-25	R2	2022-01-25_R2_N002	B	16000.0	2022-01-25	23000.0	2022-01-25	84.0	2022-01-25	6300.0	2022-01-25
CM019			01-25-22_R2_N002_C	01-25-22:R2:N002:C	2022-01-25	R2	2022-01-25_R2_N002	C	16000.0	2022-01-25	23000.0	2022-01-25	84.0	2022-01-25	6300.0	2022-01-25
