	CM006	CM007	CM009	CM018	CM021	CM025	CM033	CM039	CM040	CM041	CM048	CM064	CM068	CM078	CM081	CM084	CM085	CM086	CM089	CM095	CM096	CM107	CM110	CM113	CM117	CM118	CM126	CM130	CM145	CM153	CM154	CM155	CM156	CM159	CM160	CM165	CM166	CM168	CM171	CM176	CM179	CM181	CM182	CM183	CM184	CM185	CM190	CM194	CM196	CM198	CM199	CM213	CM215	CM217	CM219	CM221	CM222	CM227	CM228	CM229	CM230	CM244	CM246	CM247	CM250	CM253	CM254	CM255	CM257	CM259	CM260	CM261	CM262	CM263	CM264	CM265	CM266	CM268	CM271	CM273	CM279	CM293	CM297	CM298	CM316	CM324	CM337	CM338	CM341	CM348	CM360	CM362	CM371	CM372	CM383	CM387	CM396	CM404	CM405	CM406	CM411	CM434	CM436	CM437	CM438	CM439	CM441	CM442	CM443	CM444	CM445	CM448	CM449	CM451	CM452	CM455	CM457	CM459	CM461	CM469	CM471	CM476	CM482	CM485	CM486	CM489	CM501	CM503	CM515	CM517	CM518	CM520	CM521	CM522	CM524	CM526	CM531	CM534	CM535	CM538	CM539	CM540	CM544	CM545	CM547	CM548	CM549	CM554	CM557
CM006	0.0	0.6001880974085737	0.43164837924818733	0.5396535315354234	0.43995417282785876	0.41371696766543486	0.5785655241589684	0.4563668321033891	0.5513302840228754	0.31453970966344996	0.7087189828393565	0.5151246276790552	0.5532172626613815	0.6274740587002267	0.37512653618583025	0.5887810757109642	0.41055550266611573	0.5105227549813002	0.5439882367170747	0.5543894569173193	0.5091305698258435	0.4741852777326102	0.5520164736548838	0.4484218598934297	0.43177798799155465	0.5134249341110747	0.5685436448800728	0.4218562061306917	0.46227561373208387	0.41530220040436705	0.5942497249797256	0.5971744154137028	0.49397245586661087	0.5039348705436469	0.5805395773726186	0.5543324569928005	0.4654101510897336	0.4415506315727778	0.421668803818046	0.5093091404164236	0.473435203267375	0.5546650243867974	0.5093689643345702	0.44070611965052153	0.3136933379492613	0.5679722943154172	0.4018050636481647	0.505808808789697	0.4928341453503702	0.4455991340377328	0.5009521739039021	0.4283204925705612	0.33964337512082265	0.5118692126700778	0.24965671262123518	0.4863028118607583	0.47400854672358567	0.5910171115533235	0.5643956050255674	0.33304450790682877	0.4195405647279273	0.42371922222341446	0.5425243707101967	0.7278620718659977	0.5329324139846314	0.49526403820060283	0.3034778566509646	0.5188257876884099	0.5369619566703099	0.5330864033658539	0.5668747144768016	0.5063220549006703	0.4489093694152164	0.4110976229527878	0.4544541985353347	0.4418713458189839	0.4858104133957417	0.7234710187752992	0.5656859710558958	0.542149558544876	0.561497368092336	0.37738297153614664	0.42755379017271583	0.4232657917210265	0.5431737315932634	0.3300025352539765	0.4799751947781792	0.4863028118607583	0.4321776954421553	0.4650737284940997	0.5682896575217071	0.43254348906447576	0.37541592934960355	0.3669320411701672	0.4695891467312053	0.49096766696034394	0.41684514842399734	0.7268733700561651	0.4381756519568174	0.4553885504805297	0.4599358965296748	0.3505941839911516	0.3782625503821112	0.3461807910529265	0.39698861059542	0.6311880796397792	0.5697865628816631	0.7479912503644359	0.5443233182303755	0.4620370083556289	0.43326385064168654	0.4022535919334575	0.44100981276914547	0.7821980842291892	0.4617644978504531	0.47678972592183355	0.47879739235184976	0.6259249291270307	0.4982744797019024	0.40688824828617687	0.2991093019256271	0.3731029046218408	0.522198434879815	0.5692986946492464	0.34881382630221464	0.4193403976082101	0.7162768361913888	0.46245156057747083	0.42616532388172595	0.4616275598974488	0.307072110917705	0.7108602667737487	0.4551090031586673	0.4822209589965756	0.4810058165043965	0.454225816027446	0.45741526367479457	0.46933890328473105	0.42216583202511704	0.36483984858722046	0.44442278742358304	0.521306861031562	0.4863028118607583	0.42871054786844165	0.554010315116788	0.5605489095433247	0.43441876331875046	0.4984129398685717	0.4427158255355505
CM007	0.6001880974085737	0.0	0.624684160812153	0.16175560576532994	0.4897702829625137	0.5121950882646229	0.4608829253551304	0.6814076453844522	0.19120747318330258	0.5123569932294691	0.7128648163562148	0.31682517965172674	0.5052342141017068	0.4925340280585008	0.3492520134888243	0.5075144509903383	0.44926778291759084	0.6476012690088425	0.5705874941390262	0.32270706392881915	0.3233643248637916	0.5757020996475097	0.6240945046492771	0.5050546403846004	0.437355898307792	0.6149415902195263	0.6247451323496106	0.6392437124968973	0.563104262901629	0.5726157590263136	0.36003131609041955	0.4641800697559819	0.5741270976077802	0.4276460402382679	0.3168383035972259	0.6067422012847621	0.6420940105457081	0.5428069123702999	0.34358890515963225	0.6169767430738865	0.6886836693780733	0.5554578610849694	0.5924870208755685	0.5461380836444377	0.5829817028004743	0.21547719598030854	0.5208347891761193	0.3877689974806837	0.4676244493727127	0.5963241391990868	0.6636307693410894	0.5977160792271685	0.545490513012415	0.5593803366884845	0.49770223058309	0.22813070657341492	0.6201619535235066	0.21733155432162693	0.1120392316711947	0.513233779223151	0.6615672749394294	0.4332326186036264	0.6710398174864205	0.8303584108294094	0.26814023101535517	0.42044892330683253	0.5503624859465586	0.2410277674758372	0.640101775162746	0.5980908521885439	0.6956019683916073	0.678334869669646	0.6329866675775666	0.5042090497184212	0.3578340407340651	0.4838791436168816	0.5015768889564639	0.6967113302831028	0.4411791003235884	0.2777157484822675	0.5550083680316013	0.627672557052341	0.43841243813682196	0.3018129834218959	0.48469340458982274	0.5038951912128278	0.2988047718187423	0.22813070657341492	0.2922615874095723	0.4327728801519215	0.5326196760618959	0.49191461357995264	0.5565794754777882	0.5933236542997119	0.6620742092148425	0.5625589670976022	0.40273949011067645	0.6028814003426971	0.3431039353220182	0.3676819445024387	0.40575448861674623	0.4671136533951836	0.6341450563896235	0.5812432752079795	0.5533052397667101	0.6871842134629231	0.41847121536207993	0.6279991258341202	0.5587812471004531	0.586288074446947	0.41866542240228155	0.44453947088144163	0.5925582472002686	0.7297869246563342	0.6339670820505594	0.5465398362562145	0.3429346927162036	0.7919966767874714	0.21234417429163222	0.6428311681054039	0.5602324444504008	0.480952757052945	0.4909657244808154	0.39779055754201775	0.47763194372382733	0.4601321558710823	0.6555143921175587	0.4554734908089087	0.4993110809252439	0.3790354981274033	0.5407459818990652	0.6545549711356143	0.5525896827336415	0.4096321596824477	0.6433074742194457	0.4081689369694816	0.3912144533233583	0.2811042859629039	0.5866674953294887	0.6391466421060619	0.4950142232308071	0.4168812229031388	0.22813070657341492	0.5087061567978713	0.32177130550332483	0.4824850764241194	0.37546750624829284	0.4029218861772315	0.6916124611607832
CM009	0.43164837924818733	0.624684160812153	0.0	0.6138473845526992	0.5227440085321083	0.5240215690056245	0.5366995624106661	0.3336676398075873	0.6257396854703967	0.5641035727391138	0.6373854190677565	0.6397495420905759	0.4728612338745867	0.5690521686477829	0.5922963232146017	0.5273431251592298	0.57371727852889	0.5657976625306038	0.5489720473737199	0.6240094830978012	0.6474379468356577	0.41167686433458905	0.539231807613699	0.6364583420035096	0.5886397195802693	0.5032415898621394	0.5136810089229134	0.4694921351790857	0.4404727695559627	0.42099872351136114	0.7019824091748416	0.5262997939754426	0.5163986161134865	0.562864314737584	0.5353611968813836	0.48935739005072243	0.5396581461121653	0.5669912201390034	0.531500294901825	0.41515343110830794	0.41824287064371524	0.42771686717850554	0.44349102260262097	0.37880877980067046	0.3950207551701904	0.6371145214689454	0.5602570647597969	0.604186765446347	0.5931639809139885	0.4497862726784883	0.42279622691675706	0.31531134559329826	0.4748897861734068	0.5551069659305498	0.46202176341469564	0.5782260574190732	0.5485040294042306	0.7062521355043736	0.6370402460877891	0.5150513841987873	0.31588965347978204	0.5940569536477643	0.41429612546995187	0.6569271647044834	0.6101994556872187	0.61475352276949	0.4535219973496169	0.600938477184243	0.47900180756949595	0.4701772904668849	0.4516857533095431	0.4729253791166588	0.43550042122971433	0.521819573169199	0.5501012353064855	0.5063458679257049	0.5463226864702155	0.7198032804677518	0.5997492457773709	0.6088068797829937	0.5139328613507171	0.45762133836635804	0.5219131113556232	0.5902918053876405	0.4530038572531225	0.43629112582907464	0.5710298815913943	0.5782260574190732	0.5967316504287653	0.5919232234931806	0.5810463435954992	0.5151248652836561	0.5297249011716553	0.4804045992227739	0.466887099080858	0.4426292792236741	0.5032659139652544	0.7594074651321079	0.6142122978410536	0.496694194180709	0.5515505549102115	0.46435996614531494	0.36342986373865205	0.4749323538918158	0.4516821086671835	0.6854895334735444	0.5617120323215453	0.7743504926004665	0.4883633129930555	0.4063508294892733	0.5263342404302923	0.4993376933128054	0.45867387319602093	0.6717643024271926	0.32891288979815336	0.3086396525608153	0.5631085011315075	0.7267658826233604	0.5872423046623021	0.4339106123115284	0.4775941240399517	0.6333967667817287	0.5908959419097605	0.6701175350487774	0.5470357644491859	0.5938192061751779	0.7473106445628426	0.6410345474674642	0.5537718476044928	0.6085169973661533	0.4858661282753622	0.7066753391075229	0.4882688522251858	0.6239902660029845	0.32848606680144615	0.6614838628792179	0.5202170388972854	0.5641875746079522	0.5463181859330757	0.4064235421352962	0.5257402332543635	0.5487748067980945	0.5782260574190732	0.44339529996867916	0.6237628220794659	0.6143581526340085	0.5918803849917215	0.5769355028741473	0.3750803611488235
CM018	0.5396535315354234	0.16175560576532994	0.6138473845526992	0.0	0.40815504169215205	0.44003516639160034	0.45256203253416977	0.6393679906602495	0.1319816796230494	0.42927721089026877	0.6393843914520618	0.28396274481177974	0.4985074162548934	0.48447707315802674	0.3181685224648654	0.49959211845938306	0.46023436027734893	0.6169533130233252	0.5112268941810955	0.2146392723490527	0.33984319329349993	0.6199243529512702	0.5922100077955649	0.42035550847553976	0.33709044603447014	0.5947360591592263	0.5989894739003108	0.5824782798826251	0.4909604109737495	0.5413221149571996	0.3747920716518553	0.38525771450432816	0.5070154500512544	0.4171612039507898	0.3267584398016245	0.6275014690702735	0.5858805543532792	0.4663554443142214	0.3939213273942596	0.6059174247502648	0.6448459008651621	0.5462448100031538	0.5369060385173496	0.4803689538349464	0.5257704450913592	0.2342265647604745	0.43962054018793517	0.3393797291675811	0.46062290047413396	0.5764561315629882	0.6183604211521827	0.5375786453177808	0.4816956653790486	0.4980532044288715	0.45974311608517615	0.2462871371715016	0.5692384602816769	0.23929593444456462	0.13598323319348793	0.443577493216425	0.6173657732262566	0.3482438045965775	0.6651937525098397	0.8219333005101208	0.147851939392336	0.33290403412138064	0.48743705417240185	0.11446141003594094	0.6324690053166273	0.6133384475639493	0.656706516480763	0.6354548972221041	0.5841766746312926	0.43288004189864593	0.25734245599115013	0.40872920060096707	0.42242548508230626	0.7023002983664323	0.3577643647483836	0.15549245765835137	0.5475541004641237	0.5730824775481469	0.34574747268351497	0.2681195292555199	0.47781243176964594	0.43014018936247256	0.24930857422437785	0.2462871371715016	0.2580369488677262	0.44439927791907957	0.4472466324694673	0.4182836659996938	0.5240934943000687	0.5846292752547998	0.6553439142907332	0.5421763783943443	0.3085104809395532	0.6124091596521742	0.3116848479525095	0.35806013412444115	0.31523508985179666	0.38069058979349185	0.626955773006517	0.5237321591512731	0.5469780298496817	0.6056261478171026	0.45035894322860376	0.6363724477258593	0.49116721175489875	0.5792316608849807	0.33076158671306677	0.3590037054620682	0.5243507143404881	0.78099469933287	0.5853174964557366	0.5401531014530714	0.23925725297635922	0.718740093563612	0.23124179110568469	0.5956243593113565	0.4990556024592251	0.38148689386064694	0.41289860461846223	0.287960146889947	0.4500215510667979	0.38042605067049434	0.5636367950420834	0.40583124459382725	0.4848543135174466	0.2523738605039994	0.4761004633825962	0.6433293417900016	0.48113725190290657	0.3621426968595628	0.6180327006524534	0.3751449638730374	0.36240042039996273	0.29687954181792436	0.5300902567740459	0.5913417534455797	0.4144968104422153	0.4273034934626659	0.2462871371715016	0.4382124804906567	0.21349858858524887	0.4070704370316585	0.34580614010569033	0.35601636281202925	0.652105226620005
CM021	0.43995417282785876	0.4897702829625137	0.5227440085321083	0.40815504169215205	0.0	0.24245271959106862	0.542346455852773	0.4288448377712846	0.4322047506679127	0.3602546921944508	0.6256044853685532	0.45455034758370166	0.5627817873752036	0.5335397075423863	0.3960239884597079	0.5553021027007321	0.49515360313480394	0.35415625259703876	0.4129609697896928	0.41619550584915027	0.45963832612068367	0.5376910211166558	0.4861903466462635	0.4708750453617872	0.5663927275178605	0.5465793817605988	0.5208364488105232	0.5825250134764277	0.37579807594031794	0.4186632585764323	0.5568471075289978	0.5113165724427702	0.37709224576126954	0.444531278525913	0.480885893002199	0.5906541039869951	0.5925340616180702	0.392893092769903	0.5429963244849209	0.5114674657013247	0.49055082420339263	0.3794519186022797	0.41875456355424356	0.29202663478118096	0.36162180149309286	0.3698815284448006	0.5556989363999962	0.34264123606975566	0.4071775216658802	0.28837842513144435	0.4590618495449369	0.44742523344450613	0.35113557739073725	0.3504917322454885	0.40187018798134383	0.35355926264284976	0.48934276662404064	0.5497811340367329	0.443702070558899	0.2093090055868042	0.38707529189394513	0.3527373403780316	0.43241895569397626	0.7071114265985059	0.3865598492239348	0.3695887719651166	0.2824293038751821	0.41386724327146046	0.48155675701535877	0.4296070757780573	0.42105483948895356	0.458659748168289	0.3351611617287564	0.21945336654768624	0.3442286530326182	0.3711726739986922	0.1647729299256872	0.6909559645353006	0.24355662015963106	0.3089801100083207	0.5273464436751938	0.2827235048784438	0.1890806793530048	0.38532077448628227	0.40819542122562974	0.25705124940307494	0.35151119941057674	0.35355926264284976	0.39498238002495645	0.3660962354862344	0.5770607213404408	0.4879477733566374	0.39207506083104715	0.35682416956591106	0.492993750822302	0.4673945704981236	0.3341215204624731	0.6312507721768886	0.46094014983060255	0.3454604510157834	0.14746792663486044	0.3421208897348963	0.42910800777818076	0.19260587129205195	0.3262756451769006	0.526737557088059	0.4040122727404166	0.5856294197580234	0.47409165987920937	0.3236013989307021	0.2061751265118968	0.08804843243212145	0.5543118618865599	0.7641421469797853	0.3617081044773838	0.5156009562232818	0.2330909126841949	0.5906523563919808	0.3673782043262585	0.37939301259408675	0.3147884760456382	0.42734452629633113	0.3341345758581706	0.5459650702687151	0.3775582870730356	0.43741058970396496	0.6254572342410589	0.5429360094732134	0.3500139584974852	0.3999853112384775	0.46533408006912463	0.4975886542021603	0.261423638749199	0.43224174624343376	0.5352402916984095	0.49564605172296233	0.425302339057502	0.33668386536982037	0.2832891064085545	0.3389382923192919	0.11892600830205417	0.49375540428395087	0.35355926264284976	0.46276365465079683	0.3340148554337691	0.40287368906369053	0.4913499843503631	0.3527365299917116	0.4356594516634028
CM025	0.41371696766543486	0.5121950882646229	0.5240215690056245	0.44003516639160034	0.24245271959106862	0.0	0.5603169826069682	0.5024472578724286	0.45745953376119947	0.3870547616697943	0.6401742833936355	0.48521055739743485	0.6063968235038223	0.5973641300583777	0.42111026600039364	0.5580970449485543	0.5497220504236959	0.3786005456870295	0.44672629232182826	0.4838582098001412	0.484362921745371	0.5823727602168606	0.46572676625393294	0.4997085367288037	0.5834845435197303	0.49376186870013994	0.5011119073174033	0.5328189474223738	0.43956296320849797	0.3991649225872957	0.48804507479991005	0.5577059219055778	0.4005199134046986	0.49731799243707336	0.5010557996796744	0.5931478852305503	0.5199883852044932	0.29886726677999015	0.5400391985122857	0.48644249436174747	0.470681460461881	0.3299499578091794	0.35064725987381345	0.31612699648269077	0.44730607936934114	0.4780764880038777	0.6014445771659188	0.2640585649746016	0.376201698462463	0.3465009195748635	0.4020572271133557	0.4778865160490443	0.41502747835009274	0.43169467553048424	0.35111275772958617	0.38313757398335735	0.44706550329538297	0.5703811875594651	0.4691558397974515	0.27600027637898805	0.46449513296793227	0.45086370164583317	0.5361277459709923	0.6338897490357559	0.4569192053755466	0.3707284826562574	0.3659417092072097	0.43957229819585014	0.4831288647237369	0.3767267926403009	0.42524965896260575	0.5318379989467722	0.42615176101706365	0.237188451370137	0.37214360658390566	0.3184406053836252	0.2965895692106289	0.7806767315386496	0.39780201951727684	0.3379700097282082	0.558501228323354	0.345707219664932	0.32749498996403276	0.4118095403935186	0.44563169335654806	0.37295425665370785	0.3800683058786224	0.38313757398335735	0.42105479217111014	0.42171852043906294	0.4711958280904213	0.49118141255576797	0.4152225572284861	0.4332070380222777	0.534457235136878	0.5192023051098952	0.2532854876937206	0.6481231300541395	0.4667901783032828	0.38024434179687255	0.3644836406097545	0.4143293679729524	0.4567612133362386	0.35168107046886754	0.40544942179063725	0.5867996060806229	0.49010550700754796	0.675264225977069	0.46642799096839166	0.41998216348559014	0.24103939759900053	0.18014963556180266	0.5549179635856389	0.7730881575217852	0.42595107678384664	0.5312601577042111	0.2681813307900063	0.6082208139007389	0.39632422110999166	0.32971252891252295	0.33941946006621054	0.4340081948579931	0.34500087770252996	0.5646705083520538	0.40350716133229636	0.3562540492443561	0.6251296568240104	0.549896994385357	0.4555999348175529	0.4322631610002687	0.4395569973202503	0.5576991531752388	0.3312538244632752	0.45716071777572703	0.5777270532503183	0.5169482186179374	0.44806122603547394	0.36645479500144285	0.32827058334776216	0.43187000134292214	0.18358780973625094	0.5553822969535922	0.38313757398335735	0.48149652079165167	0.48338399875742877	0.3624591399400488	0.5747996661611993	0.40101123753128676	0.4535568568426463
CM033	0.5785655241589684	0.4608829253551304	0.5366995624106661	0.45256203253416977	0.542346455852773	0.5603169826069682	0.0	0.5680987650394044	0.4672026796186708	0.4472924375423461	0.674834198221834	0.5326172992971021	0.42848817049719734	0.24416766487337768	0.5503299961511323	0.26773518433681526	0.52725129168339	0.672021994594133	0.6668652117802961	0.5358039934853089	0.4373881716340877	0.34285592777223217	0.3380218983638464	0.439431936449101	0.5018918613008443	0.3351121298205889	0.39452577598569505	0.4748771878834263	0.215787558400229	0.4725134730956762	0.4629721077062952	0.3826033356173533	0.38035944544279904	0.3738915843476479	0.5619199493150796	0.39786451208136214	0.4895190148127954	0.48019596490924327	0.5908951010567041	0.6794587589322917	0.5738911431424147	0.4512446692047277	0.44096330481283735	0.3713493357412328	0.6182164176339924	0.49706804222396445	0.5671496954954138	0.4627690117129019	0.5038471942357446	0.6581377152804804	0.5411194288441767	0.44519340953638425	0.58732605694686	0.5987107672393106	0.5486828046010246	0.5032391467166081	0.6493623975898424	0.3659667881514019	0.4483735876176973	0.5611536242557593	0.5357315213112502	0.4978072962787024	0.5960212915362204	0.5416170083631415	0.506675595200814	0.5904967000150999	0.591311406905513	0.49255693727737065	0.6215553862626797	0.5038720336047213	0.5835994622413136	0.6266240895500732	0.6602262345749272	0.5796372428809097	0.5550775088467231	0.5451852080403252	0.5709919400635102	0.8308286790355834	0.6025346789194425	0.5117174267822594	0.34192323512431355	0.6557170651153986	0.5018427896971644	0.3983420883598098	0.2870646393688036	0.5536452212525909	0.5229253516110172	0.5032391467166081	0.5194325298363922	0.38217081295424743	0.5845036896444167	0.6326790310297576	0.5210218332975924	0.6528878363883357	0.5511672658397136	0.3779618748503319	0.5803373686626223	0.6781658625352294	0.46461462663350805	0.6026790824707446	0.476548902243563	0.5243672258853156	0.46696816090652166	0.6167727044989766	0.5534805109870896	0.8151567350486651	0.5380856989275278	0.8013601769783462	0.389509629034408	0.6566207681113361	0.48650626604854874	0.5066278573841853	0.2754009978651705	0.5613633909645902	0.49671394079918063	0.39516937343693637	0.4288730618968662	0.7107794145795782	0.3548584915344218	0.6686080409631123	0.599411465447244	0.41357042095888724	0.5292748114679277	0.4436682792090235	0.44158065383880724	0.5188625084601914	0.6996406508382129	0.5158324363424125	0.5938864864077625	0.4578266976537801	0.6626432287687744	0.8290705370593681	0.5169672690746222	0.48079228274947355	0.413826410992514	0.336234016198392	0.5737864835896467	0.44080419778971547	0.6057423796799167	0.6654666190389502	0.5465330688337147	0.6013960640879396	0.5032391467166081	0.6428751901800458	0.5352962470347231	0.6270017341594971	0.5649120729106988	0.47437163874816346	0.5780024217366292
CM039	0.4563668321033891	0.6814076453844522	0.3336676398075873	0.6393679906602495	0.4288448377712846	0.5024472578724286	0.5680987650394044	0.0	0.6463458199799342	0.524152805038699	0.6572995606475225	0.5963218438284666	0.5140728637461234	0.5878097220573828	0.5581011103666502	0.5767335125100848	0.5613088274223806	0.5146518123859803	0.4806268657456307	0.6339989164768292	0.6576742107475474	0.48394606645654437	0.5473049634715594	0.5940938425855964	0.610833165329221	0.47763673753547536	0.5705789107069125	0.44152228415140404	0.4751558231601307	0.4249927785360821	0.7101498260060004	0.5524976404677563	0.4807685318188265	0.6012067736315907	0.5817026167046051	0.5309462926287716	0.5602841746684096	0.5952401454396532	0.5463192097810675	0.4837738228668101	0.38032614776566387	0.45069241655201103	0.4789162881236847	0.3892597011720912	0.3426993133388072	0.6369998206170823	0.6006937432600015	0.5789399468909731	0.5897991216908149	0.416766229628429	0.4176153692785539	0.3641214256696002	0.48540342695105815	0.4446750472027144	0.4977614342150291	0.6009442998285368	0.4681813032521837	0.7147807920558762	0.6576265917750627	0.39753692100967325	0.3102647053289344	0.5374563770737024	0.39289268703235125	0.690582104781927	0.6409386428179729	0.5357323052440092	0.45328142100660623	0.6326201815657748	0.46606240454894904	0.427173202618017	0.40647741957529443	0.4168353376196792	0.36735668671143007	0.486600101778484	0.5832815731298947	0.5397078973741698	0.48092254567066656	0.6863545483274335	0.5308019529496424	0.5740401261279023	0.5549357081411538	0.41900610449922254	0.5138142459954764	0.555189978153058	0.5047794869291355	0.4164359490749855	0.5934326219767714	0.6009442998285368	0.5616585280415769	0.6217854274275859	0.6155119077119062	0.5476327132875585	0.48287941237965526	0.3988325486316185	0.4177349997447854	0.43243071379983417	0.5415087003915123	0.7755582438398974	0.5985950765330647	0.5478797533647309	0.5143701101713498	0.4721655283914577	0.32625813855792335	0.3911436051802481	0.43568717057775735	0.7037197353338898	0.5968222768694761	0.7588352825483285	0.5494234763159879	0.43407924830628813	0.5001684298952193	0.4647648076488109	0.46940677034515466	0.7317734971206638	0.3063409418919727	0.35757272098811677	0.5251931407451402	0.7343653881745588	0.6096337261399568	0.40082813453105876	0.44520161699046773	0.5730595207447414	0.5911793213093572	0.6887520908473507	0.5006009243928727	0.5720080092561027	0.7632234144023221	0.6507687255433475	0.5483211951970003	0.6240539155881516	0.45339694860297103	0.7048153383748348	0.43933612164675095	0.6346077016278371	0.3634636797625388	0.6170551928545389	0.4848028616813864	0.58712051470962	0.42017665833841894	0.2788690245001367	0.4581905860766683	0.539800346072349	0.6009442998285368	0.4617322351373278	0.6204231354114964	0.5907544313980874	0.5219578395835622	0.5641897594079639	0.3885887049946595
CM040	0.5513302840228754	0.19120747318330258	0.6257396854703967	0.1319816796230494	0.4322047506679127	0.45745953376119947	0.4672026796186708	0.6463458199799342	0.0	0.4875885834215968	0.686026291405179	0.2518542680911659	0.4757478351318831	0.45689593922513577	0.28763735147416014	0.5118534515253927	0.4747918452594652	0.6140774888384429	0.5087413687868019	0.2963184384915977	0.3614885838970083	0.6270396981841277	0.6039186543908426	0.4800082325318907	0.40986094468703116	0.6025162146335469	0.6342096844499864	0.6197396307728672	0.5403426962066368	0.5253665073513093	0.3404128557436358	0.38389664912992777	0.5228415658517731	0.47729722538235975	0.300478229277341	0.62165272457794	0.5960496666879495	0.4824951643479136	0.366867753303578	0.6074783416920303	0.6552507483605312	0.5582766305497772	0.5342791134088778	0.495633036443419	0.5369965375677903	0.1984022024973567	0.4373773746178205	0.30514145511867397	0.4361050920486058	0.5902637861852376	0.6004448460832115	0.55351751106567	0.49490535242412664	0.50301622705501	0.4411408897083322	0.21104465948439355	0.5553545613746378	0.26789417119644454	0.09539784428223459	0.4586286297222684	0.62497277469821	0.36840798843316536	0.6483203047860685	0.7999335653719297	0.24048161099367613	0.2973759208999794	0.5003794860395179	0.1501869464154602	0.6218762891632568	0.5997671302142601	0.653815415156788	0.6183776113691906	0.5629307720231176	0.44846886920529494	0.2703719093611348	0.4619790195341795	0.4455048129295341	0.6751991714259006	0.3773855056187103	0.2502708930226929	0.5234121433687565	0.5564058060885618	0.415134152208473	0.23527900676525787	0.48917881629472143	0.4826297805114503	0.16078885732344333	0.21104465948439355	0.28031895714142313	0.4598112423553517	0.47171318648305793	0.4702672373712572	0.5029689414110272	0.5951555324400513	0.6730043443599535	0.5509422385191792	0.3339257376985445	0.5769847892880816	0.33090286136457725	0.37766451943113033	0.337337473902461	0.4066605123305154	0.6351018136799587	0.5084920129753329	0.5264600063392355	0.6200208595388614	0.3908185419214865	0.6474192527005758	0.49495168295488623	0.5764368748462205	0.3948160353646987	0.3811808161191716	0.5314356375543251	0.7864902761779273	0.5825052595187336	0.5489905284833775	0.3170488371795572	0.7467390000351846	0.19527333552316747	0.6040286100258396	0.473093778580778	0.41141959871661177	0.43223137745216983	0.3689718840073287	0.4223090615310437	0.38435378764636	0.6033394421800607	0.4286110775940662	0.5128088616305737	0.3496169120390054	0.44884543582488884	0.6772559019976583	0.5302670652737813	0.30242509621079716	0.592701177152703	0.3936989444441983	0.33390241076918925	0.31771954188893853	0.5058623245021293	0.5999075928183222	0.4381129697647865	0.40072648300957286	0.21104465948439355	0.48759585801084815	0.29535984043204205	0.46054138430199626	0.3631900823992903	0.31144759791776017	0.6345330559983164
CM041	0.31453970966344996	0.5123569932294691	0.5641035727391138	0.42927721089026877	0.3602546921944508	0.3870547616697943	0.4472924375423461	0.524152805038699	0.4875885834215968	0.0	0.6604827606326183	0.4456099774171835	0.6431158949090572	0.5536600982912178	0.3373139468618616	0.4687528058001437	0.43140834204911227	0.5523414960786726	0.4977459725504045	0.47023436127509516	0.32305708147927575	0.49906047225472405	0.4693381763043648	0.27712243483339544	0.4663545678824422	0.3952721607919848	0.47428663759715367	0.43958499887880914	0.29991358879644553	0.5201792733300129	0.49722307499733676	0.585119230996119	0.38833496836444653	0.3572381242043994	0.4994437428440871	0.5868865464731604	0.5499219343429261	0.307393192885139	0.5146416650081481	0.6390956599014513	0.5732123648049527	0.5193835004647156	0.4839660974906863	0.4278405952100525	0.4706161382097514	0.5104066225082672	0.5339770796758634	0.46109642627200714	0.4830992403344476	0.5244667111390864	0.5711027556021168	0.4424629287759776	0.45535381082173076	0.4492968333440378	0.44376103154018837	0.4024644713538226	0.5549248781819169	0.4359842900954292	0.5021449871740418	0.29189105330093257	0.552801302212614	0.3716713230370241	0.5647751859500549	0.6827130283677918	0.43752036371478226	0.42606422699978663	0.43293529991136276	0.4567357052390866	0.6695620533281811	0.5294909396833218	0.6060023179075045	0.6450359866053179	0.5123081489392126	0.4083010000139943	0.3373630084352365	0.3856921466412216	0.42835186592186214	0.8433637111015826	0.5170770645125349	0.440781943797754	0.5144519444263759	0.5209114024972715	0.299308297912032	0.3220016984313966	0.45986174245401373	0.3771220435834608	0.39809226237512146	0.4024644713538226	0.28773406156825343	0.2747048581686017	0.5388151889778485	0.47812607455812745	0.4137899685070824	0.4790583049206284	0.4758500802954949	0.4931000493852993	0.3875982529899666	0.7095375873258404	0.3756084882715249	0.42250509649449863	0.37901496845138455	0.4361142597525219	0.43822172573928936	0.4703044619444591	0.5247957920966771	0.6341120219212715	0.5244262261536281	0.7046434087030361	0.5486469332196269	0.5222390350912977	0.31503299079516234	0.306547877483988	0.5141950805951401	0.7172333379542186	0.5346243350064808	0.5338047077451706	0.35888365394700533	0.4954492586812296	0.41774554886778875	0.5398127997098917	0.3526309072875019	0.27762217705765335	0.47220887564142644	0.43546206392139136	0.20379173885258856	0.39224847566239895	0.6644721311652158	0.495330460534123	0.3817652396954906	0.2587631000130919	0.43629085274479845	0.6636154189016996	0.32215470254396505	0.343695490437848	0.5245934738644091	0.25303076440791256	0.3745791067542637	0.3394767061310036	0.39964734668156343	0.47645083950207867	0.3665114464013735	0.6184705337151956	0.4024644713538226	0.4846140902739116	0.46966358623534954	0.539826924586611	0.498567937988093	0.48671086858181356	0.6009771009923288
