	CM006	CM007	CM009	CM018	CM021	CM025	CM033	CM039	CM040	CM041	CM048	CM064	CM068	CM078	CM081	CM084	CM085	CM086	CM089	CM095	CM096	CM107	CM110	CM113	CM117	CM118	CM126	CM130	CM145	CM153	CM154	CM155	CM156	CM159	CM160	CM165	CM166	CM168	CM171	CM176	CM179	CM181	CM182	CM183	CM184	CM185	CM190	CM194	CM196	CM198	CM199	CM213	CM215	CM217	CM219	CM221	CM222	CM227	CM228	CM229	CM230	CM244	CM246	CM247	CM250	CM253	CM254	CM255	CM257	CM259	CM260	CM261	CM262	CM263	CM264	CM265	CM266	CM268	CM271	CM273	CM279	CM293	CM297	CM298	CM316	CM324	CM337	CM338	CM341	CM348	CM360	CM362	CM371	CM372	CM383	CM387	CM396	CM404	CM405	CM406	CM411	CM434	CM436	CM437	CM438	CM439	CM441	CM442	CM443	CM444	CM445	CM448	CM449	CM451	CM452	CM455	CM457	CM459	CM461	CM469	CM471	CM476	CM482	CM485	CM486	CM489	CM501	CM503	CM515	CM517	CM518	CM520	CM521	CM522	CM524	CM526	CM531	CM534	CM535	CM538	CM539	CM540	CM544	CM545	CM547	CM548	CM549	CM554	CM557
CM006	0.0	0.37660264496511564	0.29004300012204826	0.23692266135519127	0.2094084098545566	0.26884049045024666	0.21494714069885476	0.18304693264991476	0.22057756203189127	0.08464303948932847	0.4030148337967404	0.19703979170749097	0.2105336044361537	0.2619516418968565	0.16302258441950102	0.40891457370228634	0.2660339271867631	0.2181181674226662	0.21540699818285766	0.2093207980276428	0.17625236438045103	0.28216659852472736	0.38730925810187616	0.30992343041588777	0.14938070401218878	0.3858414415962706	0.4263495219095252	0.2855024978949964	0.2331448805513754	0.14084347456988838	0.27153739530276694	0.29829849278793796	0.2849590497489056	0.16070984570602379	0.13731224700462902	0.34643497562979797	0.403915603286664	0.10306882296655627	0.18221622475588026	0.2640177767217785	0.27141619011445633	0.3770730056095027	0.18433596312888323	0.1670836339789805	0.24351886274789214	0.18674719219728958	0.15335516088190093	0.17351892714429518	0.3113030606401852	0.22138912413336387	0.3184039031418531	0.11369118644244725	0.20081440684325821	0.16187209724084323	0.24161645783667696	0.2066353199657986	0.16024901716073447	0.3192469301516897	0.2931039079113094	0.24955995204143908	0.12646963481407342	0.14536317625403294	0.24367912023781962	0.4196919958397421	0.2920956163224874	0.2869926875248386	0.18530381276858812	0.21818248027977055	0.30098815328803813	0.31821755557929465	0.33392401401224686	0.26676663920345717	0.2587313358957136	0.2707449496156111	0.11486494013788234	0.2738586584703149	0.18351828752883306	0.48980335868525793	0.3438788139953338	0.24953521900679057	0.2639767068765757	0.23506420493175806	0.17563982773462553	0.21851858500132526	0.22954246372295697	0.2601930413352584	0.23155927951383215	0.29768841340101276	0.14137846637453932	0.35593900489092045	0.15700731696841294	0.3405840868078584	0.1240808020287475	0.1548488571006582	0.21331298395744	0.3931907881071399	0.22168117327679795	0.4821213211132126	0.29385519766237134	0.23268920842276988	0.23882677780158917	0.21036273384915377	0.33678660001971533	0.36707935076452525	0.25558738816302756	0.41946726601994966	0.3035273408850425	0.44677981400472083	0.35707683559212555	0.3352745695323681	0.25339422616873125	0.2952079917554915	0.35861803412252236	0.4394951863591105	0.3047765372974045	0.2231140744319491	0.23977105442219593	0.3707373741787365	0.40538317342879443	0.3028038319744284	0.2782633289370166	0.31893721477203246	0.26933097702068093	0.20809405582781096	0.14894000614614986	0.1722235224107232	0.4353420297589504	0.3210165631526518	0.305976447784524	0.2955933979651147	0.2561270862177856	0.42120223493868025	0.24278978836009243	0.2762838990971532	0.22288724695311946	0.2864182073379715	0.1370620977895605	0.10772826594696092	0.19888882348311904	0.17611119985828091	0.2583458670120888	0.24025361223648584	0.16014404663247342	0.1276048815811248	0.24242008409931598	0.1794919570513809	0.23121439922480524	0.23110228871219646	0.19573258705192162
CM007	0.37660264496511564	0.0	0.2572889251195825	0.17798691960057195	0.23555143096040598	0.18875723934846406	0.2345020186832461	0.37467342645377594	0.3413220295043953	0.402238398884667	0.20457530794336187	0.3591778112221608	0.38671265775981833	0.2606728329320344	0.42040061716125976	0.5124437134758522	0.553419408170568	0.30514521995765037	0.3762416715856807	0.2257121264402726	0.29993245076614744	0.5045386446892339	0.40382707002311047	0.5647028445430545	0.32303985727286777	0.42808516654642403	0.4009600231126578	0.39418494317354186	0.3660934650314772	0.3214166361361512	0.42031013118899707	0.5066003082035826	0.5604187656374198	0.34725596131756314	0.35261512748490764	0.33858954659335	0.349117039111593	0.3509036684607035	0.2668641789171451	0.19170538124738762	0.2559763436238905	0.21484277587896752	0.2374474067947276	0.26046796642654596	0.17330835399260483	0.27625444086197076	0.30187704080101785	0.25364614282197423	0.14917117501097776	0.3040815978999241	0.31467976195028063	0.3172088101740142	0.21531621431919593	0.30341054891835806	0.16523619905937628	0.4097425637835612	0.3224783543076828	0.10272298360461316	0.09990412632254271	0.19333537989416272	0.3596130626296975	0.34968717306330815	0.23009880171891123	0.2736146106394172	0.19632138764779414	0.15172398530208728	0.28870128383847427	0.22405475862211072	0.17055023124369478	0.136046458503565	0.1862414234136584	0.27859748703899273	0.191080766306616	0.16152868538555018	0.3024761891702228	0.19594929953470616	0.27833718221777837	0.20328447947224942	0.13483404741481622	0.4661007214715629	0.23036358109103056	0.33237329257467524	0.37805378911202386	0.2515187723837259	0.4647629301264183	0.2141231705166685	0.1876186664855866	0.14038832293612172	0.28300417362687813	0.3027282779146598	0.40163032063389775	0.35145477059383273	0.3236702418763969	0.3700987929657347	0.47458782703919344	0.4006210129664385	0.2440002939948501	0.1494124169860384	0.14663708451634014	0.16848559169995334	0.2121860395860908	0.4747557334857271	0.19367719367800998	0.15169955610138705	0.17563304793237997	0.15630699619446659	0.13420950790739164	0.2243499014740111	0.21634756475901104	0.21566210155706778	0.22029598322447	0.15987454944258708	0.1673080435940996	0.19497463791641356	0.185166817569237	0.20008788861642332	0.185531404968494	0.2454008477044748	0.09127722068619465	0.2664397205210196	0.16050822384438904	0.10467530353264595	0.20186553387223938	0.24541735959778593	0.2812917348167998	0.27597778136897655	0.20902048464438633	0.07772010681450396	0.2707691736930514	0.24123638671322895	0.19916346643839017	0.19399503148159986	0.2847157603741008	0.1905429961377822	0.30287342906597026	0.1501427693661497	0.35770983592621947	0.31003100098120057	0.2826068696122197	0.29901748423088614	0.3211735516640123	0.25710453933197036	0.27562853325342673	0.4067337574643431	0.22892091537156367	0.39559474479704565	0.2984667288786488	0.236887193932666	0.33615757746362973
CM009	0.29004300012204826	0.2572889251195825	0.0	0.2666871728145419	0.2098596449276753	0.14331356589602473	0.35738514577770975	0.26462713953178174	0.44653519363518784	0.3264144400967068	0.23155158823185973	0.42692501027265073	0.42405536126432586	0.34763278463595787	0.4164950010975003	0.48055481858073706	0.5306749848268439	0.26318657442909343	0.3352465572697903	0.32802632569432516	0.41157827096141575	0.4423956919866508	0.34285984132663166	0.537857891495371	0.38292504445228764	0.37290360059862426	0.31624058406183697	0.3285394206476204	0.2983055911183349	0.28041827601178204	0.5133643252067989	0.5119622315125752	0.49107985841352425	0.3073233137147881	0.33871051986916745	0.32212911206319145	0.28636592236149133	0.3397974998588976	0.29787059636628477	0.21019087994698546	0.1691965696819457	0.19214105429635608	0.24319000696679097	0.256053440311091	0.2569484473666017	0.4099141497397137	0.39410754438037554	0.3243238643072182	0.2717944026092433	0.2443595745035578	0.23557055344768937	0.2630427637956835	0.2327054567386287	0.3528177875618985	0.24880611102960432	0.4325523288336088	0.3034232282006179	0.33049427104137313	0.3274455275683701	0.2673780963071878	0.293103846143845	0.36965636221901665	0.18760964639475097	0.25609399102422287	0.26440684989028196	0.28646088185429613	0.2570790720528128	0.3085685434382619	0.18497391021175508	0.19984946675677948	0.1820503416616548	0.216883329003049	0.20943826464223267	0.21325902053560136	0.27459028685042214	0.18244412528605572	0.28263620913046783	0.3103977785683492	0.22368089721697954	0.4602287517068687	0.24551706922163238	0.27630786688594067	0.33676844043057186	0.34586318474508515	0.4355912167014189	0.16376689497247562	0.25976141432617833	0.24421768129182533	0.32111151370120405	0.2166278462535781	0.3578920479500393	0.314039205408693	0.27847672628940856	0.2881936136276495	0.36938767656739613	0.33643611464110984	0.19553880231031145	0.3019675599362389	0.27730542015690957	0.22454173740052893	0.2894562380949446	0.41285907398587596	0.15835463515735426	0.19414896748796429	0.18870384442657506	0.24996126706810526	0.23959180669506697	0.2895756569663729	0.16028096922536766	0.14815586189121482	0.2119958683080774	0.14252691463463762	0.17432997497933234	0.2730982966173901	0.14056720807983875	0.2284164803203677	0.2846645955171993	0.21548897837337666	0.22886585292994963	0.12723695278908276	0.2078087842934409	0.21652869881933137	0.21853449355066215	0.3249313195062915	0.28878686363114026	0.2783740749613069	0.23377055817246334	0.27284637218677804	0.17891555456928232	0.1760485206957119	0.16566831557507736	0.25476439039332555	0.17656882964706366	0.2555082448920792	0.20835523789637694	0.29139692985244725	0.3386800060530051	0.33914270473442865	0.23373183499928918	0.25684629047607405	0.2686116524258171	0.3208805600865989	0.3184207115137981	0.35763314896057674	0.29884694242041693	0.3812991228115017	0.356931014557057	0.302767021373323	0.23381770873204008
CM018	0.23692266135519127	0.17798691960057195	0.2666871728145419	0.0	0.10373169155705927	0.17581551197323858	0.15811470440459674	0.23443896857425997	0.21747453200050987	0.25125591507105666	0.26147315151738304	0.244202606956802	0.2757384571212297	0.15631081214856554	0.2973075604098692	0.39414330029742844	0.44506171201049183	0.17876949991808086	0.23653639144623637	0.0789853233899402	0.21542330921380526	0.3927568615866123	0.39119346924548176	0.41038661529557663	0.1814446722990209	0.3924593437866402	0.4232237808986582	0.3050750112647962	0.23656060265916162	0.20608680423520923	0.31195243502892095	0.37540621946088615	0.3994350455222067	0.19713662466201998	0.23115959079173698	0.2969126540027596	0.3751468281642988	0.22038764642478023	0.1545703322189193	0.15264567553253985	0.20844644378412766	0.24310037442883764	0.11160419315061494	0.12726659678248578	0.09092563039061133	0.18484928694641464	0.20051288333194395	0.1258980162157987	0.13080072974386908	0.1698503330894043	0.2788700802774904	0.17018742672098147	0.12272558821702104	0.16787724176283506	0.13250440647822728	0.2889707184049093	0.1833176008638649	0.14815911059934295	0.09351339019734362	0.10097694646871691	0.22596644023104742	0.19847262098659274	0.17683840883070726	0.3428594817281831	0.11702018576374595	0.09325607505584971	0.159201691871059	0.05896626149176458	0.2023488349359597	0.1888730229470717	0.20674778679715008	0.18039747291667513	0.126974686431225	0.13290055200685064	0.15078182158571374	0.16034319444520992	0.11637297694229762	0.3088172283039375	0.15367660029283187	0.29453229897133154	0.2119922271081834	0.16511290011513294	0.20006686951145186	0.1360090467006182	0.3537887294878297	0.16306736064589147	0.09852858545338256	0.16317472929225663	0.16527452276559923	0.3524201267431995	0.23629907921331114	0.2606442309870019	0.20521336310565852	0.22031313727136412	0.33043749261169963	0.3878637650296454	0.12907045725319133	0.28995137624267275	0.0996015024501599	0.12369899174793222	0.07556275693954635	0.31111519479500804	0.24803139361064608	0.223584898468472	0.1849910946996015	0.2774225663623663	0.13053965406170917	0.29945641575629944	0.2167193969344819	0.24483411664982202	0.18241254285635622	0.16336297910089964	0.20892720556177713	0.33211384314146186	0.18415848956503145	0.11774740595453648	0.05588024695928015	0.28562725913247106	0.21321322855825467	0.2790112167309076	0.14471729763226837	0.14654234720289588	0.124472108524957	0.09596260160255275	0.17002059978796946	0.12942391824969796	0.21786000004294004	0.17199237901565156	0.2684615055375231	0.23883062141055184	0.21696916274166939	0.2866516234891647	0.23760935464590371	0.18815720575126582	0.23587044377502345	0.14168735749248357	0.23111111281005928	0.19064275874615388	0.17456431753154633	0.16524481607913422	0.16080358941717582	0.1479581832095095	0.15762389416198527	0.2693431676788058	0.06719518175152923	0.23327603840118047	0.18405992121308823	0.10960946804916752	0.20751045942631746
CM021	0.2094084098545566	0.23555143096040598	0.2098596449276753	0.10373169155705927	0.0	0.1293150871253994	0.24111346145441073	0.18687620452990195	0.2822579457979465	0.23191795570948232	0.2696711649289695	0.28410915546378795	0.32110424601897297	0.21570702217042967	0.28719026784435353	0.3898669846557489	0.43783079676755043	0.1309422720084222	0.2060881124843232	0.15522310588281035	0.2668671559735069	0.37767338581959264	0.34158893932747336	0.43539176823810766	0.26714206434410914	0.34717559674013276	0.37435947900254696	0.2607867637955874	0.2138981713114799	0.1833465165598681	0.37255448453309453	0.40315765388161184	0.3937994737057652	0.22009946893587945	0.2391856865266193	0.2768214430187492	0.35708728224247893	0.20497844859463293	0.17478870942513425	0.1232057962619684	0.16572711019775	0.2191850063860045	0.11757297934557115	0.10841940445178572	0.11397177879901574	0.25438811550254325	0.276686027559988	0.1564110041126308	0.15880535069388763	0.11718107823438231	0.20130058819471539	0.15371304729023977	0.10639884179667433	0.16965990467906172	0.14746526739883875	0.2765047676489398	0.18238831020526913	0.20572362195917698	0.1640541326782364	0.09218310337335549	0.184974081513018	0.20303104006298828	0.12904454894777034	0.3376422506000266	0.12492051417819179	0.11447079980076215	0.11826480671782948	0.13904792814880987	0.17141124405930255	0.1845918540478264	0.17510941474201688	0.12168326517989414	0.10433000036304704	0.10666418458539267	0.147556426066414	0.11448206687300003	0.0944262468077987	0.342798571773054	0.14790933489385316	0.3168464571815637	0.188117587379589	0.12434991957134725	0.19320404518890336	0.17484005378886763	0.3371353510337026	0.10160271963533953	0.09673900346099303	0.17009154459544396	0.170662131271425	0.30187209249704794	0.2696735357854868	0.24067273571875514	0.17421205239527954	0.1963205429255662	0.28889593692321397	0.3409706870043509	0.07482137810754454	0.33140844368540046	0.1423098857679161	0.1178465515247383	0.10183654995029912	0.32646514963995654	0.2407710147897207	0.2019669185535835	0.14349715124498552	0.28576454630254583	0.16515981946258648	0.3010051118272026	0.22676438052642992	0.1661832664320111	0.12573425495109775	0.13577081993706705	0.2623224655135087	0.35115879788186843	0.14942204765076228	0.12289443315798687	0.10518781876092609	0.2840984102203972	0.25467029600098234	0.19010913675758861	0.125836101927263	0.19609071016146834	0.12678518826808136	0.1899693658510836	0.17223355265941506	0.14954804924906173	0.268469751806404	0.2232816948536653	0.2252050867437358	0.2112254022488808	0.17122000204065252	0.2792305957643455	0.16683595846597854	0.19264526480335153	0.18386267604530043	0.19194143564757066	0.21359728152503446	0.1778191172436953	0.10983862082503676	0.11408735666993383	0.0950285084234189	0.16560656977296462	0.15105400128533297	0.24673536707566485	0.11075285458337589	0.22107484672597733	0.20502834145427426	0.12940193112809487	0.14575673562401353
CM025	0.26884049045024666	0.18875723934846406	0.14331356589602473	0.17581551197323858	0.1293150871253994	0.0	0.2985165376470892	0.27154634811974365	0.3563360288896182	0.28341544426290716	0.24021065247422752	0.349811093767109	0.39190545108979574	0.290814296735125	0.35665534379751496	0.44911076866728744	0.506698157530411	0.19984974539992223	0.2845375909263061	0.24062756988036732	0.3485248333256167	0.4312760619406294	0.3032328795013037	0.46786181026546686	0.33642287869315246	0.3433455830034551	0.3046559771059286	0.32506396030327817	0.26436104205830163	0.23479160449468459	0.4367183050494917	0.463322061036182	0.42724729283147517	0.24346913896246705	0.3037841757234344	0.30299786068689827	0.2778718721507901	0.2651298341644687	0.24343237642698423	0.1631684941865693	0.12653113084723908	0.18098391384830184	0.1880799149854689	0.19977275015606663	0.1918226573351685	0.33231410171176523	0.3504899822602018	0.23383649058556277	0.18237884627624268	0.18612132312647697	0.19470630687568696	0.2215250300564383	0.18940233758183736	0.26646922694577757	0.18609487371887634	0.3596004162543103	0.237556117712234	0.25883447939581616	0.23843230837446205	0.17990262313069888	0.2580355949710509	0.2879896135489149	0.15271974203234387	0.2771230180554919	0.17751516156745278	0.19512043618731537	0.2084553229953564	0.22039889912503952	0.12978384517881403	0.1362502865658764	0.125920943181478	0.1562325117078043	0.14165712340611794	0.1279652737018252	0.2136912214740318	0.10345723968782651	0.19679940626124648	0.3221051278938162	0.14234441459230252	0.36799219603941924	0.20925786506040114	0.20237642733217723	0.24367565570423075	0.2581846029546653	0.38873088428803976	0.09929496162125032	0.18818778066162326	0.17433200147266004	0.24773855368278888	0.2357439671066372	0.2916515794534507	0.23201917669772873	0.24612072745384153	0.26027061512101357	0.35433420243906644	0.30332219917398595	0.13173956613719912	0.28397490486096616	0.18821938370815394	0.1622061862241717	0.20464952397164887	0.3596479119652647	0.1936489215819062	0.18970660412052354	0.15029152798354276	0.2500709557814148	0.1616548362555814	0.28768795001696496	0.15062229197258808	0.15782650452042865	0.13734868076329776	0.10798041325155544	0.1894255490324114	0.31296025947372175	0.10378323321120447	0.20781674889074686	0.1955875825714914	0.23016894590470086	0.20338388298223095	0.16985707369573205	0.13054594375453132	0.1395241231646683	0.12496641059269287	0.25123560452239296	0.2351731246414004	0.17568732484014837	0.20125370825407216	0.20885260330688982	0.1366389868139837	0.14837705459046963	0.10282805710933816	0.2616472340608116	0.1631056685633448	0.2021352657792644	0.23317286860725983	0.21643814400794248	0.30229071983896616	0.2675690710698735	0.17095214725630098	0.22535808642882224	0.19108609226265677	0.26436667510700024	0.24684707784924298	0.3291756953255657	0.21162213158636523	0.3067358340012275	0.2977207855543401	0.21731255477421474	0.2145538142282427
CM033	0.21494714069885476	0.2345020186832461	0.35738514577770975	0.15811470440459674	0.24111346145441073	0.2985165376470892	0.0	0.25062798745183495	0.21802576549765684	0.23456428992398348	0.35213797060659885	0.22760544773637176	0.21027969307728187	0.13229555437890264	0.2983855212855163	0.4189421662411861	0.4037733004656652	0.28618716911743897	0.282093921265252	0.13585482236105823	0.1512746310209627	0.2857155807416754	0.39477725165959093	0.3893229871937368	0.17223182136070397	0.37228939482484574	0.44673019458105745	0.3533980202725323	0.24178766384493866	0.16246152893368826	0.2706640234840943	0.33149455751504736	0.37620381331624847	0.18757244235518036	0.24382620687399023	0.3201255974893841	0.4128487636970901	0.19625763800457768	0.18904604826854035	0.2581348645773745	0.3252615329868111	0.30599098480164805	0.15036809667960938	0.15266675715104336	0.17909715971609314	0.15275384468711012	0.15179629302448	0.12146295436343238	0.20265177088640932	0.2740384509659703	0.3684287611940904	0.16047617667992675	0.21663501016626158	0.1843437346871597	0.15322253434493316	0.28906280425533515	0.17222752723807414	0.17570786150534032	0.15830458875906825	0.21184766474825475	0.20569114086151805	0.2161134546046134	0.26535006058587995	0.32528034539155315	0.2539270954946742	0.1972732882795786	0.26341037427472735	0.15038651450885981	0.2762861882344724	0.25313748948555453	0.28391792576521674	0.3159962510376805	0.2411652770850105	0.24828003831862255	0.17415823909307615	0.28350765239406206	0.195271631037286	0.3799498394092021	0.28781371928927924	0.34280445746482435	0.2471468039267137	0.28990482878135937	0.23933665852668495	0.1541338671950375	0.2598871157242223	0.30669183018644736	0.20808465787376973	0.2568144239364771	0.17281968353464341	0.3752723603525552	0.2547192583872122	0.4018043946535019	0.17994857989313148	0.23167431379749198	0.28900907071474413	0.3987603424915927	0.2777624187785709	0.33961625357233727	0.1911653905087606	0.2230322748322489	0.18835262834744598	0.328342224313086	0.2623444305555885	0.29943389667413073	0.24227382100972042	0.3448151847009009	0.1851187136029836	0.3876006009241823	0.3181719231528264	0.3624753412159246	0.27882880130108634	0.2918748406931695	0.21186155016122468	0.32469406240213117	0.2789279686434982	0.19039820573049981	0.14665521328343606	0.3186741798603454	0.24361373491633376	0.39504714131504315	0.26621891416176574	0.2198216568302238	0.2353648736477837	0.12150567246931446	0.130286732607218	0.16794880433634288	0.3186738493945448	0.21143450384475393	0.3736140423409486	0.3548101667064858	0.33592607050463813	0.35893806112523274	0.31157450926860236	0.2532159392127892	0.24719003418931823	0.12648661095576674	0.24308886866516896	0.18652049795264458	0.2706948497100806	0.23541377610893302	0.31314698447646305	0.21339477861103803	0.17072531891430484	0.2863466460001077	0.19170966331232728	0.2761419851832921	0.21479173158012227	0.18426071562847435	0.27166964326422255
CM039	0.18304693264991476	0.37467342645377594	0.26462713953178174	0.23443896857425997	0.18687620452990195	0.27154634811974365	0.25062798745183495	0.0	0.3330509129169547	0.18218787242081783	0.4071877601368261	0.28677907990063906	0.32744700205958016	0.25097225395028644	0.22812614132820863	0.3653849691008891	0.3571488817811194	0.15982663865492056	0.12562616500721296	0.22359786328962578	0.2965119065059015	0.2835929521648728	0.34868447704954986	0.3622534881933537	0.29193853708344575	0.3366637489908673	0.3860427691141679	0.2429168643680657	0.22552699543652965	0.16517722175339317	0.3958923464575347	0.3612357199616931	0.345658857498914	0.218536903546129	0.19541801527521693	0.30564879425998503	0.389975222878008	0.22377150839859092	0.1849831791688369	0.24886116070453956	0.23806336809975231	0.340694710836249	0.17086200882274694	0.1389747106491902	0.2287643001010687	0.2931909254984856	0.28950638254285377	0.19644574755756652	0.29971773733287527	0.18037162661982645	0.23550153222234865	0.15002798366521508	0.21015945790121138	0.21119667266695602	0.25592096267950054	0.3173267077495724	0.16530379475386184	0.32741734880876433	0.2918264953418894	0.22086784590830272	0.14456103325083947	0.2356728661750992	0.21911974670314252	0.42229461466578533	0.28846150123697684	0.26038391324786553	0.18271472380768106	0.21724109276523346	0.2831101848141838	0.2981011553893475	0.2922568013682613	0.21030780390780318	0.23813621934917484	0.254625650686747	0.1742933185156808	0.2595744798544703	0.1648777358295996	0.48099002650998407	0.32148395704971466	0.31826233965416184	0.26814613708596796	0.16643168403251068	0.19884935738195936	0.21896933843515556	0.27162945015542017	0.2605208742766236	0.22876164769448998	0.30211418882894087	0.17965677221072027	0.36041647327889104	0.23733836142865433	0.2974779007271849	0.1559063517357955	0.13644446329895904	0.20350481598491565	0.33653363322191604	0.2040743491473797	0.477279982341213	0.2731669555325622	0.2351303471987492	0.23024349294011925	0.2987761289801802	0.3240902703219801	0.3497162119556933	0.2513691590092145	0.4208386166530349	0.2908233607183257	0.4397763719784944	0.3548832878684539	0.3103452007439337	0.24553166865273726	0.29317012139113885	0.3598305424414177	0.43966403614194416	0.2734791768306671	0.21135388744352424	0.22079279785149775	0.39572296299992643	0.4005418346567948	0.2819704608221394	0.2574364893538426	0.3140959069483107	0.2719167428075855	0.23482529413822764	0.15822357574779083	0.1889042106446232	0.42895738866288374	0.3408923714625045	0.2645310759652119	0.3171407466702223	0.2522277038815617	0.40717049276006767	0.21555899305542692	0.29437323789607517	0.19283829148252088	0.281892529665033	0.1767441102646487	0.21353162552355762	0.1652782310931681	0.13892309166489272	0.18974680815318476	0.22128988078966855	0.19330660082139947	0.18448707639731923	0.23458714424399713	0.2310523410929488	0.2451853574372154	0.20998579283899987	0.1450141736955961
CM040	0.22057756203189127	0.3413220295043953	0.44653519363518784	0.21747453200050987	0.2822579457979465	0.3563360288896182	0.21802576549765684	0.3330509129169547	0.0	0.2236359012825632	0.45272360817387775	0.0896161732582548	0.08323589094769526	0.2680372469923366	0.18132416396347611	0.5408151918139849	0.24369920784446797	0.33690724614234474	0.32109375193316214	0.19003066437355962	0.10675962767760921	0.4384115998690108	0.5428760734006801	0.24776894235219576	0.13071032733541535	0.5314442265172267	0.5836657089230826	0.4542639440523806	0.38218073719739365	0.25328919542014156	0.10536388588398676	0.1770799576711158	0.23783207024267358	0.2691778953705884	0.19885070288109016	0.4422595184244334	0.5225684850426862	0.20684827627207233	0.22055719925787481	0.3047622732225833	0.383191248631709	0.40320126709993487	0.23651036626785035	0.2191741685633635	0.2481281236058198	0.09970067467068858	0.13072805748003186	0.17848738437801687	0.2858998128289587	0.32796300545162127	0.43888234501919526	0.2222462217687362	0.27314120549911003	0.17002757965610407	0.2772199496240592	0.08362338751106464	0.23368336066175904	0.3114942205031662	0.24833030844993376	0.2504959743609703	0.24321057788853984	0.16165597506993934	0.3296964147363153	0.487843843702681	0.2951607700922626	0.2535559198639369	0.2976477947088223	0.20060017906362113	0.3445221618233607	0.33620752785246627	0.35249785405389644	0.3570981540719811	0.28699112438417684	0.2913892663295814	0.21106457610430537	0.3362850946088159	0.2311639793414384	0.47142284986086713	0.33625965862143214	0.14089071980165357	0.34380800239338977	0.3322079002531084	0.2616220624562419	0.20624905995107273	0.3355854819108713	0.35330031646609256	0.2417316409608834	0.3166212902743352	0.1991193498850347	0.49275409367963907	0.22217719747861644	0.4457358914049736	0.26201629587210823	0.30126112362892277	0.38081454088914307	0.5408152481256621	0.3112251115556964	0.44890634423478826	0.2670746620935085	0.2747274437335963	0.23267615660691074	0.16595448115173192	0.41829161770082346	0.38720392413881927	0.3145753532812786	0.441088173785963	0.28379278027873706	0.466929575399648	0.39500543554154516	0.40182040370909605	0.34132337794915946	0.3441934278616205	0.39960278889194356	0.49544895304528525	0.35713055800544735	0.27020613877232225	0.2291223992242611	0.46821442912602496	0.37338508107197477	0.43960623386692554	0.29864805542712947	0.35030466772991875	0.30205231402825927	0.22822039851361697	0.2339474967149552	0.24080376826922056	0.42570863713077745	0.3426236654563336	0.4556040032765388	0.4291659607041526	0.3715361316651518	0.4530932152136223	0.4082255218693219	0.33241134590594407	0.3685056365907016	0.2979036262875404	0.20677976910051118	0.16988318427730686	0.3240297608595629	0.2694185118709661	0.34783112481275236	0.25203954658484157	0.20664387893968306	0.22185421052689702	0.23459586001292673	0.19590881060077947	0.25836168791826036	0.22890327002725974	0.3586247778885624
CM041	0.08464303948932847	0.402238398884667	0.3264144400967068	0.25125591507105666	0.23191795570948232	0.28341544426290716	0.23456428992398348	0.18218787242081783	0.2236359012825632	0.0	0.42230906303236093	0.1837528826446688	0.23931899050320932	0.2934502605815565	0.13937594701286077	0.417112425937035	0.2679449202708615	0.23456082229551276	0.19165387266914752	0.23310134743239658	0.16890931415090707	0.3007975680217718	0.3976675875687685	0.24172653071377542	0.16471882509224556	0.3915666807789793	0.4313141738525055	0.30724709458168453	0.23694245090856877	0.17910969924373893	0.2731572921889591	0.2864688200864711	0.24379580315705893	0.15759381146008014	0.13824927473091908	0.3680624417503381	0.43810988576449494	0.13212316766250004	0.21442843672187945	0.3187716532285455	0.2935654112598935	0.40511546864222125	0.21656615091119946	0.20173247043798564	0.28928295198959214	0.18887117959747957	0.1853690428410577	0.20924966778317977	0.34249473076329223	0.25264454966221683	0.3428785271760551	0.14579868302990734	0.2567165648804773	0.18512498757391538	0.29370927989018575	0.2096936592164705	0.18143241438234853	0.34344424170676124	0.3260409689604892	0.2715331605790528	0.1646249471774739	0.12981549484034258	0.2803873509473177	0.45188820292546067	0.3121638481012221	0.3166619146290658	0.23527661484424345	0.2396955295882252	0.3546787173871911	0.35773583424821576	0.36775435538176926	0.27998116105257365	0.2970216634176317	0.3057331078496987	0.12845018500246033	0.28558554524476737	0.2123887937666185	0.5454828568066081	0.3622526795133648	0.21632522801501386	0.3047262223066589	0.24861295644568382	0.16865334193898318	0.2400524400741808	0.24096994403967267	0.28943366375881285	0.26449634056301186	0.3351759370455281	0.1552255131646632	0.3644428502916709	0.12712080745812235	0.3399352545146249	0.17504288965086254	0.1732584045199583	0.20476532257540037	0.3910661835331821	0.23883574942800329	0.5112055079680753	0.3057752628607353	0.26998397155027826	0.26889197098947004	0.19830645928254725	0.3718999867195819	0.41106134457482524	0.3124794899896559	0.4560788469660834	0.3289608741750909	0.47696603051960773	0.3825806159461035	0.3778568572868195	0.28034724239184966	0.3155357146680801	0.389703606199508	0.46824296050951764	0.32245337338642677	0.2739260344668804	0.2601180002167807	0.3874136599948827	0.4344673602836571	0.3618324279522267	0.30516059485272123	0.32325455104757167	0.28308109394776904	0.21963935246722285	0.1754915268926081	0.20317111245905997	0.44321728683255285	0.3641037263379556	0.28683883351541895	0.3108328358767417	0.28439989385015674	0.45138845145356704	0.24457783271649275	0.3123329803771887	0.26726504123058864	0.29133080396646627	0.14159308382669297	0.13791448246184781	0.21193858117465408	0.22423351362332128	0.2644908020135995	0.29714999487944094	0.19763157027698874	0.13786082288466597	0.2613853978605036	0.15473275044801985	0.27875852531478396	0.26826246494252576	0.23353858175516
