	CM006	CM009	CM021	CM025	CM039	CM040	CM068	CM078	CM086	CM089	CM095	CM107	CM110	CM113	CM117	CM118	CM126	CM130	CM145	CM153	CM154	CM155	CM165	CM166	CM168	CM171	CM176	CM179	CM181	CM182	CM183	CM184	CM185	CM196	CM198	CM199	CM213	CM215	CM217	CM219	CM222	CM229	CM230	CM244	CM246	CM253	CM254	CM255	CM257	CM259	CM260	CM261	CM262	CM263	CM265	CM266	CM268	CM271	CM293	CM316	CM324	CM360	CM362	CM372	CM383	CM387	CM404	CM406	CM411	CM434	CM436	CM437	CM438	CM439	CM441	CM443	CM444	CM448	CM449	CM452	CM455	CM461	CM469	CM471	CM476	CM482	CM486	CM489	CM501	CM515	CM518	CM520	CM524	CM535	CM538	CM539	CM540	CM547	CM554	CM557
CM006	0.0	0.2376010378205768	0.21180520906097197	0.25561321225426603	0.34776968366430494	0.32716295778864385	0.33260153677277715	0.34357848518111966	0.29228619898213754	0.32232312144496555	0.32391976848617904	0.47150982935834745	0.481838139906197	0.33529587865482485	0.310797325616206	0.507484283005688	0.47071150583774074	0.456740844227123	0.39631773276120147	0.35854705119249575	0.4046502345075342	0.4105877656920467	0.5190599740544856	0.5196587166949406	0.2971260353258158	0.3186308751621595	0.325167148987127	0.3040115756910488	0.2765193094501547	0.31693443768087015	0.27981239397265745	0.29253567508232714	0.2841532781159565	0.30830256461430994	0.2916375611216446	0.30800319329408243	0.3362438878355454	0.32616505338788543	0.35420616704919666	0.3211755313840934	0.2983734158267638	0.35285899610817284	0.3282606526294781	0.3287097096098194	0.307005288893324	0.30421115657120046	0.27332601536772777	0.33155373715198083	0.2937331603632372	0.312643448757609	0.288843428799521	0.305109270531883	0.3030136712902904	0.2997704819878256	0.312643448757609	0.3015667099091907	0.34238099990020954	0.3307554136313741	0.29857299670691545	0.42336094202175434	0.32446861590659615	0.27841532781159567	0.6665003492665402	0.2611016864584373	0.3919768486179024	0.4384791936932442	0.370272427901407	0.2981738349466121	0.3270132721285301	0.2948807504241094	0.3405847719788444	0.3229218640854206	0.31049795429597843	0.3147889432192396	0.27252769184712106	0.2943817982237302	0.29118850414130326	0.30121744336892525	0.3137411435984433	0.2854505538369424	0.34502544656221934	0.29039018062069655	0.3018660812294182	0.33090509929148787	0.2989222632471809	0.2728769583873865	0.26664005588264644	0.27577088114958587	0.33155373715198083	0.32671390080830254	0.30875162159465125	0.3154874762997705	0.32391976848617904	0.31608621894022554	0.36822672387985234	0.3802015766889532	0.3794032531683465	0.3525097295679074	0.25880650633669294	0.2749226624089412
CM009	0.2376010378205768	0.0	0.23979642750224528	0.2552140504939627	0.38249675681069756	0.3838439277517214	0.38010178624887736	0.37765692046701926	0.3430296377607025	0.3726673984632272	0.3388883344975551	0.5254465622193394	0.4884742041712404	0.38449256561221434	0.3520606725875661	0.5168146891527792	0.48692745235006485	0.464275022452849	0.44087416425506437	0.4441173535575292	0.4703622392974753	0.48103981638559024	0.5422612513721186	0.5533379902205369	0.35799820377207864	0.3757110068855404	0.3082027741742341	0.32157469314439674	0.30046901506835644	0.3275621195489472	0.31199481089711606	0.30959984033529586	0.3243189302464824	0.3743139407244786	0.3767588065063367	0.37860492964773973	0.35879652729268535	0.3413332002794132	0.3792036722881948	0.34392775172138507	0.35016465422612514	0.3645843728170841	0.3869873266141104	0.35824767987226824	0.31633569504041514	0.3508132920866181	0.3018161860093803	0.3537571100688554	0.2758706715896617	0.29612813092505735	0.27207863486677974	0.3537072148488175	0.33938728669793433	0.340235505438579	0.385340784352859	0.37640953996607124	0.3728669793433789	0.3351461929947111	0.3494661211455943	0.4492066660013971	0.32736253866879556	0.3399860293383894	0.6761800219538968	0.2849516016365632	0.43663307055184114	0.46986328709709607	0.3626883544556431	0.3227222832052689	0.30441073745135216	0.3748627881448957	0.30256461430994913	0.2891926953397864	0.27058177826564217	0.29039018062069655	0.2662408941223431	0.2727272727272727	0.28934238099990023	0.2778165851711406	0.29063965672088615	0.2705318830456042	0.33669294481588663	0.2849017064165253	0.3024149286498353	0.323321025845724	0.25930545853707215	0.32691348168845424	0.34497555134218144	0.34607324618301566	0.3042610517912384	0.340834248079034	0.287596048298573	0.2859495060373216	0.34113361939926157	0.3350962977746732	0.39018062069653725	0.4299970062867977	0.37885440574792933	0.36797724777966273	0.3096996307753717	0.3142899910188604
CM021	0.21180520906097197	0.23979642750224528	0.0	0.15218042111565713	0.3961181518810498	0.36767787645943517	0.3678275621195489	0.3534577387486279	0.28824468615906595	0.32416924458636864	0.30660612713302066	0.487476299770482	0.4837840534876759	0.35799820377207864	0.33983634367827564	0.5110268436283804	0.46602135515417625	0.45928550044905697	0.39741542760203574	0.3905797824568406	0.43034627282706317	0.44311944915677076	0.5086817682865982	0.5050893124438679	0.287596048298573	0.3285600239497056	0.2621494860792336	0.25631174533479695	0.24982536672986727	0.2677377507234807	0.24129328410338288	0.24214150284402755	0.2658916275820776	0.2970761401057779	0.30910088813491665	0.3094002594551442	0.34896716894521507	0.32885939526993313	0.3562019758507135	0.3067558127931344	0.27936333699231614	0.33180321325217044	0.3289092904899711	0.3157369523999601	0.28749625785849714	0.28599940125735956	0.26619099890230513	0.30286398563017664	0.26609120846222933	0.2829557928350464	0.2554136313741144	0.2675880650633669	0.2772677377507235	0.29123839936134116	0.30959984033529586	0.3064564414729069	0.32616505338788543	0.2843029637760702	0.2682865981438978	0.45504440674583374	0.2867478295579283	0.2964773974653228	0.6590659614808901	0.23400858197784652	0.40579782456840635	0.45015467518211755	0.3613910787346572	0.29872268236702926	0.31094701127631974	0.33744137311645545	0.34801915976449455	0.32746232910887135	0.29148787546153077	0.32611515816784753	0.2184911685460533	0.26963376908492165	0.23475701027841533	0.2672387985231015	0.2902903901806207	0.22233310048897315	0.36343678275621194	0.2721285300868177	0.2711306256860593	0.3346472407943319	0.3048597944316934	0.22827063167348569	0.2521205468516116	0.2565113262149486	0.2918870372218341	0.3199780461031833	0.2875461530785351	0.3177327612014769	0.32526693942720286	0.3072048697734757	0.38843428799521007	0.4159265542361042	0.401606626085221	0.35066360642650435	0.215547350563816	0.259405248977148
CM025	0.25561321225426603	0.2552140504939627	0.15218042111565713	0.0	0.40415128230715497	0.3600938030136713	0.3889831354156272	0.3818980141702425	0.315786847619998	0.36418521105678076	0.2969264544456641	0.5066859594850813	0.5028939227621994	0.3912284203173336	0.3683764095399661	0.515068356451452	0.48468216744835846	0.47066161061770284	0.42710308352459836	0.416674982536673	0.45339786448458236	0.47021255363736153	0.5316335695040415	0.5240494960582777	0.3373415826763796	0.36707913381898016	0.2570102784153278	0.26858596946412533	0.2684861790240495	0.2678375411635565	0.24638259654725078	0.25446562219339386	0.25391677477297675	0.30935036423510626	0.3361939926155074	0.33330006985330807	0.3486677976249875	0.334597345574294	0.35505438578984133	0.30910088813491665	0.2926853607424409	0.3206765791837142	0.3224728071050793	0.3105977447360543	0.2916375611216446	0.295728969164754	0.2660413132421914	0.29368326514319926	0.2697335595249975	0.27826564215148186	0.2579083923760104	0.27607025246981337	0.27068156870571797	0.2718790539866281	0.3154375810797326	0.3186308751621595	0.32885939526993313	0.2680870172637461	0.2777666899511027	0.4725576289791438	0.28071050793333996	0.29742540664604333	0.6333200279413232	0.24678175830755414	0.4297475301866081	0.4676678974154276	0.34931643548548047	0.3086518311545754	0.3054086418521106	0.3730665602235306	0.3413332002794132	0.3153876858596946	0.29039018062069655	0.32372018760602733	0.22303163356950403	0.26125137211855104	0.23400858197784652	0.2650933040614709	0.2892425905598244	0.2197385490470013	0.330206566210957	0.2508232711306257	0.2471809200678575	0.31952898912284206	0.3079034028540066	0.21928949206666	0.25631174533479695	0.24214150284402755	0.26858596946412533	0.3459235605229019	0.3059574892725277	0.3205767887436384	0.35949506037321627	0.28624887735754917	0.3652330106775771	0.38793533579483086	0.37715796826664005	0.34213152380001993	0.21714399760502945	0.2708312543658318
CM039	0.34776968366430494	0.38249675681069756	0.3961181518810498	0.40415128230715497	0.0	0.17912383993613412	0.3110468017163956	0.39227621993812994	0.38474204171240395	0.3858896317732761	0.4602335096297775	0.48278614908691747	0.47904400758407345	0.35660113761101686	0.3600439077936334	0.5061371120646642	0.4902704320926055	0.4626783754116356	0.434836842630476	0.32885939526993313	0.36827661909989023	0.3780061870072847	0.5809300469015068	0.5838239696637062	0.46901506835645146	0.44391777267737753	0.4713102484781958	0.4588364434687157	0.4365831753318032	0.44840834248079037	0.4346372617503243	0.4342879952100589	0.4279014070452051	0.4786448458237701	0.45045404650234505	0.43443768087017265	0.33200279413232214	0.3436782756211955	0.45339786448458236	0.40410138708711707	0.3831952898912284	0.411036822672388	0.36283804011575693	0.4096397565113262	0.3935236004390779	0.4347869474104381	0.3868376409539966	0.4997006286797725	0.44666200977946313	0.4894222133519609	0.4575890629677677	0.43104480590759403	0.4418720686558228	0.45559325416625085	0.5005488474204172	0.49096896517313643	0.5211555732960782	0.4804909689651731	0.41308252669394274	0.45968466220936033	0.4550943019658717	0.40549845324817885	0.7311146592156471	0.44032531683464726	0.442969763496657	0.48258656820676576	0.4436682965771879	0.3748128929248578	0.3824468615906596	0.4646741842131524	0.4531982836044307	0.44820876160063866	0.41118650833250175	0.4513521604630276	0.4280011974852809	0.4573395868675781	0.4480590759405249	0.4578385390679573	0.4383295080331304	0.4108372417922363	0.3256661011875062	0.4132821075740944	0.4090909090909091	0.3678275621195489	0.42076639057978243	0.40609719588863386	0.4054485580281409	0.4078435285899611	0.4413232212354056	0.37855503442770183	0.3984133320027941	0.4370322323121445	0.37770681568705716	0.3809999002095599	0.32257259754515516	0.33494661211455945	0.34552439876259855	0.4127831553737152	0.4034527492266241	0.35041413032631474
CM040	0.32716295778864385	0.3838439277517214	0.36767787645943517	0.3600938030136713	0.17912383993613412	0.0	0.31828160862189403	0.4304959584871769	0.3992116555234009	0.4063965672088614	0.3924259055982437	0.5512423909789442	0.5597744736054286	0.3988124937630975	0.3742640455044407	0.5752918870372218	0.5679073944716097	0.5371220437082127	0.47170941023849916	0.3615906596148089	0.4186707913381898	0.42116555234008585	0.6256361640554835	0.6288294581379104	0.4550943019658717	0.4418720686558228	0.4270531883045604	0.41877058177826565	0.40210557828560023	0.4043009679672687	0.3894820876160064	0.39287496257858495	0.3624887735754915	0.44007584073445766	0.43877856501347173	0.434836842630476	0.3283604430695539	0.32965771879053984	0.39087915377706817	0.3494162259255563	0.3337491268336493	0.3494162259255563	0.3262648438279613	0.34382796128130927	0.37007284702125537	0.37740744436682966	0.346472407943319	0.4302464823869873	0.4129827362538669	0.4468116954395769	0.41857100089811394	0.3854405747929348	0.3902804111366131	0.3862388983135416	0.4342879952100589	0.4267538169843329	0.45254964574393775	0.42041712403951703	0.39237601037820574	0.4992016764793933	0.39966071250374213	0.36832651431992813	0.7155972457838539	0.42151481888035125	0.47854505538369424	0.5080331304261052	0.4084422712304161	0.34896716894521507	0.36363636363636365	0.45205069354355853	0.4358846422512723	0.4291487875461531	0.3965173136413532	0.4268037122043708	0.39447160961979844	0.4213651332202375	0.4242590559824369	0.4409739546951402	0.4227621993812993	0.39307454345873666	0.28420317333599443	0.36663007683863885	0.36218940225526397	0.3286598143897815	0.39791437980241495	0.36228919269533977	0.362788144895719	0.3746133120447061	0.4069953098493164	0.41772278215746933	0.39716595150184614	0.41717393473705217	0.4203672288194791	0.32791138608921266	0.2775172138509131	0.28230715497455344	0.29358347470312346	0.3527093104480591	0.37471310248478196	0.36987326614110366
CM068	0.33260153677277715	0.38010178624887736	0.3678275621195489	0.3889831354156272	0.3110468017163956	0.31828160862189403	0.0	0.2597046202973755	0.2583574493563517	0.2645444566410538	0.3527093104480591	0.4382796128130925	0.4175730964973556	0.24902704320926056	0.22602534677177927	0.4543957688853408	0.42051691447959283	0.39936134118351463	0.40554834846821675	0.2858996108172837	0.3359445165153178	0.3040115756910488	0.5260453048597944	0.5436084223131424	0.34238099990020954	0.33699231613611413	0.3542560622692346	0.34881748328510126	0.32496756810697536	0.3546053288095001	0.3291587665901607	0.3127931344177228	0.3130426105179124	0.3650833250174633	0.36977347570102787	0.3598942221335196	0.20736453447759703	0.20372218341482887	0.2908392376010378	0.24303961680471012	0.2407943319030037	0.263147390479992	0.23455742939826366	0.26713900808302565	0.24558427302664404	0.326464424708113	0.2587067158966171	0.3941722382995709	0.3184811895020457	0.35310847220836244	0.3273126434487576	0.33724179223630374	0.3459734557429398	0.358397365532382	0.3927252769184712	0.37990220536872565	0.4200179622792137	0.3882846023350963	0.3362438878355454	0.4375810797325616	0.3838938229717593	0.3030635665103283	0.677976249875262	0.3194291986827662	0.42665402654425705	0.44182217343578484	0.29927152978744637	0.2572098592954795	0.24318930246482387	0.3250673585470512	0.32446861590659615	0.3177826564215148	0.28869374313940727	0.3008182816086219	0.33843927751721387	0.3413830954994512	0.33714200179622794	0.3367927352559625	0.3372916874563417	0.3442770182616505	0.3000698533080531	0.3343977646941423	0.35415627182915876	0.28604929647739746	0.34238099990020954	0.32661411036822674	0.3089512024748029	0.3069553936732861	0.3618401357149985	0.3035126234906696	0.2846023350962978	0.31713401856102186	0.2904899710607724	0.33005688055084326	0.3313042610517912	0.3241193493663307	0.3324019558926255	0.36338688753617404	0.3332501746332701	0.27197884442670395
CM078	0.34357848518111966	0.37765692046701926	0.3534577387486279	0.3818980141702425	0.39227621993812994	0.4304959584871769	0.2597046202973755	0.0	0.27956291787246784	0.26933439776469414	0.4203672288194791	0.40230515916575194	0.33529587865482485	0.2729268536074244	0.2339087915377707	0.3608422313142401	0.29877257758706716	0.318930246482387	0.31553737151980843	0.2710308352459834	0.328959185710009	0.3332002794132322	0.3828959185710009	0.3945714000598743	0.254365831753318	0.244985530386189	0.350264444666201	0.3581977846522303	0.26788743638359447	0.3135914579383295	0.28360443069553937	0.3079034028540066	0.31828160862189403	0.34801915976449455	0.34921664504540467	0.34113361939926157	0.2843029637760702	0.2642949805408642	0.406646043309051	0.3275621195489472	0.326464424708113	0.3949206666001397	0.34906695938529086	0.3678774573395869	0.26853607424408743	0.3891827162957789	0.32202375012473805	0.3905298872368027	0.2678375411635565	0.2819079932142501	0.28150883145394673	0.4005089312443868	0.39287496257858495	0.397265741941922	0.42071649535974454	0.4265043408841433	0.43788045105278917	0.41822173435784854	0.38304560423111467	0.41467917373515617	0.41467917373515617	0.3921764294980541	0.6978844426703922	0.28899311445963477	0.4218640854206167	0.41198483185310847	0.3156870571799222	0.28959185710008983	0.2746232910887137	0.3848917273725177	0.3046103183315038	0.3084023550543858	0.3010178624887736	0.27602035724977547	0.30191597644945617	0.2762698333499651	0.30466021355154177	0.3015667099091907	0.30471010877157967	0.3177826564215148	0.38329508033130427	0.33609420217543157	0.38369424209160763	0.3811994810897116	0.36493363935734957	0.338339487077138	0.3253168346472408	0.3243189302464824	0.37476299770481986	0.26913481688454244	0.28799521005887635	0.3388384392775172	0.2628979143798024	0.39716595150184614	0.4534976549246582	0.4490070851212454	0.45045404650234505	0.4243588464225127	0.3248677776668995	0.33394870771380103
CM086	0.29228619898213754	0.3430296377607025	0.28824468615906595	0.315786847619998	0.38474204171240395	0.3992116555234009	0.2583574493563517	0.27956291787246784	0.0	0.2192395968466221	0.3047600039916176	0.3584472607524199	0.3778565013471709	0.21814190200578784	0.22951801217443368	0.41173535575291886	0.3551541762299172	0.36024348867378503	0.3488673785051392	0.301367129029039	0.32791138608921266	0.32367029238598943	0.41363137411435985	0.4186707913381898	0.22472807105079334	0.22223331004889732	0.24957589062967767	0.23036623091507832	0.2327113062568606	0.26449456142101585	0.2310148687755713	0.23585470511924958	0.26933439776469414	0.308901307254765	0.2783654325915577	0.2677377507234807	0.28470212553637364	0.29413232212354057	0.3449256561221435	0.25127232811096695	0.2630476000399162	0.3099491068755613	0.26688953198283605	0.29527991218441274	0.25960482985729966	0.3005189102883944	0.24772976748827463	0.3535575291887037	0.24144296976349666	0.2632970761401058	0.2351561720387187	0.2835046402554635	0.30580780361241394	0.3260153677277717	0.3530086817682866	0.35011475900608724	0.3872866979343379	0.3561520806306756	0.27447360542859994	0.4162259255563317	0.3689252569603832	0.27636962379004093	0.6546751821175532	0.24468615906596147	0.3664304959584872	0.407244785949506	0.38005189102883946	0.3259654725077338	0.340235505438579	0.28739646741842134	0.3448757609021056	0.33579483085520406	0.3213252170442072	0.31878056082227324	0.27547150982935836	0.27252769184712106	0.3018660812294182	0.3184811895020457	0.3397365532381998	0.29358347470312346	0.40475002494761003	0.3486677976249875	0.3397365532381998	0.37072148488174833	0.35335794830855205	0.2629977048198783	0.2597545155174134	0.2613511625586269	0.36468416325715997	0.2843528589961082	0.31144596347669895	0.3639856301766291	0.28739646741842134	0.3727172936832651	0.39282506735854705	0.4007584073445764	0.41343179323420814	0.39871270332302167	0.2625985430595749	0.1773775072348069
CM089	0.32232312144496555	0.3726673984632272	0.32416924458636864	0.36418521105678076	0.3858896317732761	0.4063965672088614	0.2645444566410538	0.26933439776469414	0.2192395968466221	0.0	0.32661411036822674	0.3560023949705618	0.36308751621594654	0.19099890230515917	0.19514020556830655	0.38713701227422415	0.34742041712403954	0.31224428699730566	0.38469214649236605	0.33255164155273925	0.34921664504540467	0.3570002993713202	0.4333399860293384	0.4475102285201078	0.25850713501646544	0.2586568206765792	0.31044805907594053	0.2954794930645644	0.2870472008781559	0.33764095399660715	0.30126733858896315	0.294481588663806	0.29932142500748427	0.3254166250873166	0.3008681768286598	0.28036124139307456	0.34557429398263645	0.30830256461430994	0.3670292385989422	0.308901307254765	0.2986727871469913	0.33255164155273925	0.27602035724977547	0.30471010877157967	0.2765193094501547	0.31194491567707816	0.27502245284901705	0.35710008981139607	0.2996207963277118	0.33719189701626584	0.3112962778165852	0.3204271030835246	0.3202275222033729	0.33609420217543157	0.3672288194790939	0.36852609520007984	0.39357349565911587	0.3537571100688554	0.2799620796327712	0.33235206067258755	0.35151182516714896	0.2934836842630476	0.6461929947111067	0.2692346073246183	0.30436084223131427	0.3204769983035625	0.39427202873964673	0.31977846522303166	0.34896716894521507	0.32581578684761997	0.3834946612114559	0.3603432791138609	0.34263047600039914	0.33988623889831354	0.31229418221734356	0.31523800019958087	0.3292086618101986	0.3494162259255563	0.3522103582476799	0.3278614908691747	0.3662808102983734	0.33938728669793433	0.33574493563516616	0.3481189502045704	0.3260652629478096	0.28769583873864885	0.2608522103582477	0.2658916275820776	0.35525396666999304	0.2548647839536972	0.2673385889631773	0.3394371819179723	0.2236303762099591	0.3533080530885141	0.4011076738848418	0.39966071250374213	0.41038818481189504	0.36613112463825964	0.3134916674982537	0.28150883145394673
