	CM006	CM009	CM021	CM025	CM039	CM040	CM068	CM078	CM086	CM089	CM095	CM107	CM110	CM113	CM117	CM118	CM126	CM130	CM145	CM153	CM154	CM155	CM165	CM166	CM168	CM171	CM176	CM179	CM181	CM182	CM183	CM184	CM185	CM196	CM198	CM199	CM213	CM215	CM217	CM219	CM222	CM229	CM230	CM244	CM246	CM253	CM254	CM255	CM257	CM259	CM260	CM261	CM262	CM263	CM265	CM266	CM268	CM271	CM293	CM316	CM324	CM360	CM362	CM372	CM383	CM387	CM404	CM406	CM411	CM434	CM436	CM437	CM438	CM439	CM441	CM443	CM444	CM448	CM449	CM452	CM455	CM461	CM469	CM471	CM476	CM482	CM486	CM489	CM501	CM515	CM518	CM520	CM524	CM535	CM538	CM539	CM540	CM547	CM554	CM557
CM006	0.0	0.5092783505154639	0.5177777777777778	0.5233644859813084	0.5555555555555556	0.5820433436532507	0.6023054755043228	0.6233062330623306	0.6182795698924731	0.5648854961832062	0.6035502958579881	0.6572104018912529	0.6758349705304518	0.6016713091922006	0.6114457831325302	0.6743215031315241	0.6744186046511628	0.6290726817042607	0.6472148541114059	0.6320987654320988	0.6607142857142857	0.662269129287599	0.671201814058957	0.6725274725274726	0.6016483516483516	0.610079575596817	0.6129629629629629	0.63915857605178	0.5769230769230769	0.6018735362997658	0.5966587112171837	0.6127744510978044	0.6197183098591549	0.6106666666666667	0.5938864628820961	0.6351351351351351	0.628992628992629	0.6376404494382022	0.662613981762918	0.5951742627345844	0.59	0.6081081081081081	0.601010101010101	0.6355685131195336	0.6099585062240664	0.5831062670299727	0.5613079019073569	0.6528662420382165	0.6	0.5982142857142857	0.6129032258064516	0.6169724770642202	0.631004366812227	0.632183908045977	0.631578947368421	0.5804597701149425	0.6217008797653959	0.5954198473282443	0.572354211663067	0.6062992125984252	0.632183908045977	0.56047197640118	0.7774725274725275	0.5504807692307693	0.5995575221238938	0.6226415094339622	0.67601246105919	0.6385542168674698	0.6086956521739131	0.5963060686015831	0.5822102425876011	0.5746835443037974	0.5759036144578313	0.5914285714285714	0.5734939759036145	0.5975903614457831	0.5701559020044543	0.5718157181571816	0.6098901098901099	0.589247311827957	0.6347826086956522	0.5887323943661972	0.5674418604651162	0.5824468085106383	0.5765027322404371	0.580335731414868	0.5722070844686649	0.587431693989071	0.6122448979591837	0.6204379562043796	0.5660377358490566	0.5638629283489096	0.5672043010752689	0.5831062670299727	0.6104513064133017	0.6342182890855457	0.6107954545454546	0.6134969325153374	0.5732323232323232	0.6344463971880492
CM009	0.5092783505154639	0.0	0.44981412639405205	0.4952919020715631	0.5676190476190476	0.6814345991561181	0.6720977596741344	0.66600790513834	0.5389408099688473	0.5969289827255279	0.6770186335403726	0.6538461538461539	0.660828025477707	0.6512096774193549	0.6834381551362684	0.6655574043261231	0.6720720720720721	0.6502835538752363	0.675146771037182	0.6573556797020484	0.6893939393939394	0.6937984496124031	0.6648936170212766	0.6637781629116117	0.631578947368421	0.6096579476861167	0.5153970826580226	0.5088757396449705	0.5918367346938775	0.610909090909091	0.5966542750929368	0.5414551607445008	0.6646341463414634	0.6509803921568628	0.5846422338568935	0.5788617886178862	0.6268939393939394	0.6828282828282828	0.7167019027484144	0.6235059760956175	0.5996168582375478	0.6332665330661322	0.6134615384615385	0.6770833333333334	0.5392670157068062	0.6149193548387096	0.5987903225806451	0.7229437229437229	0.5685557586837294	0.5492700729927007	0.5459183673469388	0.5661080074487895	0.5846702317290553	0.6877551020408164	0.6743215031315241	0.6371134020618556	0.6865979381443299	0.5901960784313726	0.5396825396825397	0.6205533596837944	0.676954732510288	0.6297071129707112	0.8046875	0.5444234404536862	0.5815602836879432	0.6520874751491054	0.7457627118644068	0.7023060796645703	0.642	0.6267190569744597	0.6	0.5544554455445545	0.5310077519379846	0.6046511627906976	0.5733082706766918	0.5787476280834914	0.5317604355716878	0.592292089249493	0.6404040404040404	0.5407801418439716	0.6952965235173824	0.639511201629328	0.5446096654275093	0.6193293885601578	0.5814432989690722	0.5786516853932584	0.6370808678500987	0.632	0.6714876033057852	0.6177024482109228	0.5850202429149798	0.6552462526766595	0.6138613861386139	0.6149193548387096	0.6022304832713755	0.7037037037037037	0.6747474747474748	0.6857749469214437	0.6030534351145038	0.5364341085271318
CM021	0.5177777777777778	0.44981412639405205	0.0	0.42917547568710357	0.5824847250509165	0.6580188679245284	0.6606741573033708	0.6455142231947484	0.53	0.5638297872340425	0.6473317865429234	0.6338028169014085	0.6442141623488774	0.6224719101123596	0.6759259259259259	0.6460980036297641	0.6461232604373758	0.6263048016701461	0.6730769230769231	0.6231884057971014	0.675	0.6766595289079229	0.6252465483234714	0.625	0.5648148148148148	0.5665914221218962	0.5299145299145299	0.5376344086021505	0.5384615384615384	0.5371900826446281	0.5587628865979382	0.5046382189239332	0.6023255813953489	0.6200873362445415	0.5834896810506567	0.5872193436960277	0.6177685950413223	0.654627539503386	0.6943127962085308	0.5982339955849889	0.5789473684210527	0.6088888888888889	0.582089552238806	0.647196261682243	0.5537037037037037	0.5820224719101124	0.576837416481069	0.687960687960688	0.5401606425702812	0.5366336633663367	0.53125	0.5487804878048781	0.5697674418604651	0.6474654377880185	0.6658986175115207	0.6187214611872146	0.6612903225806451	0.564935064935065	0.4980544747081712	0.6193548387096774	0.6220657276995305	0.5872641509433962	0.7939262472885033	0.4872881355932203	0.5609284332688588	0.6177777777777778	0.6990291262135923	0.6658767772511849	0.6031390134529148	0.6463157894736842	0.6061269146608315	0.5598290598290598	0.5525773195876289	0.6272727272727273	0.523109243697479	0.5441176470588235	0.494	0.5532879818594104	0.6134831460674157	0.501953125	0.6832579185520362	0.6090909090909091	0.52834008097166	0.6120689655172413	0.5861297539149888	0.5323590814196242	0.5888888888888889	0.562929061784897	0.6285046728971962	0.5815899581589958	0.5679287305122495	0.6282973621103117	0.5877192982456141	0.6008869179600886	0.6052104208416834	0.6954545454545454	0.6696230598669624	0.6814988290398126	0.5524625267665952	0.5175292153589316
CM025	0.5233644859813084	0.4952919020715631	0.42917547568710357	0.0	0.5440528634361234	0.6057441253263708	0.644927536231884	0.6291079812206573	0.5421686746987951	0.5809312638580931	0.59846547314578	0.6180257510729614	0.6288848263254113	0.6139088729016786	0.640506329113924	0.6379310344827587	0.64	0.6155555555555555	0.671201814058957	0.6123348017621145	0.6554809843400448	0.6535796766743649	0.629399585921325	0.6262626262626263	0.5591133004926109	0.5507246376811594	0.5320284697508897	0.564945226917058	0.5414847161572053	0.5273522975929978	0.5342163355408388	0.5229885057471264	0.5955334987593052	0.6116279069767442	0.5826771653543307	0.5891891891891892	0.6096491228070176	0.6317073170731707	0.676923076923077	0.5781990521327014	0.5777777777777777	0.6223776223776224	0.581081081081081	0.6331658291457286	0.5871212121212122	0.580952380952381	0.5653206650831354	0.6621983914209115	0.5369978858350951	0.5147679324894515	0.5335892514395394	0.5735294117647058	0.5623721881390593	0.6025316455696202	0.6467661691542289	0.6029411764705882	0.6485148514851485	0.5462962962962963	0.5141129032258065	0.6141552511415526	0.6268656716417911	0.5463917525773195	0.7535885167464115	0.49445676274944567	0.5647773279352226	0.6155660377358491	0.6815789473684211	0.649616368286445	0.5899280575539568	0.6275395033860045	0.5666666666666667	0.5208333333333334	0.5593952483801296	0.5950617283950618	0.5188470066518847	0.5113122171945701	0.49159663865546216	0.5220588235294118	0.5735294117647058	0.49072164948453606	0.6393034825870647	0.5823095823095823	0.5118279569892473	0.5737704918032787	0.5819477434679335	0.4818181818181818	0.5611510791366906	0.5211970074812967	0.5918367346938775	0.5837004405286343	0.5454545454545454	0.6051948051948052	0.5636792452830188	0.5843230403800475	0.5876068376068376	0.6525	0.6286407766990292	0.649616368286445	0.5264367816091954	0.5139372822299652
CM039	0.5555555555555556	0.5676190476190476	0.5824847250509165	0.5440528634361234	0.0	0.49226006191950467	0.5602240896358543	0.5793650793650794	0.637137989778535	0.6047058823529412	0.6884816753926701	0.6462585034013606	0.660952380952381	0.6135770234986945	0.650137741046832	0.6558704453441295	0.6355353075170843	0.6220095693779905	0.6423173803526449	0.5604938271604938	0.5831202046035806	0.5931758530183727	0.665943600867679	0.6617336152219874	0.6482412060301508	0.6345679012345679	0.6302816901408451	0.6490683229813664	0.5950226244343891	0.6301969365426696	0.5977272727272728	0.6076923076923076	0.655440414507772	0.6842105263157895	0.6404040404040404	0.6445672191528545	0.5612745098039216	0.5994550408719346	0.6561604584527221	0.5636363636363636	0.5321782178217822	0.5684210526315789	0.556930693069307	0.611731843575419	0.5676229508196722	0.6377171215880894	0.5934343434343434	0.7048710601719198	0.5947712418300654	0.6139240506329114	0.6211538461538462	0.6320346320346321	0.6333333333333333	0.6710526315789473	0.7124352331606217	0.6859296482412061	0.7072538860103627	0.6425233644859814	0.6172344689378757	0.5964912280701754	0.6569148936170213	0.6430446194225722	0.7938931297709924	0.6170678336980306	0.5884861407249466	0.6294416243654822	0.6528189910979229	0.617816091954023	0.5456989247311828	0.6737588652482269	0.5732647814910026	0.5454545454545454	0.5446009389671361	0.6335078534031413	0.5918367346938775	0.5954022988505747	0.5692963752665245	0.606516290726817	0.6246786632390745	0.569937369519833	0.5507246376811594	0.6089238845144357	0.579295154185022	0.5013333333333333	0.5788113695090439	0.610738255033557	0.6277915632754343	0.6451612903225806	0.6314363143631436	0.5876777251184834	0.5725190839694656	0.603988603988604	0.5663265306122449	0.5514511873350924	0.5240384615384616	0.5697674418604651	0.5325779036827195	0.6601671309192201	0.628175519630485	0.6245733788395904
CM040	0.5820433436532507	0.6814345991561181	0.6580188679245284	0.6057441253263708	0.49226006191950467	0.0	0.539622641509434	0.6287625418060201	0.7349624060150376	0.6570605187319885	0.6594982078853047	0.7052341597796143	0.7284768211920529	0.6258503401360545	0.630188679245283	0.7060240963855422	0.7068493150684931	0.6676557863501483	0.6752411575562701	0.622356495468278	0.6529968454258676	0.6366666666666667	0.7225130890052356	0.72544080604534	0.6655844155844156	0.6518987341772152	0.7159763313609467	0.7533557046979866	0.6428571428571429	0.6657754010695187	0.6426592797783933	0.7077922077922078	0.6388888888888888	0.6613924050632911	0.7061611374407583	0.7178947368421053	0.6268656716417911	0.6079136690647482	0.6153846153846154	0.5986842105263158	0.6253687315634219	0.6006711409395973	0.622356495468278	0.5714285714285714	0.6850574712643678	0.6343042071197411	0.6261980830670927	0.6228813559322034	0.6683804627249358	0.6716791979949874	0.6975717439293598	0.6883116883116883	0.706601466992665	0.6204379562043796	0.6785714285714286	0.6621621621621622	0.6761565836298933	0.6488095238095238	0.6845794392523364	0.6383647798742138	0.6204379562043796	0.6120996441281139	0.7381818181818182	0.6640211640211641	0.6523929471032746	0.6459016393442623	0.5720524017467249	0.5609756097560976	0.5674740484429066	0.7083333333333334	0.6058631921824105	0.6077844311377245	0.6305555555555555	0.6332179930795848	0.6353591160220995	0.6404494382022472	0.6699266503667481	0.6026058631921825	0.6354515050167224	0.6682577565632458	0.508	0.5809859154929577	0.6368421052631579	0.5353535353535354	0.6131147540983607	0.6428571428571429	0.643312101910828	0.6262295081967213	0.6	0.6366279069767442	0.6045016077170418	0.5595238095238095	0.6320754716981132	0.5791245791245792	0.5801749271137027	0.5282258064516129	0.5410447761194029	0.6062992125984252	0.6657142857142857	0.7284644194756554
CM068	0.6023054755043228	0.6720977596741344	0.6606741573033708	0.644927536231884	0.5602240896358543	0.539622641509434	0.0	0.4392857142857143	0.6247544204322201	0.5195195195195195	0.5780141843971631	0.5920679886685553	0.6137931034482759	0.5034722222222222	0.4942084942084942	0.6004962779156328	0.5783475783475783	0.5487804878048781	0.5606557377049181	0.4953271028037383	0.5401929260450161	0.5017182130584192	0.6193029490616622	0.6574307304785895	0.5496688741721855	0.5619047619047619	0.6412825651302605	0.6746987951807228	0.5282485875706214	0.5745257452574526	0.5598885793871866	0.5945945945945946	0.565068493150685	0.5893416927899686	0.6421800947867299	0.6582278481012658	0.48757763975155277	0.5054151624548736	0.5060728744939271	0.46959459459459457	0.48773006134969327	0.49491525423728816	0.48589341692789967	0.5018867924528302	0.5669856459330144	0.5469255663430421	0.48172757475083056	0.6086956521739131	0.5620052770448549	0.6005025125628141	0.5945330296127562	0.6073298429319371	0.5994962216624685	0.573943661971831	0.6215277777777778	0.5852842809364549	0.6288659793814433	0.5684523809523809	0.6214953271028038	0.5758513931888545	0.5986159169550173	0.5816326530612245	0.7407407407407407	0.5963060686015831	0.6123456790123457	0.5942492012779552	0.5783132530120482	0.4820717131474104	0.45263157894736844	0.6156156156156156	0.5369774919614148	0.5443786982248521	0.5185185185185185	0.519298245614035	0.5726027397260274	0.6076294277929155	0.5866336633663366	0.575	0.5596026490066225	0.6104513064133017	0.49056603773584906	0.5273972602739726	0.5807291666666666	0.46	0.5294117647058824	0.5956873315363881	0.5975232198142415	0.5841269841269842	0.583916083916084	0.5664739884393064	0.5080906148867314	0.5	0.5	0.5083056478405316	0.5642458100558659	0.5427509293680297	0.5071428571428571	0.5730337078651685	0.6123595505617978	0.6628787878787878
CM078	0.6233062330623306	0.66600790513834	0.6455142231947484	0.6291079812206573	0.5793650793650794	0.6287625418060201	0.4392857142857143	0.0	0.5906432748538012	0.5129682997118156	0.6006600660066007	0.547486033519553	0.5804988662131519	0.5114754098360655	0.5036231884057971	0.5506172839506173	0.5295774647887324	0.5323529411764706	0.5425867507886435	0.4573170731707317	0.5	0.4750830564784053	0.5767195767195767	0.6237623762376238	0.5318471337579618	0.5171339563862928	0.6173570019723866	0.6627318718381113	0.5531914893617021	0.5552631578947368	0.56	0.6025917926565875	0.5364238410596026	0.6088235294117647	0.6330275229357798	0.6523517382413088	0.463855421686747	0.47735191637630664	0.5535055350553506	0.4840764331210191	0.4956268221574344	0.5221518987341772	0.5247813411078717	0.5263157894736842	0.5364705882352941	0.5783132530120482	0.5276073619631901	0.6213235294117647	0.5473145780051151	0.5679012345679012	0.5995623632385121	0.6125	0.6214285714285714	0.5967213114754099	0.6229508196721312	0.60625	0.6254071661237784	0.596100278551532	0.6407982261640798	0.5835777126099707	0.6282051282051282	0.5897435897435898	0.7356687898089171	0.6228287841191067	0.6267605633802817	0.6012084592145015	0.5932835820895522	0.5467625899280576	0.47368421052631576	0.5930232558139535	0.5292307692307693	0.5574229691876751	0.552	0.5504885993485342	0.5833333333333334	0.583554376657825	0.5721153846153846	0.5396341463414634	0.56875	0.6022988505747127	0.5805369127516778	0.5098684210526315	0.594059405940594	0.5608308605341247	0.5623100303951368	0.587012987012987	0.6122448979591837	0.5915915915915916	0.6103896103896104	0.5583333333333333	0.5465465465465466	0.5659722222222222	0.5303030303030303	0.5341614906832298	0.597911227154047	0.6120401337792643	0.5865384615384616	0.6068965517241379	0.6064690026954178	0.65
CM086	0.6182795698924731	0.5389408099688473	0.53	0.5421686746987951	0.637137989778535	0.7349624060150376	0.6247544204322201	0.5906432748538012	0.0	0.5047984644913628	0.6608187134502924	0.5364485981308411	0.49322033898305084	0.599609375	0.6506986027944112	0.5494880546075085	0.5622710622710623	0.5676691729323309	0.6499068901303539	0.5915750915750916	0.6321626617375231	0.6325757575757576	0.532967032967033	0.5478723404255319	0.571992110453649	0.5481335952848723	0.41186161449752884	0.4120300751879699	0.4972067039106145	0.5209471766848816	0.5157116451016636	0.42560553633217996	0.638996138996139	0.6294227188081937	0.5215146299483648	0.5224358974358975	0.5685185185185185	0.6486486486486487	0.7156862745098039	0.5923809523809523	0.5520446096654275	0.6252354048964218	0.5626168224299065	0.6607843137254902	0.5	0.5919540229885057	0.5847619047619048	0.7341269841269841	0.4835766423357664	0.47282608695652173	0.43500866551126516	0.5444839857651246	0.5331010452961672	0.658252427184466	0.6814671814671814	0.6339113680154143	0.6776061776061776	0.5743494423791822	0.5	0.6286764705882353	0.6711538461538461	0.62426614481409	0.8043478260869565	0.47388059701492535	0.5379310344827586	0.6378986866791745	0.73767258382643	0.6998050682261209	0.6204933586337761	0.6192236598890942	0.6149532710280374	0.5854545454545454	0.5555555555555556	0.6332046332046332	0.5511669658886894	0.5402930402930403	0.48853615520282184	0.573076923076923	0.6370510396975425	0.4904679376083189	0.7105263157894737	0.6283524904214559	0.5343915343915344	0.6224677716390423	0.6139359698681732	0.5353901996370236	0.621268656716418	0.6214689265536724	0.6787762906309751	0.5884476534296029	0.5798479087452472	0.6640316205533597	0.5833333333333334	0.6388888888888888	0.6038394415357766	0.7159090909090909	0.6741996233521658	0.7173076923076923	0.5843920145190563	0.45241809672386896
CM089	0.5648854961832062	0.5969289827255279	0.5638297872340425	0.5809312638580931	0.6047058823529412	0.6570605187319885	0.5195195195195195	0.5129682997118156	0.5047984644913628	0.0	0.5498489425981873	0.5230769230769231	0.5642105263157895	0.4911242603550296	0.5111111111111111	0.5615212527964206	0.5586034912718204	0.4877384196185286	0.6149732620320856	0.5552699228791774	0.608355091383812	0.592896174863388	0.558252427184466	0.5898617511520737	0.49271137026239065	0.4843304843304843	0.5243664717348928	0.5707070707070707	0.49624060150375937	0.5171568627450981	0.5320197044334976	0.5354166666666667	0.5266272189349113	0.5779569892473119	0.567032967032967	0.59251968503937	0.5634517766497462	0.5710144927536231	0.5867507886435331	0.5263157894736842	0.5181347150259067	0.5267605633802817	0.49732620320855614	0.5353846153846153	0.5387931034482759	0.49142857142857144	0.5111111111111111	0.6185897435897436	0.524822695035461	0.5174825174825175	0.5378151260504201	0.5061124694376528	0.5535307517084282	0.5722713864306784	0.6	0.5449275362318841	0.6184971098265896	0.49056603773584906	0.4966292134831461	0.5471698113207547	0.5680473372781065	0.5325443786982249	0.7381615598885793	0.53125	0.5162037037037037	0.5583333333333333	0.6878787878787879	0.588957055214724	0.56353591160221	0.5900783289817232	0.5910290237467019	0.5544303797468354	0.5461165048543689	0.5807365439093485	0.5257985257985258	0.5396039603960396	0.5193621867881549	0.5382513661202186	0.5722222222222222	0.5502183406113537	0.5953079178885631	0.5331412103746398	0.4963855421686747	0.5218579234972678	0.5014164305949008	0.49624060150375937	0.546448087431694	0.5733695652173914	0.5930232558139535	0.5294117647058824	0.46153846153846156	0.5389408099688473	0.476056338028169	0.5414364640883977	0.5676328502415459	0.6106194690265486	0.5880681818181818	0.6227544910179641	0.5639097744360902	0.5648994515539305
