	CM006	CM009	CM021	CM025	CM039	CM040	CM068	CM078	CM086	CM089	CM095	CM107	CM110	CM113	CM117	CM118	CM126	CM130	CM145	CM153	CM154	CM155	CM165	CM166	CM168	CM171	CM176	CM179	CM181	CM182	CM183	CM184	CM185	CM196	CM198	CM199	CM213	CM215	CM217	CM219	CM222	CM229	CM230	CM244	CM246	CM253	CM254	CM255	CM257	CM259	CM260	CM261	CM262	CM263	CM265	CM266	CM268	CM271	CM293	CM316	CM324	CM360	CM362	CM372	CM383	CM387	CM404	CM406	CM411	CM434	CM436	CM437	CM438	CM439	CM441	CM443	CM444	CM448	CM449	CM452	CM455	CM461	CM469	CM471	CM476	CM482	CM486	CM489	CM501	CM515	CM518	CM520	CM524	CM535	CM538	CM539	CM540	CM547	CM554	CM557
CM006	0.0	0.3614102402022011	0.37735266920294347	0.4197153786064418	0.41765798799303405	0.450903562530763	0.4874442006220029	0.45172527548924013	0.47843055840007087	0.48123072438209064	0.5237415813433831	0.48440234706097474	0.5760051284416563	0.4587473852957973	0.48220611910562183	0.5823222260291734	0.5017885738375818	0.4639295705422169	0.5251013321049994	0.47828492408349	0.4902222061165207	0.4608943987692427	0.490596259292542	0.5326755847547354	0.46513071240254844	0.41967897182219704	0.4611211020856169	0.5245067482333758	0.4613299537891657	0.4543294156322283	0.4250368683862367	0.45780548243178454	0.49472481550985187	0.4893416066582266	0.4573674643472285	0.4755905889249173	0.4538036698612069	0.4440968123620441	0.5317076298333976	0.4631216437324694	0.4470169848987025	0.46231009148155666	0.4378102324362189	0.5350946570624504	0.4469752541992331	0.4839416239632559	0.44696976495004237	0.5306075393990857	0.4325309368884383	0.41892235084155094	0.46741438676149816	0.4711180033475105	0.4876177434286003	0.5198225960578345	0.5306918010988421	0.4799372159126142	0.49062036982183477	0.48498825160822095	0.46833100118767357	0.4316770737381655	0.5219577149368325	0.41061623995638147	0.6518360468854815	0.42223191801871124	0.511206699433896	0.4837294510875535	0.5161456695651759	0.47069681598848034	0.43335559258449785	0.426529177932286	0.42726427647678294	0.422458446166184	0.4454064345192941	0.435874622988323	0.4644176515483682	0.444066382854755	0.4339689528482957	0.4576804085123521	0.4916857710121601	0.45906913408121325	0.4591009680497617	0.43630741299002507	0.4379068977477684	0.4290493381027066	0.4128860790144364	0.45632894699462107	0.41661084891027517	0.4708436949579029	0.4557267810778902	0.462513001800209	0.4133100338198882	0.4735834883417449	0.3979606485265447	0.4765843213469808	0.5103017826544862	0.5202208525215598	0.5141199746042391	0.5058211272771893	0.43051879339496235	0.4911970061057407
CM009	0.3614102402022011	0.0	0.3411592745782994	0.3936894901758234	0.43872758369284187	0.5436640488912575	0.5002520245473183	0.4758252006059425	0.4133044819385756	0.4746330479897105	0.5280580337941347	0.45408305391452947	0.548493265032683	0.4628427500380706	0.5120128176013768	0.5315135825763162	0.4949314761796669	0.4479509866673419	0.5081531038271925	0.47532027656425324	0.4796221203187437	0.46235588562114177	0.45015379043885123	0.5142455023541286	0.4836313801695855	0.4214851257850861	0.38383986177419416	0.43207258493208717	0.4455065913755981	0.44989732500425045	0.422904978994344	0.3916963961165908	0.5284234586670699	0.48115973150541147	0.4121296142169952	0.40057545303155595	0.42565843304425555	0.46521828201874843	0.5759913635371973	0.45814373178760553	0.4154185980182898	0.4821623506023759	0.42141398889189635	0.5476817000635512	0.3656961880668579	0.4941295071420834	0.44934266733989137	0.5901384811226484	0.3892667023959571	0.38816786736835096	0.4089168498401818	0.4330518858283169	0.461742050511037	0.5412113756790553	0.5521011497200443	0.5070072173077593	0.5326892006020095	0.4672993724019428	0.4641762849192006	0.4378872812937443	0.5446988874149129	0.45570873559176855	0.6694009453479739	0.4159246081777479	0.4839779341693576	0.5000847189840415	0.5457806834041042	0.5035760642671937	0.43935580259683193	0.4366349251362277	0.4386497541471359	0.3878740437492697	0.38433321187613667	0.4320200517000656	0.4571346260466389	0.4077275119924231	0.3929239357504868	0.4519128475080925	0.4944042009311277	0.4123827231341044	0.49763784709129044	0.4657611436799202	0.425671783579561	0.4395976658079244	0.4219299033400859	0.4413224143267692	0.46693764882149547	0.47871426390029304	0.49700554743189185	0.4509806006809463	0.43843188012445	0.5274705828002856	0.43341794013787305	0.4835761860800261	0.4905755628591994	0.5570269795605743	0.5350101800253372	0.5458157550864317	0.43776898012936977	0.43532609190818533
CM021	0.37735266920294347	0.3411592745782994	0.0	0.3288788320178252	0.4553233958417726	0.5333552816219417	0.5213520095632805	0.48046029880310187	0.41943864012977566	0.4575066453095381	0.5392747822201235	0.45445265096413273	0.5458203273793059	0.4800804322475075	0.549413066234323	0.5362106856853777	0.4875340839222269	0.4362646606678232	0.5091913861819599	0.4632942966485736	0.4726686671762182	0.4561922167214438	0.4460279595052038	0.4959046686557147	0.4488643668073481	0.40287293159697246	0.3831384642392686	0.43654449683988805	0.4055386985194836	0.4269397506658644	0.3999735257161799	0.3625498624343874	0.4854606579551071	0.4790650187247438	0.43314243504293737	0.4135060875973356	0.42232817726076005	0.45688083946718905	0.5664629731670845	0.4456214562868738	0.4036314259575059	0.48340957900262677	0.4072006784014281	0.5403828330068102	0.3864955262964976	0.47800579670806553	0.4631494875644209	0.5759904013264947	0.3785812065523259	0.3912580899881741	0.37879649874212945	0.4151938556790611	0.44843968026179215	0.5377413261666404	0.56186814410191	0.502114646187877	0.5355321528910867	0.47354046234617986	0.4046609523803144	0.4428401177592013	0.5146081461252796	0.4330375060715843	0.6630800767317763	0.3976624981475266	0.46166832846202965	0.4753684960257917	0.5186650753118066	0.4996149516831555	0.4311976964378933	0.4665217687880945	0.451124506759076	0.43084363278576865	0.42656193135184217	0.47376763664249516	0.41088754062459	0.36487995222582476	0.36338312730775574	0.4410231857074585	0.5019217964310904	0.38642369135162385	0.4984729634486384	0.4564227826115995	0.4076019513761213	0.45612468166527226	0.4392633555101001	0.41665024061251915	0.44707826168923515	0.4341094972647937	0.5014056089132317	0.4171895686513322	0.44380796942170236	0.5313327220096407	0.4320839065322576	0.46280899587567326	0.4794859540614112	0.557485009426749	0.5448245684300066	0.5530802124131123	0.42951635644063757	0.43095199801530865
CM025	0.4197153786064418	0.3936894901758234	0.3288788320178252	0.0	0.4448034666022509	0.5270386864022579	0.5078281016035581	0.4727326136097827	0.3954264757118678	0.4748083004955461	0.5286188064703351	0.4505163299582971	0.5246445061323568	0.4805504532464325	0.5204055300693243	0.5137128740543491	0.4708890406475067	0.4583512650521276	0.5205795390731762	0.4783682085437771	0.49102097886670887	0.4592786793160927	0.4517563304104244	0.5277670431214545	0.4764571330608167	0.42281514076763344	0.4092970248757583	0.42354082959562817	0.4026573764148815	0.43574340719592874	0.4025768658238107	0.36414486240577765	0.5081692547326019	0.4834677855296397	0.43999927641969	0.4429756630820361	0.44482861978541716	0.4527439836745318	0.5789485488809349	0.4436055199011772	0.4242397570702522	0.4894042868831844	0.4310195965341337	0.5401034433070655	0.4145146263494014	0.5019466845959768	0.4690728161144096	0.577278499057251	0.3930995862806095	0.3740084127169294	0.37350869350577753	0.46380060557222225	0.43889536016912806	0.5337644754757608	0.5635849826476911	0.4994630309171639	0.545626290255968	0.4741075648997764	0.40489684638399714	0.46311978477818744	0.5608868964128538	0.4452171451197499	0.6598089009208492	0.41449935998521964	0.46657593645162543	0.5090037459738619	0.543797709539081	0.49973570308596194	0.4384760605349239	0.4735718641174713	0.45906185105344766	0.40014736327491485	0.44006171786361753	0.47516673652480423	0.4153884605161528	0.36326258168646275	0.39500241773729666	0.44427587068327834	0.4839777343563471	0.39601841004393556	0.49157441401454793	0.4507191622706832	0.3999331070844335	0.42916867803748654	0.4382197835392364	0.3715019822010921	0.4214019331119972	0.42436036214285977	0.4799928131294537	0.4285591606270494	0.438958852428163	0.5224012278716943	0.4059025968565413	0.46303471002388963	0.49127243859065134	0.5558966742885396	0.5362832681830281	0.5571491068367898	0.4196405892297798	0.430074897815678
CM039	0.41765798799303405	0.43872758369284187	0.4553233958417726	0.4448034666022509	0.0	0.4310408075309487	0.4681115805109478	0.3832404502886207	0.48587535032294815	0.4865133561321181	0.5662665672418828	0.48924762343792333	0.5008626090024235	0.46945106840782835	0.525368218860983	0.5090096986394163	0.4835401493095931	0.47491926937483114	0.44682448734711694	0.36746163058470244	0.45276369320457577	0.46174733866242557	0.49880924765577844	0.47562888023993505	0.5049020847374801	0.47888162378628657	0.4801625206281271	0.47227254627791576	0.486041162418964	0.49003350307744425	0.4296825568916321	0.47194463065506703	0.5247040021383155	0.5145443947574232	0.4742294414506122	0.48829189521175903	0.44653695632359597	0.46540439347901197	0.5582744915163665	0.46049586803427	0.4540405773537101	0.48512787652500144	0.4334103858187907	0.5534284152411626	0.4432023322955368	0.5204129819329831	0.475775424372839	0.5854139425980397	0.42482337575345247	0.448937794459969	0.46335489007893954	0.48252151402160504	0.491643272971499	0.5446704793902675	0.5938551744477957	0.5487592797986689	0.566946793319286	0.5318336006275269	0.4959817026587985	0.4553439224763604	0.550931032921559	0.4695987886695867	0.6749082262258373	0.4934353116925023	0.411166852076649	0.43008443297415044	0.523089358882407	0.4851481209476813	0.42191831857662393	0.5062839081373273	0.36347047422991324	0.43828206305864686	0.38638699950920663	0.4900063532407232	0.4217738432994553	0.4664780981818775	0.41395876927764486	0.48371738276408255	0.44488137733595495	0.3890348390055301	0.4592780166564493	0.49499771713929935	0.4639269154740643	0.4334120967920331	0.4484982724718292	0.4923099013266945	0.483870324597451	0.4457474518627046	0.49111993446747776	0.4740530978203194	0.44774805360284525	0.5250225139077805	0.434596582573991	0.4969442323916984	0.4770079293834472	0.4997196325381596	0.5220418078613717	0.5543513106216952	0.4698780925692131	0.43501841893199844
CM040	0.450903562530763	0.5436640488912575	0.5333552816219417	0.5270386864022579	0.4310408075309487	0.0	0.4129399679018499	0.5043814552045535	0.5927644243230809	0.48796375296761224	0.5116596071380185	0.5522016345293663	0.649352700697026	0.47215618504073675	0.4570704845334693	0.6285337449743015	0.553018381136484	0.5354609896089758	0.5642923745045201	0.5290330896388008	0.5427015051184476	0.510319461729479	0.5591689237264112	0.6086983797318763	0.4901091693755979	0.49530373159237656	0.5708282983546927	0.6447196476367111	0.5289978285169058	0.5225698374514197	0.47357882704116083	0.5611920348458669	0.5302799064654533	0.5051753284286172	0.5625680313067783	0.5901393268122046	0.5142448913943286	0.47451432802322696	0.4595684582532291	0.48140591671806016	0.5020135223817457	0.46435997341945456	0.48141325929538714	0.4619293178678024	0.5450920138521118	0.4456160867768621	0.47806286683302307	0.457611120093294	0.517700469754203	0.532283179547899	0.5679651825202473	0.5107241582256522	0.5412362509344217	0.4456979370761589	0.4982264138565587	0.4770339932627752	0.4981397309017558	0.5064898777370987	0.5343443213388063	0.4598245238244888	0.44808278371451327	0.43415307375177464	0.5600306039883883	0.4940910619874675	0.543087002851637	0.49873906757766745	0.4609043591026688	0.4484095947923653	0.4591458728908252	0.5391360616388606	0.5034486707223171	0.5064635403506026	0.5183613746538064	0.47773063865705573	0.562222580962593	0.5242123892770783	0.5102907611006577	0.44487937963542534	0.5352805528414077	0.5626985142831096	0.43294275952519634	0.4606457452780277	0.4828522057968013	0.4561496764730272	0.44822468215924943	0.5408772212566636	0.510379334848977	0.5306635989760746	0.47184773205123925	0.5386231667302033	0.43829856338448825	0.4323621253822151	0.49867644686071927	0.48553335334447767	0.4728028001976101	0.45345778587616464	0.4500403878502964	0.44321667318175756	0.51702533248659	0.6036548179868052
CM068	0.4874442006220029	0.5002520245473183	0.5213520095632805	0.5078281016035581	0.4681115805109478	0.4129399679018499	0.0	0.39978939813505177	0.5039699193981557	0.3581765662175695	0.387176237694601	0.4727917289099264	0.6060716351727439	0.3812175655645569	0.3108920666842123	0.5660468163584709	0.4790219382864635	0.43125834105502303	0.5108172209948388	0.4600952342199678	0.4484531776189532	0.4111895588423007	0.48553283484925663	0.5774132937711172	0.4027838177858189	0.41627589030960344	0.48985416533337867	0.5697705391712489	0.4291769963128704	0.4791937300375666	0.4459320253970422	0.4397100642124609	0.4763411964543986	0.4075186779598355	0.4753997713755688	0.5174847957904228	0.4118836335390357	0.3929065375516027	0.34511426956520397	0.3461008083038283	0.3847462897309513	0.3328932485576783	0.37417253594936967	0.3221615753356317	0.444270962491529	0.33032745483421505	0.31633199933572775	0.3984753031271291	0.42568544457115887	0.4423907367057342	0.4637190254402295	0.4441911664322686	0.4736951199241917	0.3783666408830867	0.41597704162050775	0.37730611591295604	0.3963042403538997	0.3887572099602648	0.49201325078969216	0.3986425506104783	0.39312610650849766	0.3894347533560959	0.5431271308637644	0.40161778803734466	0.5167995187488001	0.44954474888565976	0.4363412035984363	0.3547093655963372	0.3798509393673908	0.4557702289586676	0.4389770447135302	0.39839590730832697	0.421506370939209	0.36508536542659836	0.5084934304226781	0.45491480520276567	0.4372893826243079	0.37462696756263936	0.4373666814396946	0.4931316934133274	0.37509913204988277	0.4122451836584381	0.4090697846844746	0.3531819323717073	0.35399201583711615	0.47767923054158506	0.4876102238457794	0.4876131284916692	0.40966262699828376	0.48399932838638043	0.37737749250802455	0.35813107809729894	0.3872522491434771	0.38304519630024825	0.3656167084201848	0.3945671186342484	0.3604187807360008	0.3841875641884911	0.4921924101484641	0.579200331866826
CM078	0.45172527548924013	0.4758252006059425	0.48046029880310187	0.4727326136097827	0.3832404502886207	0.5043814552045535	0.39978939813505177	0.0	0.45590487779223565	0.42850464860745835	0.49996277765385394	0.42387184086681623	0.5036823620458539	0.39838172531175997	0.41205197341002525	0.47149929554065084	0.406218953684119	0.39958728398425364	0.4254689504340032	0.3399737349835241	0.39874984732261537	0.3809347344790663	0.4637810355826525	0.5023678128072602	0.43411703612029834	0.39368747788006625	0.4618559029365645	0.49520523552596996	0.4636802071016919	0.46154141519005426	0.4351583266019904	0.4381914064230241	0.48994321164003296	0.4773792567287952	0.47232909046693844	0.48823986252719503	0.3806541466464804	0.3614034337886341	0.48308040740687547	0.40249926897776517	0.4080957476567413	0.44042494566377133	0.4217957961721905	0.4853788645429186	0.4206974003327988	0.4727659039317849	0.4351339615386244	0.5233351726916083	0.3891157452595494	0.41420724171129564	0.4552105244716789	0.4640754288093954	0.4899018814596016	0.5085394949627978	0.541875951033711	0.5095495541547451	0.5174342843059028	0.4991260820685044	0.5359127656541006	0.4277992147258468	0.5256337859787572	0.4220787851325232	0.6146449293820251	0.47289180829629923	0.45601132906235525	0.43924229693059275	0.44104821800351307	0.40437817503921	0.3825156738488702	0.4547479398916603	0.3262446057008972	0.41727758877798116	0.3610957803561769	0.41521965181468296	0.43979010671398927	0.43756803746275125	0.4301262797537863	0.4312305332157476	0.4038020529496898	0.41040425365954675	0.45459643995157667	0.41527087090055503	0.4674593446862747	0.4097521308033108	0.42228274338125593	0.46438741999331773	0.5057826523527805	0.41594409364596946	0.48113769693721126	0.4589293348540248	0.4169114084560739	0.4701648095113336	0.39816041871972135	0.4579849790836909	0.4789592159531594	0.5180480743453448	0.499240697704091	0.5046402951737172	0.48183763956025544	0.4965495257241073
CM086	0.47843055840007087	0.4133044819385756	0.41943864012977566	0.3954264757118678	0.48587535032294815	0.5927644243230809	0.5039699193981557	0.45590487779223565	0.0	0.4286820745451155	0.5582558523500744	0.345131737623973	0.40975517641699594	0.4851734255273744	0.542057639871634	0.42251212775121094	0.37725506876044246	0.4000942455848454	0.5086578849927295	0.46459783871972854	0.4466862742064101	0.43601821877606634	0.3410701978182393	0.42277685490061834	0.464174777786527	0.4178285531932647	0.33633929530608275	0.39019792750033916	0.3852538148697802	0.4410751771549486	0.4187681380235512	0.3396028149875897	0.5420266333436148	0.5141277768311339	0.4257978112839586	0.396251549153073	0.4153171507043426	0.4914158824034902	0.6237540608694229	0.47281297891550617	0.44808345743667466	0.5255818923601695	0.43379513128090674	0.5600746214153494	0.38659289424937693	0.5111342279138532	0.48913919128895256	0.6359531514880181	0.38820133810351526	0.3687046427199834	0.33503648027042143	0.4564807496197824	0.43648227836659764	0.5623225721821938	0.5879952908773168	0.5380248794019447	0.5768429938656217	0.48463295371215537	0.44550283204300606	0.48923486956830387	0.5828676820345253	0.49334506293633623	0.6962736401111898	0.41237985000200655	0.44071806769927835	0.5332503333691504	0.5822541239896939	0.5388435571669116	0.4739826834443403	0.4713363255426273	0.4903863639337175	0.4481074675489657	0.4432818141396074	0.5021425706395758	0.4744198901163512	0.41230961517868514	0.3831573371792141	0.4718944412136023	0.5275491564224705	0.4096124642550036	0.5594537826667512	0.49885112829129225	0.45048176400805273	0.48551683092869774	0.4936922545103878	0.4311708047051227	0.5001997822605889	0.5161392953117631	0.5607652476095775	0.43555152755551935	0.4955881843926866	0.5666991709652097	0.4534079769350138	0.5271337235291608	0.5235887197370125	0.6018803441764379	0.5806975516533373	0.6064150451248354	0.45812536985853963	0.4076481957146103
CM089	0.48123072438209064	0.4746330479897105	0.4575066453095381	0.4748083004955461	0.4865133561321181	0.48796375296761224	0.3581765662175695	0.42850464860745835	0.4286820745451155	0.0	0.4137236312417144	0.39635885673187365	0.5574090039092965	0.4043789126141975	0.3759186801459906	0.5094069546493893	0.42650294254843624	0.37905904166593585	0.5199199744410243	0.4686568760192583	0.4663318503149305	0.4269406836805392	0.42787283200866805	0.511745853668848	0.37288125298429453	0.37220823279780857	0.40572167939132836	0.5025416838969357	0.4374628272293446	0.4689609959936734	0.4317393815912006	0.4434624559573064	0.4931607134673209	0.4748846349882913	0.4624203961321752	0.4619314717090597	0.46090744017436774	0.43929643457570483	0.4609389091218366	0.41393629849029057	0.4034506263750864	0.40036381743439237	0.40410665286672326	0.4100145587730133	0.4495377043679252	0.3777188252863785	0.4096089730243712	0.49015461454602954	0.4162151971123907	0.42881122845250885	0.4612145471055358	0.38643692465557195	0.4536306643097391	0.44124211630886956	0.4850891218647093	0.4240461713424754	0.46276566017460496	0.38812546009636933	0.4300771631660771	0.40505799757258365	0.4415226907100707	0.4287962666269509	0.593173061174955	0.4055479590686377	0.4415106827356256	0.45292000226336343	0.5115511374492325	0.4249656337990944	0.4368143489656666	0.47498455825268443	0.47721525853621	0.45214313683041457	0.45548385803156766	0.4766875759528908	0.4979001896110441	0.43282682346325213	0.4367790079627219	0.3990223062188917	0.5004323213211357	0.47442504719329104	0.44277752698080325	0.43335838700837526	0.39403510445953094	0.39701522421940744	0.3979206805838392	0.4332968544922004	0.4759948682195791	0.4997741975574388	0.48635708798073923	0.4395956628136611	0.3884714957277829	0.4160235193563916	0.40634995127034995	0.4107834359355446	0.4124064722150736	0.45491891353752695	0.4667121923236186	0.4542361363754801	0.4746801309583134	0.5225299843441908
