	CM006	CM009	CM021	CM025	CM039	CM040	CM068	CM078	CM086	CM089	CM095	CM107	CM110	CM113	CM117	CM118	CM126	CM130	CM145	CM153	CM154	CM155	CM165	CM166	CM168	CM171	CM176	CM179	CM181	CM182	CM183	CM184	CM185	CM196	CM198	CM199	CM213	CM215	CM217	CM219	CM222	CM229	CM230	CM244	CM246	CM253	CM254	CM255	CM257	CM259	CM260	CM261	CM262	CM263	CM265	CM266	CM268	CM271	CM293	CM316	CM324	CM360	CM362	CM372	CM383	CM387	CM404	CM406	CM411	CM434	CM436	CM437	CM438	CM439	CM441	CM443	CM444	CM448	CM449	CM452	CM455	CM461	CM469	CM471	CM476	CM482	CM486	CM489	CM501	CM515	CM518	CM520	CM524	CM535	CM538	CM539	CM540	CM547	CM554	CM557
CM006	0.0	0.07890095233716353	0.0530327881883257	0.07211360153013865	0.09676840181657712	0.07628145846821323	0.09872863982415452	0.11921088606968837	0.09199416829780366	0.08231027786401851	0.09748481585096339	0.17412029338081902	0.1986265886731706	0.11562280507895593	0.08990314286082815	0.20469905999234492	0.19149071785403543	0.1735296776103901	0.1320235773960086	0.10226372801064744	0.1408623666647604	0.1708158803432895	0.2029543581255829	0.20211381642850582	0.09895481320568074	0.09120417013532059	0.096678692871514	0.079023328143841	0.08612117627232761	0.10066755421273263	0.08270477574291218	0.08414879486653838	0.07660701122536753	0.09494298964000805	0.07944874902052958	0.0796578898707742	0.10903249391322936	0.08926823604681179	0.13897580704180326	0.11567033166161084	0.11469422929979609	0.12858577292535284	0.1234308971656336	0.1093522429065309	0.08785678836414963	0.0842193016015118	0.07564313346968728	0.10213379385127434	0.10285075409347645	0.12412600975524113	0.10411649062246864	0.08748920548384453	0.07812081289390385	0.07912582986272615	0.08681322840045082	0.08707894366376878	0.10747002990226771	0.10064768419951423	0.08182105196060369	0.14394648548004021	0.09563451430970055	0.08825864094461655	0.18033577733402034	0.08714769053301169	0.12502860893380635	0.1478276721205488	0.1401074347743239	0.08379791886714727	0.11064167559145166	0.10083846463538562	0.14142978423624503	0.13001965035737292	0.10777672359212816	0.12063053814117125	0.09731316447560046	0.11593979580129626	0.107694003097582	0.12312101726749411	0.1227338074924581	0.09809764459104464	0.08436256506676075	0.10126962761956143	0.09734001507828283	0.0958958897530828	0.10777312383324644	0.07579146930922101	0.05992400225769918	0.07762678034789196	0.10529603697287594	0.1216707553454846	0.10224273874710657	0.11809009691268406	0.11307203726271181	0.08784549980139778	0.1019448552391236	0.1160165599504598	0.11008807076315409	0.09345952513239565	0.06995436556760028	0.082746118981896
CM009	0.07890095233716353	0.0	0.07477881589380145	0.06856877869288318	0.14099140935895146	0.11620263349699264	0.13835334252883666	0.11097159830326869	0.1457607531615206	0.12698795928581627	0.12322674168990162	0.2220418740166128	0.19934021715592273	0.1673527348685907	0.133609749041193	0.20013632919611385	0.18492011364743355	0.17087328426788356	0.1528571068180653	0.1560899224006036	0.19262104487816023	0.222387092907671	0.19691867135815028	0.20026286056847292	0.12405616787053057	0.1259188029496235	0.09687622455353788	0.10193633660621593	0.09505556410412298	0.10334079416516784	0.09429242672121065	0.09035748209853199	0.11156349879466061	0.10420467414386517	0.12996520078587578	0.1288338804192744	0.13379391236153979	0.11309256402672431	0.1639557294446477	0.14382658757259842	0.15220900427059947	0.1527971366023634	0.17287975006218015	0.13885097315162495	0.09246428650820886	0.12294474967262477	0.10670786833649279	0.09773450486982098	0.07663196556472106	0.09523141344515576	0.07781276370657496	0.13220488975108516	0.11233430403355792	0.10702918096705395	0.12522503968814264	0.12229338805379288	0.11435063441353654	0.09247011027973331	0.12732567126419264	0.14466983579861364	0.08548070455217073	0.1367128356516496	0.18737760459890984	0.08074199846340505	0.14972870387747278	0.14746926837541974	0.10164118816644481	0.10137526275713384	0.08020320834909594	0.15179559314635624	0.10028115934642669	0.08782555668486511	0.06964001393714975	0.08253512031434534	0.07216375936025503	0.08137526914154333	0.08075206432730839	0.08465199984995729	0.08473983325093758	0.07203566138351825	0.09778774300602515	0.06908976458463198	0.0865375603182698	0.09844162173916186	0.06774685022066795	0.09728505395504078	0.10181049161018846	0.10200163272967606	0.06634151681799844	0.10954554740871687	0.0837819337266123	0.0741356825876386	0.10227219666333051	0.10864069433584547	0.1337356545518594	0.15456295046678278	0.13385293062655443	0.10092850820473853	0.09710724480485355	0.13345148017789685
CM021	0.0530327881883257	0.07477881589380145	0.0	0.04209800212694471	0.12680680215190884	0.09962553986612466	0.12402577381281904	0.10859618515687512	0.11042910097387605	0.09243402151249731	0.09950959077350974	0.19784214596238647	0.1884471607725415	0.13776552162184696	0.1144371104465415	0.19676905853145196	0.18029188980038427	0.16277288449684382	0.1206875366981818	0.1258655616724582	0.16150852523858544	0.19133747921385436	0.19050670704241515	0.18955691993136797	0.08383331180631935	0.09310640839126559	0.07122255692793511	0.07150742169924479	0.06591437779084112	0.07421439228617235	0.06024173601278027	0.0589617849774649	0.07810154275314025	0.06904034987799242	0.08269690850740744	0.08407828662895524	0.12375506290186764	0.1024720897624605	0.14602563764077187	0.11836296764855186	0.11847089620348661	0.1352006862689435	0.13624952551104672	0.1166564169976575	0.07317664609518809	0.0867416111472988	0.08652483789173235	0.07120217549871545	0.07917554151107092	0.09822570853538061	0.07894328808205585	0.08769972200006909	0.07796213074682969	0.0797636116768964	0.08423177402434952	0.08757449502676033	0.08587617030094276	0.06969464504969973	0.08432247279154857	0.14181987843287713	0.06755016545665093	0.10179363748989903	0.1646036881476708	0.06684172781256127	0.12597364589201307	0.14157969596664866	0.11502232612979378	0.09199929698447906	0.0879548472602352	0.12086842425063149	0.1287632847099499	0.11597475993302991	0.09161859509489041	0.11112393580436954	0.07093782198907829	0.0964627243837749	0.08023112636033339	0.10060980400270343	0.10245076618879863	0.07164607861024873	0.09567353587266272	0.08075235905802972	0.07258375013966396	0.09117671122208654	0.09291656338713056	0.050104871048659766	0.05296836538330678	0.061921371361544866	0.08199849158875745	0.10657265217634605	0.08986177883116231	0.10325642105217635	0.10508944537855543	0.08551772197782946	0.11841374806370743	0.13040733479155447	0.12293650917429981	0.07987825026844111	0.05061838312569304	0.10415407809047587
CM025	0.07211360153013865	0.06856877869288318	0.04209800212694471	0.0	0.13995207163391768	0.10660064929782374	0.13926599478851184	0.11684417707107839	0.13369151528877865	0.11766570034833157	0.10291847086686612	0.2168929498707894	0.19764754829952122	0.160934539876897	0.13285758519881155	0.20408276445509413	0.18943818427510717	0.171470408329961	0.14226622315890616	0.14473709314182356	0.18147119117937432	0.21393718521806174	0.20272688304505404	0.20196025594411343	0.1100395312155659	0.12015562937203747	0.07852233556710635	0.08075170675788383	0.08354495078029822	0.08734442047806701	0.07587162268434038	0.06921561240793879	0.08831697038077224	0.07904549790346692	0.10223081718292214	0.10486672969213136	0.1335564515016583	0.11372961378233908	0.14712332693825408	0.12645650123332908	0.12569123348037994	0.13174961312628475	0.14290451345738545	0.1198887384224544	0.08112746636703116	0.09411886219494449	0.09052057856804838	0.07582616497923067	0.07591453371378558	0.09641912048101561	0.07581129796264122	0.09722903779423231	0.08299015185666454	0.07991557635182421	0.0895476785484664	0.09036247604968371	0.08956407320279258	0.07044460978910318	0.09430295713170644	0.15125875514312964	0.06638889057266618	0.10881625457464734	0.17175487565210656	0.06749187837064287	0.14753467645776433	0.15171047450715902	0.10586506369623111	0.09773143084523779	0.07799703378867011	0.14368551434654814	0.12213341046693084	0.10923813820341667	0.08505763035920438	0.10680620346914105	0.06521910022037154	0.09216201101247644	0.07287120029272984	0.09348421017226209	0.09716950985748506	0.06330629390543782	0.08952177484150678	0.0656624068475677	0.060613697091453776	0.0855068645975988	0.08012816289482984	0.05599363638774336	0.06968677771599419	0.06794471290392357	0.06874877444954809	0.11769828158168519	0.09359259564868168	0.09523118451869711	0.11333459108544751	0.07893138061663525	0.11646877455983187	0.12903319148114742	0.1200981942577369	0.08394539062497075	0.0642526867608368	0.12082323244071044
CM039	0.09676840181657712	0.14099140935895146	0.12680680215190884	0.13995207163391768	0.0	0.06244848886551606	0.10253466986074614	0.15005690319478798	0.1107548306121171	0.11483122168585355	0.1353718386401981	0.15405831342401205	0.19685912953457302	0.10815917538765944	0.09962129407319402	0.2061551963125109	0.1944798462921708	0.1799447904992373	0.14279630772744956	0.08454617027256144	0.11420783959049463	0.14381148540243222	0.21900755578769543	0.22192676238940626	0.16123615449873527	0.1461849584625939	0.16410069046932854	0.1457129155348853	0.15153429016276446	0.1610071456631002	0.15004070961820165	0.15016031477869932	0.1320613956594177	0.1563974661134686	0.12920805595798826	0.1200004681918465	0.1139632955478047	0.12136589194941193	0.1701302975818316	0.14818358353413144	0.1480102562275106	0.15559556043829997	0.13853477703150482	0.13889981164611007	0.1502278224167136	0.12824161179221738	0.11290693129488849	0.173020765848237	0.17187128259779094	0.19470720134817257	0.17253426105125688	0.12725814794184737	0.13759828701654706	0.14297138176927798	0.15036220002679013	0.1462474172846725	0.17537121466213176	0.16391666331537103	0.11990377860980853	0.15196293349706505	0.15739234788683626	0.10812639112842812	0.2102177095904319	0.148538026167845	0.14535681889698593	0.16612902562403903	0.18314535645344987	0.12831861412149503	0.15210430419772258	0.1263315726757952	0.1881594495942931	0.1833353309974699	0.15672101301036845	0.17431708633070933	0.1647596158481451	0.17775242432183352	0.17363740430395977	0.18063206413426378	0.1724622501576112	0.16162787066538775	0.10783683448269765	0.15755954730557967	0.1503326207624004	0.13662665726917086	0.1590341520491209	0.1354270461635576	0.1149472785321169	0.1207166932739446	0.15556662618725436	0.1438504049724719	0.1462258602973981	0.16642687583506682	0.13712964388567855	0.13413568724518204	0.09808857365501074	0.10410711325641592	0.11382954153997961	0.1270531991207207	0.11926757377839635	0.09092266042581046
CM040	0.07628145846821323	0.11620263349699264	0.09962553986612466	0.10660064929782374	0.06244848886551606	0.0	0.09740080851712396	0.16167081041395637	0.11345258233628899	0.12022359050152699	0.09547769823674807	0.19847234824477217	0.24651394122851014	0.13324234347230168	0.11433694394335564	0.2528526672811732	0.24025158841713504	0.22350597621269486	0.18125634181880917	0.11401776172578101	0.15590495979178817	0.18469807399518295	0.2543178480913976	0.2543605708723076	0.15111613457831297	0.1414067117893027	0.12834811569460433	0.11156258449714951	0.12104091556499896	0.13013458610446602	0.11558053403996074	0.11527125695307891	0.09568929577507362	0.1358165000650968	0.12399519093942915	0.12169355744197365	0.10689635841803889	0.10464143699497308	0.12981917448493913	0.1108859930981324	0.11208699184529494	0.11510366938172495	0.11995424410643038	0.09873933785285292	0.11803423528658817	0.08957739978481913	0.07683348824275306	0.13181079365894238	0.13647315527192105	0.15954166016998145	0.13876492539395407	0.09344534720409235	0.09874994001352744	0.10221802177078115	0.11263087214912855	0.10760457179426786	0.13525142990763103	0.1239941219475488	0.10570275412946185	0.18404891515880215	0.11781000996068539	0.09001103584121083	0.2143752128601235	0.13016464752745005	0.16560922327573596	0.18611109158774453	0.16535639358752974	0.10924166448933728	0.1372763527962257	0.12527750964740234	0.17461091015453264	0.16412808210677626	0.13842733545116945	0.157453772390019	0.13420118474753034	0.15235435513264842	0.1429844382770355	0.15831170239114184	0.15615784977867245	0.1335933794199507	0.0846673971835534	0.12616632551505305	0.11646341400213739	0.10185618499287959	0.13198245122819052	0.10998307956704129	0.09978299333440109	0.11584522606781018	0.13054996408578456	0.16587407270028057	0.1386091726697828	0.14414005561401252	0.15685974693627533	0.09153426987761175	0.06689611423576902	0.08013355662603881	0.07186158266676089	0.09854763410859735	0.10803081836565287	0.09836606823939893
CM068	0.09872863982415452	0.13835334252883666	0.12402577381281904	0.13926599478851184	0.10253466986074614	0.09740080851712396	0.0	0.1352532986442052	0.07050145028849415	0.11080180313189426	0.11120076030818349	0.17952325712852238	0.2190885756117904	0.09045338721664747	0.08827292198483727	0.23138601020578486	0.21351925389502138	0.20242656410524001	0.16603369551475963	0.10014486086707677	0.1316651719510581	0.11931822195958905	0.23691735711892503	0.24305009735896524	0.1459461479400668	0.1345197455677454	0.1360019010706578	0.12468195144048985	0.12735045972073622	0.13948936025193442	0.12562866212855087	0.12466670866808476	0.11066628881215099	0.14338875551877844	0.13213840228832188	0.13007654615452743	0.07862222489860192	0.08853746434871722	0.100534497662335	0.08877202778120641	0.07733565571922935	0.09524428177762678	0.08510065314503322	0.08277383589296441	0.11539140700031822	0.10399870758907537	0.08133050897021687	0.14807613628929822	0.1389257809657386	0.16435520073348395	0.14375696454755582	0.10257186906536207	0.11921326584831277	0.12538439803885806	0.13335012967271143	0.12662347850531386	0.1520071694114953	0.14774564189223557	0.1260814548040011	0.18370041183825386	0.1451654268783648	0.08903010289458868	0.21930924521927445	0.1317068835956993	0.17043567660491843	0.18927901441267417	0.15120993715025716	0.09928994102234112	0.12418691982215262	0.08582990883490293	0.16023087970685684	0.15107533744786505	0.12764687072573722	0.1403602511497835	0.14305636621425527	0.14917849656167328	0.15044822640205766	0.1509443015423129	0.15024262749612222	0.14415802473834766	0.1144546422316803	0.14801441254313497	0.15053430665688472	0.13269950425154559	0.1478988916823842	0.12912600456840279	0.1103939421956573	0.1186714681272317	0.14198487787681865	0.14943539793026267	0.12638953723237392	0.14243472189983322	0.14637052020572983	0.13733773332288104	0.11301052629902326	0.1174112474267949	0.12184526246840342	0.14165528675421368	0.11854565476557193	0.0701220350332959
CM078	0.11921088606968837	0.11097159830326869	0.10859618515687512	0.11684417707107839	0.15005690319478798	0.16167081041395637	0.1352532986442052	0.0	0.11892147967452614	0.10343279256046296	0.1626668058369065	0.1872504541091851	0.13822429698505848	0.12647231885953888	0.09193456363227534	0.1408048021834703	0.11211169144340379	0.11828791307942835	0.10937016205305454	0.11831528828687393	0.14634787932842058	0.1801241583426456	0.12670013953141207	0.1358732495494556	0.08231644923465826	0.08290198163557595	0.11583469558769145	0.12211071054569092	0.09097760196788703	0.11376251609743306	0.0967980928016044	0.10727954510265102	0.1282348031674562	0.09541046725512313	0.10874466845025661	0.10309246852294945	0.13348371163671344	0.11801744309506622	0.2113099437059555	0.1650925487032337	0.17821807547741636	0.19921157766184822	0.1882338151938861	0.18127547646469513	0.10614004292536128	0.15325975671211348	0.1418843305184362	0.12590836493668206	0.0886828348917262	0.09430219558553896	0.08730285628612525	0.16030325651702917	0.1518118478462232	0.1529322001342709	0.14953704825701777	0.15421575044506441	0.14129325024315645	0.14673187441587318	0.14897046470938743	0.13472268602308443	0.140697347995268	0.16504799385510735	0.19535901878829715	0.08441759474539616	0.1481049249502734	0.13364687466807035	0.11083668805847742	0.12786218810481567	0.09705683181976252	0.1483473500538819	0.10733241776917737	0.11053193816435018	0.10551086067102468	0.09102444941981079	0.09389692081795618	0.08780713302011083	0.10249394017974266	0.10740449278690681	0.10385606154740981	0.10179635483269067	0.14931860859576251	0.11255434157727186	0.12749213856122169	0.1523067669347565	0.1223870030356698	0.11026033834211427	0.10354436194930769	0.10280046283709968	0.11320687274554703	0.0756613299021073	0.08424178202654642	0.11881436467423637	0.07801644033424161	0.16170236947377856	0.186260996605767	0.18995657865081236	0.19087187985333595	0.14559297456445774	0.10543345608478995	0.14039347056402973
CM086	0.09199416829780366	0.1457607531615206	0.11042910097387605	0.13369151528877865	0.1107548306121171	0.11345258233628899	0.07050145028849415	0.11892147967452614	0.0	0.08008308730770344	0.11019850483554365	0.15149678352600565	0.1886247951834136	0.060461349577331874	0.06494824945139421	0.19893329124899678	0.1743014517221546	0.1688709499109239	0.13270202538517464	0.08731650176853202	0.10925516095438181	0.11736318736285585	0.19118662813149923	0.19260052548037546	0.10017253754200013	0.08687851652843884	0.11518404297443965	0.1030405929198957	0.10261482010042468	0.1229054023684724	0.10193931271929092	0.10848624588653993	0.10158786901223996	0.11828922695737933	0.09029897311593502	0.08690675280604132	0.09769211463621592	0.10938909144699765	0.12754957391362287	0.0860170200641152	0.09815556182364416	0.11625295698215013	0.10145735653494392	0.09690666443183746	0.1099028545020707	0.10396359406086497	0.08319674030586266	0.13678408131608322	0.12290272547790053	0.14192956549740715	0.12108448545773581	0.0996702799263457	0.1200246185029	0.12608364914776515	0.12182144869962959	0.11877622462474596	0.14064815995617896	0.15015677837576458	0.10872857738850719	0.161217363347157	0.15097886518311	0.0811440574393244	0.20763199061509927	0.11140526212491624	0.14389898985617952	0.1583747717227179	0.1729117509049751	0.12512352794426362	0.1441740317006726	0.054758371254595366	0.1663278224850129	0.16130587565131185	0.14785359244652455	0.14889318093668583	0.12835773005145878	0.13430524389675166	0.14701274624447822	0.15837790393419274	0.16238181494348877	0.13984525948243084	0.14358142041876928	0.1576351293701577	0.15579741167738342	0.15090006540590478	0.16174639701328958	0.11739686375449092	0.09493684923626047	0.10378607485424134	0.1557786022139166	0.12517835410295314	0.141792155034127	0.1685353984322288	0.12563049317295916	0.1494669250589704	0.12949126381939363	0.12366649953454907	0.14194246683940098	0.14436499589606472	0.10877014163315207	0.044555419432111845
CM089	0.08231027786401851	0.12698795928581627	0.09243402151249731	0.11766570034833157	0.11483122168585355	0.12022359050152699	0.11080180313189426	0.10343279256046296	0.08008308730770344	0.0	0.12401553884872721	0.14799710624481885	0.15583607738914518	0.07526674526627472	0.06618000753470009	0.16660325861085537	0.14385580701950826	0.12902398200772297	0.12387111328449057	0.10940784119442752	0.1204154190380588	0.14520696457723373	0.16149856557625294	0.1643628591417786	0.08874152050935291	0.07764619113006502	0.10706000819768274	0.09397491443419272	0.09698469596583396	0.11658832238572288	0.0960155765343928	0.09504344919060478	0.10279066591741007	0.10138499960560096	0.07641265736989812	0.06240243743975705	0.1314808332802911	0.10466336526003417	0.17214364765986662	0.13092715781343528	0.14787108895967355	0.15940946579262935	0.14532837075534444	0.13765364001293454	0.09554680145402215	0.10903426886123621	0.10318332745576672	0.11607081499978238	0.11272765376511608	0.13570166862674418	0.11474231820907388	0.11781380413217128	0.10914502549179586	0.1139781849578531	0.11136281109585983	0.11240927681523012	0.12224452955054767	0.12816480320555163	0.0915993372715618	0.10671536773606125	0.12474322357419751	0.11459772908260166	0.15921158902262925	0.09262474949060175	0.09257964457616566	0.10563309145806274	0.15289240391537073	0.10446422332092037	0.12465197785027685	0.10179352772102253	0.1518475203846587	0.14197394006619138	0.12682578736036093	0.13085908670065718	0.11643979920418153	0.12167072875017837	0.1250922202290985	0.13751495985465428	0.13860209570440044	0.12060514681807799	0.11515639692825343	0.1309452782698149	0.13128314523082854	0.12547600416507654	0.13477807777754855	0.09911054025058377	0.07542253805742369	0.08251314829986814	0.12854849517450403	0.09357961437902879	0.1075708224870224	0.14161905044549544	0.07974360164282429	0.1239067369520687	0.13944862571996217	0.14021518526425952	0.14669040027060634	0.11539932452831947	0.09885749279618737	0.09582710842012193
