	CM009	CM021	CM025	CM039	CM078	CM086	CM095	CM110	CM118	CM126	CM153	CM165	CM166	CM176	CM179	CM181	CM182	CM183	CM184	CM196	CM198	CM199	CM213	CM215	CM219	CM222	CM229	CM230	CM246	CM253	CM254	CM257	CM259	CM260	CM261	CM262	CM266	CM268	CM271	CM293	CM362	CM372	CM383	CM411	CM436	CM437	CM438	CM439	CM441	CM443	CM444	CM448	CM449	CM452	CM469	CM471	CM482	CM518	CM524	CM535	CM538	CM540	CM557
CM009	0.0	0.23429743861274738	0.25203521080150904	0.3816599377854259	0.3778211661923357	0.3446952147726521	0.3448606790654577	0.4894102852604408	0.5127076576874711	0.4927526639751142	0.44473492620292543	0.5442451518962208	0.5552650737970746	0.3048845059236217	0.3115692633529684	0.29618108412204647	0.33764643589913296	0.31765834932821496	0.3051161559335495	0.3712687801972334	0.37656363756701305	0.378979416241975	0.3600172082864518	0.34545635051955786	0.3421139718048845	0.35349791514991064	0.3693163015421272	0.3796412734131974	0.3074657488913892	0.34780594347739757	0.3064729631345556	0.2780131047719902	0.2975709841816136	0.2778476404791846	0.3512806936263154	0.3389701502415779	0.36928320868356607	0.37242703024687274	0.33807664306042756	0.35134687934343767	0.6773115361704944	0.2915811767820504	0.4327884042623602	0.3089880203852009	0.30660533456880007	0.2923754053875174	0.2729829902706996	0.2950890197895294	0.26973989013170957	0.2769541332980343	0.2870474551591766	0.282282083526375	0.2927063339731286	0.2731815474220663	0.30557945595340524	0.33288106426633135	0.32616321397842346	0.28575683367529287	0.3390363359587001	0.3333112714276259	0.3849692236415382	0.38966840955721754	0.3179561850552651
CM021	0.23429743861274738	0.0	0.156396849559865	0.39516182407836387	0.3477066649017142	0.282811569263353	0.3069362631544113	0.4816665563571381	0.5083063074988418	0.46654311999470516	0.3852339665100271	0.511615593354954	0.5055926930968297	0.25451717519359324	0.2547819180620822	0.24587993910914024	0.27030246872724867	0.236084452975048	0.23598517439936462	0.29492355549672383	0.30587729168045535	0.3074326560328281	0.3447283076312132	0.32642795684691245	0.30041697001787016	0.28244754781918063	0.3267919782910848	0.31911443510490434	0.28165331921371367	0.28287775498047524	0.26040770401747304	0.26001058971473956	0.27880733337745717	0.254186246607982	0.26560328281156925	0.27529949036997814	0.30395790588391025	0.325236613938712	0.2826461049705474	0.2614004897743067	0.659375206830366	0.22526308822556093	0.4001919385796545	0.3070355417300946	0.3510821364749487	0.3229862995565557	0.2873121980276656	0.3260639354027401	0.21738698788801378	0.26782050433516447	0.229333509828579	0.266066582831425	0.2875438480375935	0.22168905950095968	0.26765504004235885	0.3301674498643193	0.22201998808657092	0.28688199086637106	0.32530279965583425	0.3034946058640545	0.3836124164405321	0.40260771725461647	0.25603944668740486
CM025	0.25203521080150904	0.156396849559865	0.0	0.4101859818651135	0.3802038520087365	0.3222251638096499	0.29958964855384207	0.5056919716725131	0.5155867363822887	0.4894433781190019	0.4191872393937388	0.536203587265868	0.526739029717387	0.2562380038387716	0.27192401879674366	0.2636177112979019	0.2712621616255212	0.24382818187835065	0.25071149645906415	0.31163544907009066	0.3348335429214376	0.3378780859090608	0.3444635647627242	0.33350982857899264	0.305778013104772	0.2988285128069363	0.3207690780329605	0.3278178569064796	0.29866304851413067	0.29409623403269575	0.2635846184393408	0.263915547024952	0.277152690449401	0.25484810377920447	0.2817195049308359	0.27424051889602225	0.31924680653914883	0.32285392812231123	0.26394863988351314	0.2833079621417698	0.631279369911973	0.24495333906942882	0.4311999470514263	0.2996558342709643	0.34065788602819513	0.3074657488913892	0.28807333377457145	0.3211000066185717	0.21983585942153683	0.25891852538222254	0.22628896684095573	0.2619630683698458	0.2823813621020584	0.21781719504930835	0.24988417499503607	0.31861804222648754	0.22681845257793368	0.30356079158117677	0.3595870011251572	0.2830763121318419	0.36587464425177046	0.37967436627175855	0.2793699119729962
CM039	0.3816599377854259	0.39516182407836387	0.4101859818651135	0.0	0.3899000595671454	0.38159375206830365	0.4550598980739956	0.4801442848633265	0.5082401217817195	0.4948375140644649	0.3259646568270567	0.5781653319213713	0.5827321464028062	0.4680653914885168	0.4539678337414786	0.43702429015818384	0.44701833344364283	0.43493944006883317	0.4344099543318552	0.47964789198490965	0.4478125620491098	0.4320934542325766	0.3263948639883513	0.34380170759150175	0.39873585280296514	0.38321530213779864	0.40886226752266863	0.36514660136342575	0.39377192401879674	0.43434376861473295	0.38162684492686477	0.4457608048183202	0.4885498709378516	0.46363094844132635	0.43272221854523796	0.43718975445098945	0.49116420676418027	0.5201204580051625	0.4775299490369978	0.4058839102521676	0.7289033026672844	0.4401350188629294	0.44228605466940235	0.383049837844993	0.45641670527500167	0.4409954331855186	0.4123701105301476	0.44844132636177114	0.4313654113442319	0.45403401945860083	0.43996955457012377	0.4575087696075187	0.44010192600436826	0.4138592891653981	0.4101859818651135	0.37050764445032763	0.4070090674432457	0.39909987424713744	0.377093123303991	0.3829174664107486	0.3190813422463432	0.3463829505592693	0.3500562578595539
CM078	0.3778211661923357	0.3477066649017142	0.3802038520087365	0.3899000595671454	0.0	0.27218876166523265	0.41283341055000333	0.3329472499834536	0.36233370838573037	0.30243563439009863	0.26878019723343705	0.3815606592097425	0.3960553312595142	0.3493282149712092	0.35601297240055596	0.26520616850883577	0.31434906347210273	0.2822489906678139	0.3051161559335495	0.34737573631610297	0.34261036468330136	0.343603150440135	0.28383744787874776	0.2657025613872526	0.3262293996955457	0.3296048712687802	0.39158779535376265	0.34363624329869613	0.2681183400622146	0.3828181878350652	0.3186842279436098	0.2666291614269641	0.283638890727381	0.2844662121914091	0.3986696670858429	0.3827850949765041	0.420312396584817	0.43096829704149847	0.40965649612813554	0.3788470448077305	0.6954464226619895	0.2867827122906877	0.41544774637633197	0.27324773313918854	0.310642663313257	0.3119332847971408	0.29383149116420676	0.2786087762260904	0.30723409888146136	0.2803626977298299	0.3054801773777219	0.30190614865312065	0.3053808988020385	0.3212323780528162	0.38569726652988284	0.3774240518896022	0.33423787146733736	0.2854920908068039	0.26083791117876765	0.3984049242173539	0.4498643192798994	0.44910318353299356	0.3381097359189887
CM086	0.3446952147726521	0.282811569263353	0.3222251638096499	0.38159375206830365	0.27218876166523265	0.0	0.3088556489509564	0.37653054470845193	0.41366073201403136	0.3558144152491892	0.29528757694089613	0.410318353299358	0.4160765106889933	0.24458931762525646	0.23436362432986962	0.23270898140181348	0.27103051161559333	0.2310874313323185	0.23661393871202593	0.3112383347673572	0.2740088688860944	0.2619961612284069	0.28095836918393013	0.28916539810708847	0.24948706069230261	0.2689787543848038	0.31133761334304055	0.2643126613276855	0.2601760540075452	0.3041895558938381	0.24809716063273546	0.24280230326295585	0.2581242967767556	0.2334370242901582	0.2841352836057979	0.302270170097293	0.34747501489178634	0.3895029452644119	0.3584287510755179	0.2677543186180422	0.6562644781256205	0.23820239592295983	0.36557680852472035	0.3329472499834536	0.345754186246608	0.33192137136805877	0.3123965848169965	0.31355483486663577	0.27261896882652725	0.2720894830895493	0.29942418426103645	0.3204381494473493	0.34118737176517305	0.2947249983453571	0.34734264345754184	0.3682242372096102	0.26454431133761336	0.31262823482692437	0.28496260506982596	0.37464425177046795	0.39449996690714145	0.41376001058971473	0.1824409292474684
CM095	0.3448606790654577	0.3069362631544113	0.29958964855384207	0.4550598980739956	0.41283341055000333	0.3088556489509564	0.0	0.539181944536369	0.5507644450327619	0.541597723211331	0.4235885895823681	0.5826328678271229	0.5894830895492753	0.24015487457806606	0.23297372427030247	0.2561056324045271	0.2514395393474088	0.25954728969488383	0.27053411873717653	0.269044940101926	0.29631345555629096	0.3003176914421868	0.3441657290356741	0.3224237209610166	0.22029915944139256	0.2415778674961943	0.21040439473161693	0.2695082401217817	0.315242570653253	0.17602091468661063	0.20924614468197764	0.2654047256602025	0.2731815474220663	0.27546495466278376	0.20236283010126416	0.19984777285061883	0.20835263750082733	0.20901449467204977	0.1821430935204183	0.2340326957442584	0.6382619630683698	0.2970084055860745	0.450824012178172	0.3237474353034615	0.3228208352637501	0.3054801773777219	0.29912634853398634	0.3098815275663512	0.26083791117876765	0.28628631941227084	0.30878946323383416	0.27030246872724867	0.29105169104507245	0.30544708451916075	0.28714673373486	0.2677543186180422	0.26795287576940896	0.29012509100536105	0.35998411542789066	0.2810907406181746	0.3347342643457542	0.324409292474684	0.32503805678734526
CM110	0.4894102852604408	0.4816665563571381	0.5056919716725131	0.4801442848633265	0.3329472499834536	0.37653054470845193	0.539181944536369	0.0	0.16457078562446223	0.19547951552055068	0.3659408299688927	0.30809451320405057	0.317393606459726	0.4714739559203124	0.4735918988682242	0.4125355748229532	0.4307035541730095	0.42200013237143424	0.4271295254484082	0.49477132834734266	0.46214176980607585	0.4266000397114303	0.4074392746045403	0.422198689522801	0.506221457409491	0.49526772122575946	0.5577470381891588	0.48993977099741876	0.4266331325699914	0.530809451320405	0.46095042689787546	0.411939903368853	0.4533059765702561	0.4296114898404924	0.5309749156132106	0.5257462439605534	0.5548017737772188	0.573201403137203	0.5508968164670064	0.5088357932358197	0.7107684161757892	0.4387782116619234	0.39320934542325764	0.42981004699185915	0.45304123370176713	0.4486398835131379	0.42832086835660865	0.4364948044212059	0.43219273280826	0.4267324111456748	0.44701833344364283	0.4585015553643524	0.43715666159242833	0.44509894764709773	0.5121119862333708	0.5325964656827057	0.4491693692501158	0.4191872393937388	0.35038718644516514	0.5690978886756238	0.5899794824276922	0.6042425044675359	0.4303395327288371
CM118	0.5127076576874711	0.5083063074988418	0.5155867363822887	0.5082401217817195	0.36233370838573037	0.41366073201403136	0.5507644450327619	0.16457078562446223	0.0	0.23121980276656298	0.3885432523661394	0.3067707988616057	0.3153749420874975	0.4892779138261963	0.49281884969223644	0.43666026871401153	0.4520815408034946	0.44351049043616386	0.45777351247600767	0.5010258786153948	0.4813356277715269	0.44923555496723805	0.4447018333443643	0.44609173340393143	0.5292209941094712	0.5198557151366735	0.5806472963134556	0.511350850486465	0.45668144814349065	0.5529816665563572	0.4921900853795751	0.43814944734926203	0.4626050698259316	0.45333906942881724	0.5558607452511748	0.5508637236084453	0.5760804818320207	0.5837911178767622	0.561850552650738	0.5340194586008339	0.7117612019326229	0.46856178436693363	0.4075716460387848	0.46445826990535444	0.4819312992256271	0.47021642729498975	0.4779270633397313	0.4678006486200278	0.45198226222781124	0.43242438281818785	0.46598054139916606	0.47637169898735854	0.4489708120987491	0.45297504798464494	0.5336223442981005	0.5554967238070024	0.46641074856046066	0.4440068833145807	0.371698987358528	0.592924746839632	0.6118538619365941	0.6291945198226223	0.46664239857038853
CM126	0.4927526639751142	0.46654311999470516	0.4894433781190019	0.4948375140644649	0.30243563439009863	0.3558144152491892	0.541597723211331	0.19547951552055068	0.23121980276656298	0.0	0.34310675756171816	0.29148189820636705	0.30865709179958967	0.47038189158779536	0.4753458203719637	0.4034019458600834	0.41746641074856045	0.41051691045072475	0.415183003507843	0.4893110066847574	0.46512012707657685	0.4372559401681117	0.41462042491230394	0.40568535310080084	0.4923224568138196	0.5046991859156794	0.5571182738764975	0.5031438215633066	0.40846515321993515	0.53537626580184	0.46419352703686545	0.3945992454828248	0.4190548679594943	0.40912701039115756	0.5334237871467338	0.5285591369382487	0.5639354027400887	0.5722748030974916	0.5524190879608181	0.5172082864517837	0.711231716195645	0.4171354821629492	0.3784168376464359	0.42623601826725793	0.4453636905155867	0.43318551856509363	0.42024621086769476	0.40158183863922164	0.41213846052021974	0.38271890925938185	0.42845323979085315	0.44132636177112977	0.4323912899596267	0.4234562181481236	0.5254815010920644	0.5412337017671587	0.45800516248593554	0.4301740684360315	0.3430074789860348	0.5748560460652591	0.5949434112118605	0.6089416903832153	0.4325236613938712
