	CM009	CM021	CM025	CM039	CM078	CM086	CM095	CM110	CM118	CM126	CM153	CM165	CM166	CM176	CM179	CM181	CM182	CM183	CM184	CM196	CM198	CM199	CM213	CM215	CM219	CM222	CM229	CM230	CM246	CM253	CM254	CM257	CM259	CM260	CM261	CM262	CM266	CM268	CM271	CM293	CM362	CM372	CM383	CM411	CM436	CM437	CM438	CM439	CM441	CM443	CM444	CM448	CM449	CM452	CM469	CM471	CM482	CM518	CM524	CM535	CM538	CM540	CM557
CM009	0.0	0.45323741007194246	0.5018315018315018	0.566420664206642	0.6736641221374046	0.5422960725075529	0.6872509960159362	0.6630434782608695	0.6661264181523501	0.6742556917688266	0.6600361663652803	0.6678141135972461	0.6666666666666666	0.5172955974842768	0.5236111111111111	0.590990990990991	0.6095406360424028	0.6039426523297491	0.5548387096774193	0.6590909090909091	0.6016666666666667	0.5953488372093023	0.6355311355311355	0.6881091617933723	0.6360153256704981	0.6107011070110702	0.6414728682170543	0.6175373134328358	0.5468227424749164	0.6245136186770428	0.6150870406189555	0.5764499121265377	0.5543859649122806	0.5607779578606159	0.5808170515097691	0.5938566552901023	0.6488095238095238	0.699009900990099	0.6078799249530957	0.5454545454545454	0.8120300751879699	0.5457875457875457	0.5876288659793815	0.6453488372093024	0.6150870406189555	0.5610687022900763	0.5364485981308411	0.615071283095723	0.5802919708029197	0.5853211009174312	0.531578947368421	0.6	0.6491228070175439	0.5452991452991452	0.5508021390374331	0.6233269598470363	0.5792349726775956	0.5929549902152642	0.621414913957935	0.6206225680933852	0.6097122302158273	0.6873786407766991	0.536144578313253
CM021	0.45323741007194246	0.0	0.42857142857142855	0.5745967741935484	0.6501079913606912	0.5351882160392799	0.6490825688073395	0.6455479452054794	0.6505376344086021	0.650294695481336	0.625	0.6276803118908382	0.6273764258555133	0.5278246205733558	0.5503649635036496	0.5409836065573771	0.539714867617108	0.5560081466395111	0.5143884892086331	0.6220302375809935	0.5915750915750916	0.5949579831932773	0.6224489795918368	0.66	0.5982532751091703	0.58004158004158	0.6131868131868132	0.5813953488372093	0.5655296229802513	0.5875831485587583	0.5802197802197803	0.5433070866141733	0.5359223300970873	0.5392857142857143	0.5535714285714286	0.5665399239543726	0.6238738738738738	0.6659090909090909	0.5671641791044776	0.4980694980694981	0.7965738758029979	0.49166666666666664	0.5648854961832062	0.6084070796460177	0.6137339055793991	0.5569620253164557	0.5508130081300813	0.6322869955156951	0.5280665280665281	0.5486542443064182	0.49607843137254903	0.5592841163310962	0.6186252771618626	0.5038314176245211	0.5316205533596838	0.6140724946695096	0.5360824742268041	0.5736263736263736	0.5909090909090909	0.6017505470459519	0.6079207920792079	0.6739606126914661	0.5188834154351396
CM025	0.5018315018315018	0.42857142857142855	0.0	0.5384615384615384	0.6282352941176471	0.5493197278911565	0.5974358974358974	0.6282051282051282	0.6379310344827587	0.6392405063291139	0.6114790286975718	0.629399585921325	0.6262626262626263	0.5292035398230088	0.5720720720720721	0.5403050108932462	0.5262008733624454	0.5308370044052864	0.5318352059925093	0.6107226107226107	0.5910852713178295	0.5896980461811723	0.6087912087912087	0.628361858190709	0.5781990521327014	0.581858407079646	0.6206088992974239	0.5769230769230769	0.5981481481481481	0.5799522673031027	0.5653206650831354	0.5366876310272537	0.5073375262054507	0.5386064030131826	0.5717255717255717	0.5616161616161616	0.601965601965602	0.6476426799007444	0.5483870967741935	0.5101214574898786	0.7529976019184652	0.4911504424778761	0.5656565656565656	0.5889423076923077	0.5653206650831354	0.5207373271889401	0.5600858369098712	0.594059405940594	0.5167037861915368	0.5124153498871332	0.4895833333333333	0.5208845208845209	0.5724815724815725	0.4887525562372188	0.5085106382978724	0.5727699530516432	0.4818181818181818	0.5443645083932853	0.5636792452830188	0.5785714285714286	0.5845824411134903	0.6277372262773723	0.5146804835924007
CM039	0.566420664206642	0.5745967741935484	0.5384615384615384	0.0	0.581151832460733	0.6283783783783784	0.689119170984456	0.6590909090909091	0.6546184738955824	0.6334841628959276	0.5588235294117647	0.6558441558441559	0.6547368421052632	0.6188811188811189	0.6558345642540621	0.5928411633109619	0.6306695464362851	0.5900900900900901	0.6086142322097379	0.6848341232227488	0.6415841584158416	0.64568345323741	0.5560975609756098	0.6058981233243967	0.5629820051413882	0.5365853658536586	0.5691906005221932	0.5552825552825553	0.5651302605210421	0.6421568627450981	0.5960099750623441	0.5961538461538461	0.6107660455486542	0.6210131332082551	0.625531914893617	0.6361788617886179	0.6898263027295285	0.710997442455243	0.6490825688073395	0.61	0.7964824120603015	0.6125541125541125	0.5945378151260504	0.5517241379310345	0.5746835443037974	0.5412621359223301	0.5416666666666666	0.6347150259067358	0.5859728506787331	0.5954545454545455	0.56	0.607940446650124	0.6294416243654822	0.569672131147541	0.5745140388768899	0.5	0.6097560975609756	0.5743073047858942	0.5692695214105793	0.5595854922279793	0.5308056872037915	0.5308988764044944	0.6142131979695431
CM078	0.6736641221374046	0.6501079913606912	0.6282352941176471	0.581151832460733	0.0	0.5988483685220729	0.6006600660066007	0.5804988662131519	0.5517241379310345	0.5295774647887324	0.4573170731707317	0.5778364116094987	0.6246913580246913	0.6198830409356725	0.6794258373205742	0.5605263157894737	0.5587467362924282	0.5608465608465608	0.6113445378151261	0.6088235294117647	0.6396396396396397	0.6526104417670683	0.463855421686747	0.4791666666666667	0.4857142857142857	0.4985507246376812	0.5206349206349207	0.52046783625731	0.5525114155251142	0.5783132530120482	0.5290519877675841	0.5552763819095478	0.5738498789346247	0.6076759061833689	0.6108374384236454	0.6206088992974239	0.60625	0.6254071661237784	0.5994475138121547	0.6407982261640798	0.7356687898089171	0.6231527093596059	0.6285046728971962	0.47368421052631576	0.5335365853658537	0.5543175487465181	0.554089709762533	0.5504885993485342	0.5822454308093995	0.5857519788918206	0.5700712589073634	0.5396341463414634	0.56875	0.6031746031746031	0.6004842615012107	0.5608308605341247	0.5880829015544041	0.5465465465465466	0.5272727272727272	0.5325077399380805	0.6025974025974026	0.5865384615384616	0.6501831501831502
CM086	0.5422960725075529	0.5351882160392799	0.5493197278911565	0.6283783783783784	0.5988483685220729	0.0	0.6679462571976967	0.5016722408026756	0.5555555555555556	0.5626134301270418	0.5942028985507246	0.5397111913357401	0.5541958041958042	0.4019607843137255	0.41786743515850144	0.5009174311926605	0.5295169946332737	0.5064220183486239	0.42470389170896783	0.6341911764705882	0.5335570469798657	0.53198127925117	0.5714285714285714	0.648854961832061	0.5932203389830508	0.5461254612546126	0.6242990654205608	0.562962962962963	0.5033112582781457	0.5920303605313093	0.5883458646616542	0.4829443447037702	0.47424511545293074	0.4302721088435374	0.541958041958042	0.5291095890410958	0.6387832699619772	0.6819047619047619	0.5795246800731262	0.5033898305084745	0.8046594982078853	0.47889908256880737	0.537542662116041	0.6228893058161351	0.6169429097605893	0.5860215053763441	0.562390158172232	0.6354961832061069	0.5482142857142858	0.5398550724637681	0.4913494809688581	0.5760456273764258	0.6392523364485981	0.48547008547008547	0.5303292894280762	0.6172161172161172	0.5420393559928444	0.5800376647834274	0.5869158878504673	0.634862385321101	0.6068965517241379	0.6759776536312849	0.45314900153609833
CM095	0.6872509960159362	0.6490825688073395	0.5974358974358974	0.689119170984456	0.6006600660066007	0.6679462571976967	0.0	0.6917960088691796	0.6601941747572816	0.6684931506849315	0.6494252873563219	0.6763157894736842	0.6975	0.6229508196721312	0.6887417218543046	0.5726256983240223	0.5464788732394367	0.5690140845070423	0.6080178173719376	0.5034246575342466	0.594059405940594	0.6460554371002132	0.6610169491525424	0.6185567010309279	0.5445544554455446	0.5823529411764706	0.5666666666666667	0.5358255451713395	0.6651785714285714	0.5017182130584192	0.5067114093959731	0.6108247422680413	0.5928753180661578	0.6227678571428571	0.5691056910569106	0.5820512820512821	0.46441947565543074	0.4743083003952569	0.4806451612903226	0.5823095823095823	0.6221374045801527	0.5826558265582655	0.6361386138613861	0.6237942122186495	0.60062893081761	0.5835777126099707	0.6310160427807486	0.5749128919860628	0.5637393767705382	0.5795454545454546	0.599009900990099	0.5755627009646302	0.5886287625418061	0.6223277909738717	0.5699208443271768	0.5791139240506329	0.5539772727272727	0.5454545454545454	0.5759493670886076	0.5544554455445545	0.6208791208791209	0.6082474226804123	0.6872659176029963
CM110	0.6630434782608695	0.6455479452054794	0.6282051282051282	0.6590909090909091	0.5804988662131519	0.5016722408026756	0.6917960088691796	0.0	0.47368421052631576	0.5043478260869565	0.5822784810126582	0.5612244897959183	0.562624254473161	0.5648604269293924	0.5860597439544808	0.511482254697286	0.5494949494949495	0.5300207039337475	0.5152603231597845	0.6518987341772152	0.5845588235294118	0.5932773109243697	0.5708245243128964	0.6241457858769932	0.6082251082251082	0.6040816326530613	0.6638477801268499	0.6058091286307054	0.5663082437275986	0.6220302375809935	0.5590200445434298	0.5442043222003929	0.5368217054263565	0.5081967213114754	0.6121673003802282	0.6146788990825688	0.6637554585152838	0.7105263157894737	0.6376518218623481	0.6404886561954625	0.8197064989517819	0.6111111111111112	0.5765595463137996	0.6123348017621145	0.6263269639065817	0.6020408163265306	0.5833333333333334	0.6422222222222222	0.5676767676767677	0.570264765784114	0.5482041587901701	0.6008676789587852	0.631578947368421	0.5598526703499079	0.6145251396648045	0.6549586776859504	0.6031434184675835	0.5869565217391305	0.5478841870824054	0.6831275720164609	0.6841121495327103	0.7112526539278131	0.5846394984326019
CM118	0.6661264181523501	0.6505376344086021	0.6379310344827587	0.6546184738955824	0.5517241379310345	0.5555555555555556	0.6601941747572816	0.47368421052631576	0.0	0.4883720930232558	0.5816554809843401	0.5593952483801296	0.5578947368421052	0.5806451612903226	0.6164978292329957	0.5229759299781181	0.5438972162740899	0.5454545454545454	0.5388888888888889	0.6494382022471911	0.6136363636363636	0.6224137931034482	0.579064587973274	0.6195121951219512	0.6091954022988506	0.610752688172043	0.6530612244897959	0.5879732739420935	0.5757009345794393	0.6486486486486487	0.5771028037383178	0.5682281059063137	0.548582995951417	0.5483271375464684	0.616	0.6211538461538462	0.674364896073903	0.6966824644549763	0.6314655172413793	0.6328413284132841	0.8041002277904328	0.6287425149700598	0.603515625	0.5904761904761905	0.6221719457013575	0.5873362445414847	0.5887265135699373	0.6421800947867299	0.5962343096234309	0.559652928416486	0.5686274509803921	0.6141552511415526	0.6080760095011877	0.5609284332688588	0.62109375	0.6438053097345132	0.5979166666666667	0.618510158013544	0.581986143187067	0.6410835214446953	0.657258064516129	0.7038724373576309	0.6248012718600954
CM126	0.6742556917688266	0.650294695481336	0.6392405063291139	0.6334841628959276	0.5295774647887324	0.5626134301270418	0.6684931506849315	0.5043478260869565	0.4883720930232558	0.0	0.5398457583547558	0.537712895377129	0.5435294117647059	0.5923217550274223	0.6328725038402457	0.511002444987775	0.5311004784688995	0.5639810426540285	0.5481927710843374	0.638676844783715	0.6324435318275154	0.6221804511278195	0.544529262086514	0.5754985754985755	0.5815789473684211	0.6024096385542169	0.6356589147286822	0.5975308641975309	0.5679012345679012	0.6237113402061856	0.5596816976127321	0.5588235294117647	0.5304740406320542	0.5318275154004107	0.6150442477876106	0.6178343949044586	0.6666666666666666	0.6918918918918919	0.6289156626506024	0.65	0.7889182058047494	0.62	0.5921908893709328	0.5706521739130435	0.5748031496062992	0.5829268292682926	0.5747663551401869	0.5837988826815642	0.5731132075471698	0.5590361445783133	0.559652928416486	0.5763157894736842	0.5983827493261455	0.5756302521008403	0.6177105831533477	0.6460396039603961	0.6077981651376146	0.596401028277635	0.5386666666666666	0.6633416458852868	0.6696230598669624	0.6866840731070496	0.6200345423143351
