	CM009	CM021	CM025	CM039	CM078	CM086	CM095	CM110	CM118	CM126	CM153	CM165	CM166	CM176	CM179	CM181	CM182	CM183	CM184	CM196	CM198	CM199	CM213	CM215	CM219	CM222	CM229	CM230	CM246	CM253	CM254	CM257	CM259	CM260	CM261	CM262	CM266	CM268	CM271	CM293	CM362	CM372	CM383	CM411	CM436	CM437	CM438	CM439	CM441	CM443	CM444	CM448	CM449	CM452	CM469	CM471	CM482	CM518	CM524	CM535	CM538	CM540	CM557
CM009	0.0	0.3427198742166873	0.3742347265469381	0.4474969246993031	0.4928134964906572	0.4287159643891682	0.5493897952200251	0.541833112238308	0.5287438532840804	0.505810080452061	0.4913085928136545	0.46808920761402906	0.5288724599555499	0.40910069667774773	0.43033544702597715	0.4283887731055952	0.4384230678271111	0.4132554761554821	0.3949281961716566	0.48474039290268056	0.43976007964207714	0.4361253543380222	0.4516202935539981	0.47922110049830274	0.48104119354487196	0.45393504790641903	0.500953586139669	0.43197783780579757	0.4114108905233015	0.5134509037488904	0.47429430833757374	0.4061564638128313	0.40271792164182335	0.4135695082878226	0.4688345543928866	0.48096532368055767	0.5254001183725535	0.556804749710822	0.4983826747622488	0.44877231302554266	0.6845567853219494	0.42237712460360155	0.4923617096543437	0.45654225559433764	0.4684777801544511	0.4055161807470751	0.3995325563796034	0.45578612006048247	0.4560348412934603	0.4098000093139398	0.40255866426405285	0.47342350865505706	0.5130214276391699	0.4311659377246751	0.41954105373083894	0.4695647237341191	0.42848863112286606	0.46173550631412563	0.44492622857093	0.4912192620740366	0.5183401688915755	0.5577277349509124	0.4472313645404304
CM021	0.3427198742166873	0.0	0.32984619808415205	0.44558677184676426	0.4862627655489453	0.4200238932175145	0.5427419816149366	0.5431654905376891	0.5349263906746311	0.49413218973757245	0.46285303960581914	0.4487285598769068	0.4879413276013567	0.38052795941818485	0.42201661871649804	0.40489954885483903	0.43219123871111287	0.3963147374777437	0.37589147913104237	0.4829882927162228	0.43721548510672936	0.4223271856610117	0.41988731017029307	0.4659112143824878	0.4486559964089719	0.40617527112141194	0.488661603981735	0.4072729855035722	0.42101989808470613	0.4844223777583616	0.4667745311590849	0.37492790623713307	0.3942873040651066	0.3905624127704767	0.4126626729163142	0.4370210656325131	0.5082199981466115	0.5412744003331015	0.47793020448953655	0.38323278298116087	0.6669999810339577	0.40420446991921816	0.45988915326340074	0.437913570314419	0.46287693006008135	0.415250599034039	0.42086038164019773	0.4801605129245027	0.41795125469745575	0.3716180359963439	0.3551949361866407	0.44783586981910356	0.5075252654209989	0.3848389390928528	0.40782487675115314	0.46038571346628115	0.4163684519477405	0.45060572457635006	0.43678941764218027	0.46571029870034214	0.48701433439821634	0.5503431478757472	0.44282698272500887
CM025	0.3742347265469381	0.32984619808415205	0.0	0.4355361538990977	0.4706910872829448	0.40205081343555327	0.5266288248431817	0.5237156142407801	0.5130203262563109	0.4689980940835912	0.47648095806355345	0.4510364131414219	0.5229425402463667	0.40111736886750765	0.42565375361428365	0.39827322158990713	0.42942670223734547	0.3953479360471789	0.3698698524589555	0.48140517558331297	0.4525459739804921	0.43189482918315114	0.44270114244134656	0.4457704330726949	0.4426073063577759	0.4375915136242663	0.4863572279173792	0.4242762470965008	0.4435404492597313	0.4998704663398763	0.4679750202206818	0.37915502475187435	0.36968948027659915	0.3733847426844262	0.46276358467001083	0.4345961951313616	0.49734525704351407	0.5437063530911657	0.47585811345992796	0.3907859597844874	0.658445922984734	0.4167951845310591	0.46710877732249767	0.43619936773899487	0.4592388533345289	0.39592239607045604	0.42983437662611873	0.47297137200328165	0.4027216532359543	0.36029476847015507	0.3861879108415992	0.4419452254525995	0.48195217953034175	0.39432757076076813	0.3950539229374384	0.4267845854560926	0.3684498175104133	0.43658714429941947	0.4046314065627401	0.45744825781765736	0.4934067393404762	0.5343368075646552	0.43050295015898987
CM039	0.4474969246993031	0.44558677184676426	0.4355361538990977	0.0	0.381485973845512	0.48374790737281304	0.5681325679195172	0.49987955210800933	0.5068178380504518	0.4801066475332697	0.36589947054654615	0.4904239320157647	0.47221259619640943	0.4657406298929684	0.4650329206017369	0.4773843312216622	0.490070788437513	0.42021868635298776	0.46988057448575915	0.5172276984548854	0.48009549780064453	0.49170344233736196	0.4411029380572654	0.4709421622219481	0.45874338304395534	0.4634536225845401	0.48590475804235056	0.4317955047768444	0.4534045119476329	0.5226324131795382	0.47821321773111386	0.42998231889565947	0.4435620409589721	0.4681181801831836	0.4786940493919576	0.4816819481948688	0.5506904973536082	0.5713985670906213	0.5411395982012638	0.4781710385335102	0.6787095503140914	0.48848267532802975	0.41426247665958044	0.4262230246111814	0.3703810613710094	0.43044039320998173	0.37652271152448086	0.48799382357955506	0.41592963633272456	0.4683727413036823	0.4078348576906761	0.48350654851275043	0.44775749329323866	0.3888404341361308	0.46293647633633844	0.4336989704376216	0.4880315977272029	0.4469818622525685	0.4355640901464439	0.5045240789712393	0.48662659111795353	0.5172639867616584	0.4285031910896848
CM078	0.4928134964906572	0.4862627655489453	0.4706910872829448	0.381485973845512	0.0	0.464640153863318	0.499962777653854	0.5039725895073834	0.472448623380257	0.40621895368411864	0.3399737349835241	0.46247577047611366	0.5004206683763024	0.4694612938891934	0.5072617919150728	0.4697071288075045	0.46391423046220465	0.43709145308932973	0.45395472460848263	0.4773792567287952	0.4809393257534105	0.4887233493351209	0.3806541466464805	0.36506270655523065	0.40415140587641263	0.4205405201997561	0.4391942006310045	0.4166235708574417	0.46096942390718637	0.47276590393178486	0.4365095715338452	0.40322176419512784	0.4219934830151962	0.46771969424393256	0.4692066800643152	0.4879501986822026	0.5095495541547451	0.5174342843059027	0.5050106889776942	0.5222140388355075	0.6146449293820248	0.47184095415544847	0.45753342593382007	0.38251567384887003	0.33495844717085366	0.4095651609695454	0.35628870476563734	0.41521965181468284	0.43578575177399964	0.4386929366837761	0.4302848290901627	0.4312305332157474	0.4038020529496898	0.41637783147183494	0.47128200616946414	0.4097521308033107	0.46528628988745546	0.4169114084560738	0.39587988416897507	0.4575071097536658	0.4895871444022617	0.4992406977040907	0.5036611261844058
CM086	0.4287159643891682	0.4200238932175145	0.40205081343555327	0.48374790737281304	0.464640153863318	0.0	0.5629344132420895	0.41410483446375973	0.4210899945971262	0.3765693886104734	0.4592272936214508	0.34313681257861	0.42458443481917807	0.3316556785008064	0.37912683363451377	0.38505947723068346	0.4434210783952643	0.4067407787134854	0.341303019470882	0.5190364298703611	0.43582533350959907	0.39413205070038215	0.4182779243310036	0.4906030222157095	0.47646019924998734	0.4406947267792341	0.5286870364068085	0.43297834631724	0.3952387542269849	0.514708057403818	0.4948284559855585	0.3831612769361977	0.3652695733826556	0.3366963790482838	0.4530175989724473	0.4236195231022034	0.5380176857961637	0.5820753692995521	0.4896816465358881	0.45210639850948037	0.6987209343726304	0.4205860452837716	0.44217765835964745	0.47581386279382015	0.49802445704026754	0.44575424587659607	0.43372251921144506	0.5066981537020733	0.4703785410432599	0.41177230765156286	0.38470055206544024	0.47838614642843086	0.5303752755327251	0.40317053941166175	0.44546968945133786	0.4796296019080504	0.4382796487566011	0.5017447042850784	0.4608603605334191	0.5161035175371164	0.5276198990897707	0.5801665362345806	0.3978655084272457
CM095	0.5493897952200251	0.5427419816149366	0.5266288248431817	0.5681325679195172	0.499962777653854	0.5629344132420895	0.0	0.6623263585713527	0.6199207941441923	0.5633286072934457	0.5332505467366775	0.5463032602253686	0.6159378379385153	0.5000101873962929	0.5987980939258868	0.5065855556906784	0.49658949431290056	0.4835527217617624	0.5172762989573993	0.40005048426960177	0.4973787774723083	0.5386889070398951	0.5241918399248479	0.4930891171504156	0.3944125471903017	0.4576469269891802	0.42276800222605015	0.430351336273063	0.5273148120121106	0.3931718680138971	0.37929639337059223	0.48211927558460366	0.4818719531909375	0.5298483779161184	0.4372113778058305	0.4827825822364306	0.3649670218264102	0.34920539415078605	0.3824084647727722	0.47899129876381613	0.48341331429868206	0.44201776848161584	0.5621178276752756	0.4962045605795484	0.5036883389525487	0.4674618039173026	0.5221947372152933	0.4690440952378592	0.5432452759809868	0.5049320673249426	0.4726405091233375	0.45635312072850076	0.5076140355495475	0.5506217848935734	0.46698842446892586	0.4367187221894466	0.47986993324608873	0.4505017024001717	0.4790870498601049	0.4166653904626347	0.44425743868224027	0.4315911897514964	0.6208496135341186
CM110	0.541833112238308	0.5431654905376891	0.5237156142407801	0.49987955210800933	0.5039725895073834	0.41410483446375973	0.6623263585713527	0.0	0.37575778680990163	0.47364599693270637	0.4722594559721002	0.48936976202440086	0.4465491369269329	0.49795646783819153	0.4629725803718329	0.4743773381909389	0.4863525106852469	0.4923288748844991	0.45596819624775287	0.6142073347840398	0.5448686993231802	0.5189097770908822	0.5009400797035886	0.5605034063114925	0.5798725190621705	0.5462267368536606	0.6245161127819727	0.5657527217220937	0.4923627977101163	0.6282225187325741	0.5774938988156703	0.5195288003348122	0.5096606996736521	0.44843317679885025	0.5641412086981411	0.5362367421463311	0.6370809122995063	0.6801888021213638	0.6142456696227635	0.5594439107263758	0.7520941654694189	0.5678700219140717	0.47242629601473646	0.5448515347930682	0.517640843679552	0.5317169949797605	0.4778337105526584	0.5997519969133708	0.45199594128645965	0.506442001285862	0.5088680094194167	0.5937612732256885	0.5428221498939138	0.4561802287157258	0.5560711202204925	0.5849604170414326	0.529406007824718	0.586967256805154	0.5290618581712995	0.5920817304822711	0.6194297910417821	0.6667765464602982	0.44976633703440505
CM118	0.5287438532840804	0.5349263906746311	0.5130203262563109	0.5068178380504518	0.472448623380257	0.4210899945971262	0.6199207941441923	0.37575778680990163	0.0	0.42830247460371546	0.4448575930574687	0.47260311030983637	0.4489422520764601	0.4682016759797541	0.45000661805638015	0.4555967887917195	0.5035773982587755	0.49270371333061475	0.44708422446058677	0.5892507969324062	0.5454764924472697	0.5101763814675747	0.5040181348006852	0.5503722047241516	0.5510846046420327	0.523121305726369	0.5781687342742279	0.543036643136173	0.47788224219970926	0.612163116020013	0.5551291133211714	0.5092676870210479	0.5081486796804084	0.4617710715256005	0.5343568575700071	0.5268772743783754	0.6214855641760721	0.6442856330678406	0.5723126283896905	0.5410793130654845	0.7219349457848605	0.551980495655638	0.5019754069169882	0.5173387037626236	0.5074069411959989	0.5122337533913245	0.46727338925290396	0.5831645740278922	0.4995861281808805	0.4720575031361619	0.49541088000319483	0.5685184411876443	0.5180159155759131	0.4498899261296061	0.5223365903339278	0.5687422747619475	0.4997917323921745	0.578376000653903	0.5450931076759081	0.5355939641516253	0.5751140645080626	0.6344908863402565	0.4935715316518453
CM126	0.505810080452061	0.49413218973757245	0.4689980940835912	0.4801066475332697	0.40621895368411864	0.3765693886104734	0.5633286072934457	0.47364599693270637	0.42830247460371546	0.0	0.46409413873232946	0.38493166484314884	0.44596234145043184	0.43512629201156183	0.5160232151492691	0.3737103119091545	0.45213068228390985	0.43552394689494367	0.4016880454060036	0.5197572138888092	0.4903192848820567	0.46402968802374467	0.4235132026791468	0.4468788692153572	0.44219081063220433	0.4790395120405099	0.5184928006049736	0.47764652107133565	0.4407634137743319	0.5180877482643242	0.4829145011838586	0.4170205472627473	0.4101901305567242	0.40558979347551055	0.4680713674025485	0.4592203457931171	0.5533875497352533	0.5679075846016904	0.5134367482950788	0.5296189915108941	0.6664250250504234	0.49676788208343603	0.47910501742841544	0.4308454695041103	0.4711425791661039	0.4422335498855678	0.44936676640035933	0.4734331977425794	0.4814604921083701	0.4312633801309747	0.43180468648974174	0.46306495317581176	0.49740414115876586	0.45718591844714107	0.4753393395429675	0.5059851362285896	0.45895394840357306	0.46937819771794415	0.43975935156446083	0.5116277397793254	0.5406038165757331	0.5673757196435291	0.49894890843047224
