	CM009	CM021	CM025	CM039	CM078	CM086	CM095	CM110	CM118	CM126	CM153	CM165	CM166	CM176	CM179	CM181	CM182	CM183	CM184	CM196	CM198	CM199	CM213	CM215	CM219	CM222	CM229	CM230	CM246	CM253	CM254	CM257	CM259	CM260	CM261	CM262	CM266	CM268	CM271	CM293	CM362	CM372	CM383	CM411	CM436	CM437	CM438	CM439	CM441	CM443	CM444	CM448	CM449	CM452	CM469	CM471	CM482	CM518	CM524	CM535	CM538	CM540	CM557
CM009	0.0	0.07369417649714645	0.066107821972606	0.14082388775538507	0.1077456157557884	0.14339844757184164	0.12532293496875507	0.1967255674002019	0.1981319727892275	0.1846685720048522	0.15485966685585986	0.19440208477203685	0.19957940746709407	0.09765366190913989	0.09822967483856065	0.09614998400220112	0.10974710523769823	0.09724997040506454	0.08568982489788853	0.10180449264889979	0.13102839273532502	0.12905810668291595	0.13308649810652118	0.11637107063038234	0.14291622633908244	0.15469155268998291	0.15441562110015003	0.1724694394371565	0.089244892178073	0.12154002933564066	0.10633682611034999	0.0793120657338018	0.0968433834937004	0.07888938544099028	0.13253919791523394	0.11366234010014489	0.1201433364182707	0.11259545720675891	0.09413972959976949	0.1265207980290001	0.1852204916124782	0.08272318544335536	0.1476485560689357	0.0825534704190191	0.10065714007768108	0.08837035263830903	0.0695625013980701	0.08401094514802834	0.07365364450571878	0.0840471835237421	0.07796109309725092	0.08523920161052706	0.08596740975654431	0.07118130878506942	0.0857767133568156	0.10138609007784928	0.0962177096266539	0.0800052038492481	0.09817434185741973	0.10644986051667826	0.1283523487260966	0.13572392580723072	0.13525726683390196
CM021	0.07369417649714645	0.0	0.045986065509980696	0.12721764857428425	0.10427499647847616	0.10942386508353316	0.09906236296330846	0.18720931908040012	0.19481496789392957	0.18040883408231922	0.12328648637686333	0.1886117115515981	0.18787304610898578	0.06990061231973535	0.07169527987188645	0.06312208032789166	0.07494372874631504	0.060185659915369526	0.05636261311457615	0.06958860358355941	0.08488914321340314	0.08292404571840627	0.11887745580648866	0.10032191309069972	0.11620206299776678	0.12068565361020316	0.13347974487768893	0.13649252586292326	0.07061228705645234	0.0858813703088142	0.08442608044403913	0.07690878291838218	0.09817734803492097	0.0766517547545023	0.09156200138627237	0.07855302309193912	0.08768227654563794	0.08440087101483673	0.07017643458986278	0.0837046952647647	0.16547906332840454	0.06328614729666096	0.1244732467763344	0.08643528556479622	0.12814323749058956	0.11191945679602094	0.0886722664985079	0.11031241534420516	0.06891417135595275	0.09475796646507369	0.07651543555240374	0.10017651818760404	0.10149305138359437	0.07045181465091169	0.07255101727583996	0.09036292698521992	0.04987975277109247	0.08861127933911057	0.10488802882304304	0.08741048542322662	0.11756792134924152	0.12424924031992474	0.10149001279311826
CM025	0.066107821972606	0.045986065509980696	0.0	0.14687978300823273	0.11328929575113182	0.13719363142614766	0.10283626981988919	0.19807283382429258	0.2041263833597773	0.19086822760264507	0.1484692167509754	0.20173200234727812	0.20126017864362541	0.07798372991291214	0.0815932247217875	0.08312908510594656	0.08940720027847487	0.07710512676751316	0.06625882259822119	0.08265365751210413	0.10801785486569888	0.10899648695010408	0.13137238880628696	0.11400299828332307	0.12483656464046343	0.12915840499014294	0.1297931789162854	0.1472911265894027	0.08018814230202548	0.09460911130314156	0.08966421008971648	0.07109101965983837	0.09447460983649958	0.07230927716408947	0.10218432782141128	0.08586779833483442	0.0903947364813463	0.0871513075232542	0.07085197688089842	0.09803262341451097	0.1745018997254599	0.06597637385383873	0.15078010115351353	0.07552688551578765	0.12019806695229189	0.10331550292601888	0.08084502543297345	0.10405940061511515	0.061753419277378666	0.09034505127748703	0.06572905893538061	0.08906334844804384	0.09406189085926639	0.05958821231409026	0.0603208744838957	0.08548961403868936	0.059422088039643245	0.09332263648414242	0.11297324820149866	0.08050725695289947	0.11734752778949213	0.12222185691342702	0.12488674888680831
CM039	0.14082388775538507	0.12721764857428425	0.14687978300823273	0.0	0.14834472633445486	0.11245279806685156	0.13573194726079596	0.19534375107609664	0.20651342192434785	0.19490861108801225	0.08449081627188298	0.21725335365432932	0.21984122356588198	0.16260592252976572	0.14562939535954764	0.15367573163496062	0.16204731557909288	0.1512543221238902	0.15531256668733784	0.15758283414784027	0.1305679196640479	0.11819592018015321	0.11311682140989443	0.12374891707034381	0.14852432866883378	0.15245438038176212	0.15600979627412995	0.14093781878862133	0.15309484721807207	0.12970148377253998	0.11301046684497254	0.17236630853380155	0.19654099948678605	0.17472392112689944	0.1314079991581727	0.13534416902836713	0.1503165333424697	0.1755016114023549	0.16484360622364855	0.11671350073453998	0.20962651955000813	0.14738202972926245	0.14709840876360344	0.1531559528397667	0.19036828313313847	0.18216013824775618	0.1592731594273902	0.1763348065760924	0.16742906320930717	0.1793107542332853	0.17163098527168924	0.1823812524695198	0.17451992580232448	0.1645579457063881	0.15121681408694027	0.14048832118416937	0.13533125931341625	0.14706092036414273	0.1377595538047358	0.13725745354331562	0.09807847272977711	0.11719870057005564	0.09496018857638121
CM078	0.1077456157557884	0.10427499647847616	0.11328929575113182	0.14834472633445486	0.0	0.11310169728470644	0.1577467045261277	0.13592067138307473	0.14291244203111775	0.1131327610690735	0.11579736681400163	0.1268041832876841	0.13201529638738396	0.11372611432124298	0.11997199189238511	0.08644662108938772	0.11463061260975944	0.0963061028768872	0.10256250352392784	0.09265762967365052	0.10580463621586361	0.10209074733471031	0.13147541742183622	0.11638262761972658	0.16213590178751672	0.177880596277613	0.1944239727954781	0.18450727329643465	0.10137906511525072	0.1496487594383947	0.13825561705646558	0.08772317774236361	0.09726166365616577	0.08645839349275225	0.1613885348205382	0.1476842056180065	0.14865341322906808	0.13700822274066185	0.14284282815308746	0.14505449093590803	0.1928342083188102	0.08479952278409332	0.1435699881554199	0.09672399323191441	0.1123783141915575	0.11065244700344305	0.10302222197528856	0.09366072461400501	0.09539553096108445	0.09120941894798866	0.10319556659379178	0.11063371767444427	0.10656543608914977	0.10409848205910323	0.12295654314463128	0.14928112143082653	0.10762772402544005	0.08704691539187799	0.07965818638388614	0.16089876751772667	0.1815328558473071	0.1879997903803139	0.13976071278885716
CM086	0.14339844757184164	0.10942386508353316	0.13719363142614766	0.11245279806685156	0.11310169728470644	0.0	0.10977550396101295	0.1874870118510753	0.19709415799628915	0.17395104129471026	0.08355734433274428	0.18699300242461875	0.18919727909393064	0.11229209134122606	0.10078497922700887	0.10220474376610185	0.12340688807619227	0.10056638291020419	0.1096842663626293	0.11711368602679076	0.08875222049081911	0.08201604502121053	0.09579163549584178	0.10840755179487126	0.08439423722457877	0.10062948182376978	0.11674221162595819	0.10233986305409506	0.11063709459502663	0.10474715049915947	0.08253477011817835	0.12189450695604012	0.1393744615044991	0.11932362741597738	0.09847662870052186	0.11476680119117962	0.11912640232938496	0.13846865632582647	0.14779220222469033	0.10302687098348387	0.20617584652537227	0.10698595417511864	0.14172363001824098	0.14174570549281082	0.16566297432861424	0.15816888132803206	0.1434103087771243	0.14603654146205003	0.12679918701328824	0.13280622062154407	0.14203920513829638	0.15740258309648356	0.1602551877506695	0.13760025128846703	0.1528226181162334	0.14984456269352858	0.11410168578016924	0.13980015400663093	0.12190269654593028	0.148872775983872	0.1332123976496361	0.14382105086503907	0.047350784830105734
CM095	0.12532293496875507	0.09906236296330846	0.10283626981988919	0.13573194726079596	0.1577467045261277	0.10977550396101295	0.0	0.24371937130938037	0.25305844139565525	0.23835514617836498	0.129094963921819	0.24850932641299256	0.2501022027531938	0.07075310771030953	0.06456692847667092	0.09047636102716568	0.08411174842946863	0.08137049971416072	0.08347824687937953	0.10106481394582192	0.10248521910007302	0.10597100601377593	0.09421858576684933	0.08716541568003947	0.055799073757166605	0.07930321346738667	0.06427419792059039	0.11295716393138341	0.08498602125593259	0.04059712768686562	0.05519257282079484	0.09507926344823114	0.11579239561246163	0.10088020854146942	0.05324763345924068	0.05466027593429298	0.058684626998525766	0.06946044939940277	0.07131756577866373	0.07868056944243731	0.20078343275414076	0.10865783636149814	0.1800434549310186	0.1098660974835473	0.1403023842407138	0.1238001998216632	0.1030784367231996	0.12196394884248145	0.10133216508487171	0.11730434674922688	0.11874570418774562	0.11489636381421922	0.12316204248432377	0.11566571472978997	0.11930581250410942	0.08998477542278077	0.09640709546431515	0.1291245512889039	0.1601489860602108	0.08847866771892059	0.09179334957085278	0.08766698865899553	0.1120657848506145
CM110	0.1967255674002019	0.18720931908040012	0.19807283382429258	0.19534375107609664	0.13592067138307473	0.1874870118510753	0.24371937130938037	0.0	0.04954580814664478	0.056465177925331005	0.15994552247406776	0.1008660711514666	0.10954975723797057	0.20947182458639543	0.21061267906249978	0.18561703058622864	0.19722698017825796	0.19254643980071612	0.19099323646922148	0.19769735392975352	0.1974738170307421	0.1773634047509052	0.20495482141407978	0.2053390935821074	0.2510674328374341	0.2612598373545423	0.2836911910020981	0.2655034512620267	0.19351591375961213	0.23915639308978873	0.22390123790035743	0.1822993184852176	0.20719548590085096	0.18735534278977398	0.2482223409991795	0.23717591451253417	0.24029640586877188	0.23568689633828027	0.2334513579596151	0.21912141964858475	0.21571194788809295	0.17494324811293666	0.14825922299140512	0.18430915776412024	0.20908385460202694	0.20280590640327928	0.19052174856287518	0.1899822207696018	0.18508643452515475	0.19135484607193354	0.19672679489189068	0.2046108913108472	0.19486851347359918	0.1934691764588234	0.21053307800109702	0.23838973618762083	0.1906165935985181	0.1777982592538165	0.13993127482347384	0.24784975659516525	0.26480407084163554	0.2756501594935141	0.2029780462114797
CM118	0.1981319727892275	0.19481496789392957	0.2041263833597773	0.20651342192434785	0.14291244203111775	0.19709415799628915	0.25305844139565525	0.04954580814664478	0.0	0.06622946308185404	0.1753456011217937	0.09603877433968032	0.10753517537629995	0.214187478779959	0.21508176897754788	0.19368449577107735	0.20684574806056938	0.19908826875455257	0.20065049027487614	0.20133022276806495	0.20200157369365174	0.183886411710345	0.2197186970427225	0.21745495538415127	0.260212632042957	0.2707497623879278	0.2936639324804203	0.27654532478097515	0.20418583574030594	0.24854146678458755	0.23486147843816832	0.1896674051836189	0.19724266739153618	0.19341318548300884	0.25816129434008755	0.24714152733245157	0.24725078016515029	0.2413042313614853	0.24253676365519752	0.23022847134251465	0.22331198128391097	0.184036978436878	0.15476398107991096	0.19679865073389424	0.19976993017579828	0.19447830917855544	0.20080976130555056	0.18410211586830103	0.18627298992391936	0.18086237521883752	0.1906693242536527	0.19781547617870432	0.19010031395420993	0.18515822992753733	0.21853111815854878	0.24836373911585866	0.20098166716327928	0.17152845965732608	0.1396876612845869	0.25400998718394596	0.27148780736548817	0.284185311352835	0.2149515097850345
CM126	0.1846685720048522	0.18040883408231922	0.19086822760264507	0.19490861108801225	0.1131327610690735	0.17395104129471026	0.23835514617836498	0.056465177925331005	0.06622946308185404	0.0	0.15555423018154105	0.08199861708105648	0.09749561660272943	0.19455078201226264	0.19954413541865387	0.17066755557977797	0.19013527483852463	0.17915751460218818	0.182903001577722	0.18258567890922597	0.18332229203875555	0.16466296636576047	0.19851754732978172	0.19498213801651265	0.24255797357156092	0.2586101779674904	0.27778771140421943	0.26456182106405074	0.18496573660287885	0.23493514459243814	0.2198701328689162	0.17279442247887095	0.18253873404167853	0.17090670633640515	0.24190885724480155	0.2310260166860377	0.2317585550396148	0.2232732548044645	0.22758122644095594	0.21469592207105412	0.21335356935864588	0.16446797072123487	0.14158929309001025	0.17804305283015218	0.1910417367064094	0.18740317773885193	0.1815190299460773	0.16979237933198355	0.17116928236085588	0.16794904724246845	0.18276443479035448	0.1925822257209824	0.18716543547268522	0.1801166272823848	0.2075556843758313	0.23522664635288998	0.18673817271891346	0.1677145477786888	0.12259645657041504	0.2455006581370573	0.26166822865812883	0.27080846791658647	0.19815674559387372
