	CM009	CM021	CM025	CM039	CM086	CM110	CM118	CM176	CM179	CM181	CM182	CM183	CM184	CM198	CM199	CM213	CM219	CM222	CM229	CM230	CM246	CM253	CM257	CM259	CM260	CM261	CM262	CM271	CM293	CM362	CM372	CM383	CM436	CM437	CM438	CM439	CM441	CM443	CM444	CM452	CM469	CM471	CM535	CM538	CM540	CM557
CM009	0.0	0.2329119616268612	0.2456280603577496	0.379434395922854	0.3394623763365644	0.4836114719696213	0.5121415009493354	0.29941540921355053	0.31008294194064157	0.2839262516238633	0.32499750174877584	0.31005795942840014	0.30088937743579497	0.36784251024283005	0.3710652543219746	0.35392725092435295	0.33466573398620963	0.3463575497151994	0.35917357849505344	0.3814329969021685	0.305586089737184	0.34330968322174477	0.2701359048665934	0.28677425801938644	0.2687119016688318	0.3418606975117418	0.32337363845308287	0.3292195463175777	0.3458828819826122	0.6764514839612271	0.2804786649345458	0.42710102927950433	0.29839112621165187	0.2842510242830019	0.2674627760567603	0.28517537723593483	0.2609673228739882	0.2658888777855501	0.2793544518836814	0.2626661337064055	0.2981912661137204	0.3208504047166983	0.32579694214050164	0.3763365644049166	0.3788098331168182	0.30663535525132407
CM021	0.2329119616268612	0.0	0.15339262516238633	0.3973218746877186	0.28002897971420004	0.4814629759168582	0.5092435295293295	0.25914359948036375	0.2482262416308584	0.24625262316378535	0.2660887378834816	0.23521035275307284	0.23268711901668832	0.30331268112321375	0.3040121914659738	0.3476816228639952	0.30491156190666535	0.2812281403017887	0.3296192665134406	0.3255221345058459	0.2840761466973119	0.2843259718197262	0.2639152593184771	0.2794044169081643	0.25729489357449786	0.2639402418307185	0.27091036274607777	0.2812531228140302	0.26411511941640853	0.6582142500249825	0.2254172079544319	0.40249325472169484	0.3527780553612471	0.3280953332667133	0.29269511342060556	0.3277455780953333	0.21957130008993705	0.26583891276106725	0.229539322474268	0.22176976116718297	0.27503247726591384	0.33766363545518135	0.3085590086939143	0.3867542720095933	0.40566603377635657	0.2540971320075947
CM025	0.2456280603577496	0.15339262516238633	0.0	0.410387728589987	0.318976716298591	0.5063455581093235	0.5154891575896872	0.2566703307684621	0.27133506545418207	0.261591885680024	0.26424003197761564	0.24115619066653343	0.2504996502448286	0.3315679024682722	0.3335914859598281	0.3421105226341561	0.3040121914659738	0.2934445887878485	0.3198011392025582	0.3242230438692915	0.29556810232837016	0.29286999100629557	0.26491455980813433	0.2765064454881583	0.2571949635255321	0.2776306585390227	0.267737583691416	0.26473968222244426	0.2799540321774758	0.6317327870490657	0.24542820025981812	0.429399420405716	0.33688917757569703	0.3079594284001199	0.2860247826521435	0.32040071949635257	0.21827220945338263	0.2567702608174278	0.22514240031977617	0.21372539222544218	0.24930048965723994	0.3197761566903168	0.28552513240731486	0.3669681223143799	0.3791845708004397	0.2690866393524533
CM039	0.379434395922854	0.3973218746877186	0.410387728589987	0.0	0.3841810732487259	0.47764065154391927	0.5068202258419107	0.4734685719996003	0.4534575796942141	0.43886779254521835	0.4465624063155791	0.43746877185969824	0.436644348955731	0.44211551913660435	0.4297991406015789	0.329294493854302	0.39937044069151595	0.3835065454182073	0.41073748376136704	0.3630708504047167	0.39499850104926554	0.4356950134905566	0.4494104127111022	0.4854102128510043	0.46714799640251825	0.4284251024283002	0.44161586889177573	0.4809633256720296	0.41011292095533125	0.7285400219846108	0.44041670830418705	0.439542320375737	0.457279904067153	0.4462875986809234	0.4161337064055161	0.45063455581093237	0.42855001498950734	0.4534076146697312	0.44458878784850603	0.4142850004996502	0.4109873088837814	0.3731388028380134	0.38390626561407015	0.31925152393324674	0.3491306085739982	0.35080443689417407
CM086	0.3394623763365644	0.28002897971420004	0.318976716298591	0.3841810732487259	0.0	0.3779104626761267	0.4147596682322374	0.2443539522334366	0.22381832717098032	0.2281652843009893	0.2654891575896872	0.22716598381133207	0.22916458479064655	0.27300889377435794	0.26396522434295994	0.27960427700609575	0.2450034975517138	0.26211651843709405	0.3079344458878785	0.2645897871489957	0.25194863595483163	0.30041470970320777	0.24010692515239332	0.25634555810932347	0.23221245128410112	0.2779554311981613	0.2992405316278605	0.35512641151194163	0.26758768861796745	0.658763865294294	0.23256220645548117	0.364419906065754	0.3392125512141501	0.32782052563205755	0.30563605476166683	0.30848406115718996	0.26836214649745177	0.2634655740981313	0.2959428400119916	0.2882232437293894	0.34500849405416206	0.3656690316778255	0.3706655341261117	0.3916008793844309	0.4119116618367143	0.17347856500449685
CM110	0.4836114719696213	0.4814629759168582	0.5063455581093235	0.47764065154391927	0.3779104626761267	0.0	0.1654591785749975	0.4745678025382232	0.46557409813130807	0.4135105426201659	0.42607674627760567	0.421804736684321	0.4256770260817428	0.46367542720095933	0.4270760467672629	0.40581592884980516	0.5039222544219046	0.49415409213550515	0.5593084840611572	0.4921804736684321	0.4245777955431198	0.5311032277405816	0.41171180173878286	0.45078445088438096	0.43242230438692913	0.5301039272509244	0.5224842610172878	0.5511142200459678	0.5105176376536424	0.7099780153892276	0.44029179574297994	0.39140101928649945	0.4520335764964525	0.4509843109823124	0.42527730588587986	0.4367692615169381	0.4287748575996802	0.4223793344658739	0.4434395922854002	0.43746877185969824	0.5120165883881284	0.532052563205756	0.5687268911761767	0.5886629359448387	0.6037024083141801	0.4270510642550215
CM118	0.5121415009493354	0.5092435295293295	0.5154891575896872	0.5068202258419107	0.4147596682322374	0.1654591785749975	0.0	0.49255521135205355	0.4870090936344559	0.43821824722694114	0.44766163685420207	0.4434895573098831	0.4567302887978415	0.4844358948735885	0.44996002798041373	0.44686219646247627	0.5263065853902268	0.5173128809833116	0.5839662236434496	0.5129659238533026	0.4512841011292096	0.552862995902868	0.4373938243229739	0.4602028579994004	0.45450684520835416	0.5534126111721794	0.548516038772859	0.5619816128709904	0.5375237333866294	0.711801738782852	0.4672729089637254	0.40746477465773956	0.4814629759168582	0.47024582792045566	0.47659138602977913	0.46804736684320974	0.4510092934945538	0.4292495253322674	0.46464974517837515	0.4468122314379934	0.5359998001399021	0.5560857399820126	0.593209753172779	0.6108474068152293	0.629609273508544	0.46724792645148394
CM176	0.29941540921355053	0.25914359948036375	0.2566703307684621	0.4734685719996003	0.2443539522334366	0.4745678025382232	0.49255521135205355	0.0	0.10292795043469571	0.17422804037173978	0.1936644348955731	0.16333566503447586	0.17370340761466974	0.2447786549415409	0.24268012391326071	0.2951184171080244	0.2257419806135705	0.24642750074947536	0.2665384231038273	0.29396922154491856	0.22112021584890576	0.23498551014289998	0.19104127111022284	0.19306485460177875	0.17350354751673827	0.23655940841411013	0.2230688518037374	0.24900069951034276	0.2637653642450285	0.6416508444089137	0.23418606975117418	0.4273008893774358	0.2823023883281703	0.27942939942040573	0.27535724992505245	0.28942240431697813	0.22326871190166883	0.2414559808134306	0.24307984410912362	0.2445288298191266	0.30036474467872487	0.3127810532627161	0.31797741580893374	0.39529829119616267	0.39324972519236534	0.2865993804336964
CM179	0.31008294194064157	0.2482262416308584	0.27133506545418207	0.4534575796942141	0.22381832717098032	0.46557409813130807	0.4870090936344559	0.10292795043469571	0.0	0.19506345558109323	0.21642350354751674	0.1778754871589887	0.17522734086139702	0.2354851603877286	0.22878984710702507	0.30518636954132106	0.24520335764964524	0.24387928450084942	0.27188468072349353	0.2683121814729689	0.2329869091635855	0.22998900769461378	0.21052763065853902	0.21904666733286698	0.1930898371140202	0.2147746577395823	0.21794743679424403	0.2582192465274308	0.2331368042370341	0.6344059158588987	0.2211451983611472	0.4112621165184371	0.3093084840611572	0.2985909863095833	0.2947936444488858	0.30953332667133004	0.2486259618267213	0.26366543419606275	0.2539472369341461	0.27053562506245626	0.2932197461776756	0.32956930148895774	0.31630358748875786	0.37688617967422805	0.399720195862896	0.2679874088138303
CM181	0.2839262516238633	0.24625262316378535	0.261591885680024	0.43886779254521835	0.2281652843009893	0.4135105426201659	0.43821824722694114	0.17422804037173978	0.19506345558109323	0.0	0.12243929249525333	0.09688218247226942	0.13802838013390625	0.2544219046667333	0.23730888378135306	0.2628160287798541	0.20817927450784451	0.22166983111821725	0.26818726891176176	0.28335165384231037	0.1958379134605776	0.21677325871889677	0.13493054861596881	0.13665434196062756	0.12263915259318477	0.23318676926151694	0.20770460677525732	0.22951433996202658	0.2785799940041971	0.6411761766763265	0.22609173578495054	0.3860047966423504	0.24320475667033076	0.2408064354951534	0.23426101728789847	0.23558509043669432	0.16840711501948635	0.17103027880483662	0.2071300089937044	0.20917857499750175	0.2877735585090437	0.305935844908564	0.3053112821025282	0.38582991905666036	0.3759618267212951	0.27083541520935345
