	CM009	CM021	CM025	CM039	CM086	CM110	CM118	CM176	CM179	CM181	CM182	CM183	CM184	CM198	CM199	CM213	CM219	CM222	CM229	CM230	CM246	CM253	CM257	CM259	CM260	CM261	CM262	CM271	CM293	CM362	CM372	CM383	CM436	CM437	CM438	CM439	CM441	CM443	CM444	CM452	CM469	CM471	CM535	CM538	CM540	CM557
CM009	0.0	0.45143884892086333	0.5018315018315018	0.566420664206642	0.5447761194029851	0.660436137071651	0.6655844155844156	0.5186335403726708	0.5275482093663911	0.5902527075812274	0.6119929453262787	0.6032315978456014	0.5594855305466238	0.6	0.5909797822706065	0.6323529411764706	0.6353166986564299	0.6070110701107011	0.6414728682170543	0.6175373134328358	0.540133779264214	0.6237816764132553	0.5807017543859649	0.5545774647887324	0.5577235772357724	0.5752688172043011	0.5907534246575342	0.6071428571428571	0.5468483816013628	0.8116760828625236	0.5476190476190477	0.5869191049913941	0.6143410852713178	0.5583173996175909	0.5337078651685393	0.6142857142857143	0.5784671532846716	0.5845588235294118	0.5333333333333333	0.5462328767123288	0.5490196078431373	0.6206896551724138	0.6179337231968811	0.60431654676259	0.6867704280155642	0.5401785714285714
CM021	0.45143884892086333	0.0	0.4321503131524008	0.5771543086172345	0.5425361155698234	0.6467576791808873	0.6493738819320215	0.5363036303630363	0.5520231213872833	0.5398773006134969	0.5425101214574899	0.5548780487804879	0.5222816399286988	0.5945454545454546	0.5946398659966499	0.6239837398373984	0.6	0.5814432989690722	0.6157205240174672	0.5840336134453782	0.5607142857142857	0.5894039735099338	0.547945205479452	0.5359223300970873	0.5383244206773619	0.5469061876247505	0.5654648956356736	0.5690021231422505	0.5028571428571429	0.7974413646055437	0.49377593360995853	0.5665399239543726	0.6153846153846154	0.559748427672956	0.5535353535353535	0.6339285714285714	0.5289256198347108	0.5505154639175258	0.498046875	0.5047801147227533	0.5295275590551181	0.6165254237288136	0.6043478260869565	0.6098039215686275	0.6753812636165577	0.5281803542673108
CM025	0.5018315018315018	0.4321503131524008	0.0	0.5404814004376368	0.5535117056856187	0.6288848263254113	0.638623326959847	0.5397923875432526	0.575037147102526	0.5381263616557734	0.5282608695652173	0.5318681318681319	0.5363128491620112	0.5907335907335908	0.5911504424778761	0.6096491228070176	0.5791962174940898	0.579295154185022	0.6223776223776224	0.5788288288288288	0.5922509225092251	0.580952380952381	0.5407098121085595	0.5094339622641509	0.536723163841808	0.569937369519833	0.5625	0.5494252873563218	0.5169660678642715	0.7535885167464115	0.4922737306843267	0.5665322580645161	0.566350710900474	0.5229357798165137	0.561965811965812	0.5950617283950618	0.5199115044247787	0.5135135135135135	0.49064449064449067	0.4887525562372188	0.5084745762711864	0.5747663551401869	0.580568720379147	0.5859872611464968	0.6286407766990292	0.5212224108658744
CM039	0.566420664206642	0.5771543086172345	0.5404814004376368	0.0	0.6334991708126037	0.6597353497164461	0.655310621242485	0.6273504273504273	0.6578947368421053	0.5906040268456376	0.632258064516129	0.5910112359550562	0.6152416356877324	0.6437007874015748	0.6469534050179212	0.5571776155717761	0.5641025641025641	0.5375302663438256	0.5714285714285714	0.5574572127139364	0.5646123260437376	0.6430317848410758	0.594017094017094	0.6099585062240664	0.6191369606003753	0.6268656716417911	0.6369168356997972	0.6498855835240275	0.6153846153846154	0.7969924812030075	0.6133909287257019	0.5953878406708596	0.5757575757575758	0.5434782608695652	0.543778801843318	0.6356589147286822	0.5887640449438202	0.5963718820861678	0.5609243697478992	0.569672131147541	0.5741935483870968	0.5026315789473684	0.5618556701030928	0.5294117647058824	0.5322128851540616	0.6212624584717608
CM086	0.5447761194029851	0.5425361155698234	0.5535117056856187	0.6334991708126037	0.0	0.49834437086092714	0.5612582781456954	0.4111111111111111	0.41251778093883357	0.5081081081081081	0.5368421052631579	0.5161870503597122	0.43094841930116473	0.5387149917627677	0.5338461538461539	0.5747747747747748	0.6014760147601476	0.5523465703971119	0.6325411334552102	0.572463768115942	0.501628664495114	0.6003717472118959	0.4956063268892794	0.4825174825174825	0.44073455759599334	0.5507745266781411	0.5353535353535354	0.585278276481149	0.5049833887043189	0.8084358523725835	0.48375451263537905	0.5436241610738255	0.6245487364620939	0.5897887323943662	0.561525129982669	0.6429906542056075	0.5559440559440559	0.5462633451957295	0.5008488964346349	0.48903878583473864	0.5357142857142857	0.6229802513464991	0.6427289048473968	0.6074450084602369	0.6824817518248175	0.4633781763826607
CM110	0.660436137071651	0.6467576791808873	0.6288848263254113	0.6597353497164461	0.49834437086092714	0.0	0.47368421052631576	0.5663430420711975	0.5861581920903954	0.5083682008368201	0.5504032258064516	0.5300207039337475	0.5161290322580645	0.5834862385321101	0.5939597315436241	0.5708245243128964	0.6082251082251082	0.6008146639511202	0.6645569620253164	0.6066252587991718	0.5650623885918004	0.6220302375809935	0.5413385826771654	0.5350194552529183	0.5081967213114754	0.6125954198473282	0.6146788990825688	0.6376518218623481	0.6395147313691508	0.8197064989517819	0.6111111111111112	0.5765595463137996	0.6263269639065817	0.6	0.5841584158415841	0.6422222222222222	0.5665322580645161	0.570264765784114	0.5482041587901701	0.5616942909760589	0.6133828996282528	0.6556701030927835	0.6837782340862423	0.6815642458100558	0.7112526539278131	0.58887171561051
CM118	0.6655844155844156	0.6493738819320215	0.638623326959847	0.655310621242485	0.5612582781456954	0.47368421052631576	0.0	0.5819397993311036	0.6163793103448276	0.5197368421052632	0.5448717948717948	0.5454545454545454	0.5424354243542435	0.6150943396226415	0.6254295532646048	0.579064587973274	0.6091954022988506	0.6072961373390557	0.6538461538461539	0.5888888888888889	0.5796296296296296	0.6486486486486487	0.5682281059063137	0.5467479674796748	0.5483271375464684	0.6164658634538153	0.6211538461538462	0.6314655172413793	0.6343692870201096	0.8041002277904328	0.6287425149700598	0.603515625	0.6221719457013575	0.5851528384279476	0.5866388308977035	0.6421800947867299	0.5949895615866388	0.559652928416486	0.5686274509803921	0.562862669245648	0.6198830409356725	0.6445916114790287	0.6418918918918919	0.6546184738955824	0.7038724373576309	0.6242138364779874
CM176	0.5186335403726708	0.5363036303630363	0.5397923875432526	0.6273504273504273	0.4111111111111111	0.5663430420711975	0.5819397993311036	0.0	0.33586626139817627	0.480225988700565	0.510989010989011	0.4685714285714286	0.40484429065743943	0.486013986013986	0.4919093851132686	0.5580524344569289	0.5717054263565892	0.5236294896030246	0.5938104448742747	0.539047619047619	0.46324786324786327	0.5675146771037182	0.45940959409594095	0.4543795620437956	0.4121739130434783	0.5045537340619308	0.48663101604278075	0.539047619047619	0.45789473684210524	0.7878228782287823	0.48613678373382624	0.5546075085324232	0.5804597701149425	0.5365853658536586	0.5237226277372263	0.623046875	0.5229357798165137	0.5286506469500925	0.44964028776978415	0.4649122807017544	0.5079928952042628	0.5871212121212122	0.615819209039548	0.5880281690140845	0.6596558317399618	0.46259541984732827
CM179	0.5275482093663911	0.5520231213872833	0.575037147102526	0.6578947368421053	0.41251778093883357	0.5861581920903954	0.6163793103448276	0.33586626139817627	0.0	0.5365079365079365	0.55	0.5272435897435898	0.40950920245398775	0.524812030075188	0.49784791965566716	0.6041009463722398	0.6302250803858521	0.5822784810126582	0.6397415185783522	0.5774193548387097	0.4774774774774775	0.625	0.5109717868338558	0.4802527646129542	0.4329268292682927	0.5329153605015674	0.5259938837920489	0.5774193548387097	0.4754601226993865	0.8213740458015267	0.5291338582677165	0.5769230769230769	0.6369426751592356	0.5860979462875198	0.5585023400936038	0.6752827140549273	0.5780525502318392	0.5743348982785602	0.5038284839203675	0.5045317220543807	0.5397553516819572	0.6462264150943396	0.6614173228346457	0.6168929110105581	0.7068145800316957	0.47554347826086957
CM181	0.5902527075812274	0.5398773006134969	0.5381263616557734	0.5906040268456376	0.5081081081081081	0.5083682008368201	0.5197368421052632	0.480225988700565	0.5365079365079365	0.0	0.3879093198992443	0.3903061224489796	0.40638297872340423	0.5223880597014925	0.5059055118110236	0.4770408163265306	0.4715447154471545	0.47619047619047616	0.5226666666666666	0.46511627906976744	0.47478991596638653	0.4642857142857143	0.4200477326968974	0.35609756097560974	0.3947939262472885	0.45714285714285713	0.48089887640449436	0.45714285714285713	0.5168067226890757	0.7362924281984334	0.44711538461538464	0.481981981981982	0.4973544973544973	0.47103274559193953	0.463768115942029	0.5014084507042254	0.4585365853658537	0.4463840399002494	0.4013921113689095	0.45374449339207046	0.4875283446712018	0.5566750629722922	0.5626598465473146	0.5801354401805869	0.6178010471204188	0.5291005291005291
