	CM009	CM021	CM025	CM039	CM086	CM110	CM118	CM176	CM179	CM181	CM182	CM183	CM184	CM198	CM199	CM213	CM219	CM222	CM229	CM230	CM246	CM253	CM257	CM259	CM260	CM261	CM262	CM271	CM293	CM362	CM372	CM383	CM436	CM437	CM438	CM439	CM441	CM443	CM444	CM452	CM469	CM471	CM535	CM538	CM540	CM557
CM009	0.0	0.3391761005276864	0.38005613453233333	0.44620418910440757	0.4325230709816018	0.5379312281892076	0.5238545090210122	0.40569480085285875	0.4099208503238686	0.43122482417293384	0.4439342610216781	0.4108300338210435	0.3943501575023302	0.43820917782628716	0.4282070605304873	0.4442170675654856	0.4824278442707044	0.44488597320091106	0.5053413463742001	0.43389729378481534	0.3946933440971965	0.516955334445458	0.40976712868294407	0.40620237401406156	0.4011953191352321	0.4614299925878213	0.46854790089893505	0.49968745683705645	0.44773214596513844	0.685375320572801	0.425701068577293	0.495307583779741	0.4660163201172062	0.3949042080097642	0.3971698996941034	0.4530814251026889	0.452995114064519	0.40006629721466386	0.4057939630244009	0.42606824907523233	0.422534985562783	0.4565086695204485	0.4836909502541905	0.5050288425264055	0.558936220102307	0.44222457718248137
CM021	0.3391761005276864	0.0	0.33667425044025334	0.4484053490178273	0.42965874530396875	0.5443664112386857	0.5344078509895405	0.39916325572439393	0.41394323722744253	0.406200848651833	0.43630826264748235	0.3984452760459071	0.38464504238581443	0.4441191771702434	0.4283598977904055	0.42377597167334413	0.4525687307478965	0.40884025513992933	0.49324065453130456	0.4118520303052601	0.4066063018358337	0.48817122201003	0.38378226781765473	0.3984707363476148	0.3795752469771387	0.4109073427463233	0.4388607656707947	0.4815074031407145	0.40188204664063387	0.669292576389057	0.4083085671704555	0.46308229422627784	0.46644338970321997	0.423746823938305	0.4295806416761851	0.48389637085144854	0.41716705092808526	0.37584048211792914	0.3594858835136705	0.3862178958295054	0.40925306988423077	0.46102431581463077	0.46509970853788113	0.48669544343100674	0.5535682115266792	0.44498425758469634
CM025	0.38005613453233333	0.33667425044025334	0.0	0.43785488836898834	0.41267130004772196	0.5249316746036017	0.5144739521196118	0.4191145553321739	0.40444137635541755	0.3979777261358812	0.43422833896394974	0.39764989069377177	0.374148914114167	0.4515059229102791	0.4395265106082107	0.4448286197854172	0.4448994184081986	0.43682588007297496	0.48940428688318466	0.42700435599443637	0.4281931211201473	0.5019466845959769	0.38402465491585097	0.37472998523853474	0.37511473783898797	0.46383970224743737	0.4366725615279641	0.4779342474885177	0.40405967419111766	0.6598089009208491	0.4139309175951455	0.4689226578403571	0.4613177875874537	0.39762406369226583	0.43204970696432354	0.4751667365248044	0.4109369102777478	0.3627967381963843	0.38850534960183564	0.3894664470165331	0.39676504187886985	0.4207212307430241	0.45845970348500253	0.4916459348611312	0.5362832681830283	0.4394600382356316
CM039	0.44620418910440757	0.4484053490178273	0.43785488836898834	0.0	0.4913347968038226	0.5006885767492758	0.5076110502980729	0.4708573757980507	0.5234069375129509	0.4752755866337985	0.49175198358668315	0.4195568434759643	0.47594419706961594	0.48370865042004957	0.49578709270937515	0.44225813012371773	0.4579849583528141	0.4598593805942295	0.4880370511730651	0.43154885840354046	0.44514786615471746	0.5236939769401411	0.4260895629126791	0.44247942539001867	0.46636355727440465	0.48072326236297147	0.4810028816826628	0.5420831047670194	0.48882514491447965	0.6793987970436095	0.48952647012767003	0.413647356051814	0.3717666817127829	0.4307193603366832	0.3816281099987083	0.4891417132623884	0.4220100717178546	0.46942225482732886	0.4071881335645675	0.38757050245074365	0.46324861612520346	0.43000839151402875	0.5078384639437676	0.479282516713724	0.5183758931273368	0.4332365827658659
CM086	0.4325230709816018	0.42965874530396875	0.41267130004772196	0.4913347968038226	0.0	0.398523396737184	0.4304550549737655	0.34909447844088004	0.36171169660435737	0.3985424639822816	0.44200170394110083	0.42184569706726993	0.3455843813875239	0.4456152924815077	0.405247551082418	0.4258452618249035	0.49237306787919777	0.44814060281991336	0.5431023971189956	0.4486927151804612	0.3846439666824166	0.5296999572733504	0.40306741407020463	0.381178765784596	0.34015902087307376	0.46329513156285845	0.4372332159800433	0.5041169416101141	0.45074671973531727	0.7070122591401066	0.4297119808115798	0.4525705082894294	0.511862133246859	0.44960146662780426	0.4410371978279427	0.5213156091626482	0.47816027753772405	0.4241117538999618	0.4004290999075556	0.4126669197271306	0.45555631776689137	0.48689280346770786	0.5316752996807016	0.5275674261185417	0.5924283175975601	0.4118784242665947
CM110	0.5379312281892076	0.5443664112386857	0.5249316746036017	0.5006885767492758	0.398523396737184	0.0	0.37581079503826303	0.4996698602353886	0.5011928284546172	0.47325758880088115	0.48380213680192846	0.4923750586011975	0.45924019101563	0.5407713659144577	0.5219813298207833	0.5009864788303974	0.5799118969375143	0.5428464601604834	0.6249006082955293	0.56605061154059	0.4870777731190461	0.6282575084828756	0.516586297480027	0.5094828783818398	0.4440103616800158	0.5652480224113527	0.5361104845671109	0.614280484793245	0.5362572443668918	0.7521166757469591	0.5670849101019335	0.47247225545769717	0.516802629971579	0.5233237899538343	0.47678897212119853	0.5997899968664265	0.44826947814906265	0.5056232958442686	0.5087389426535304	0.45918586697519703	0.5552262088137699	0.5822418979255951	0.5933459245254765	0.6132908139952313	0.6668077883630087	0.44949715853188643
CM118	0.5238545090210122	0.5344078509895405	0.5144739521196118	0.5076110502980729	0.4304550549737655	0.37581079503826303	0.0	0.4683181267100992	0.4917007181518841	0.45352207295639896	0.5019251993702792	0.4927037133306148	0.45069092671116584	0.5472651222008273	0.5143395358336614	0.5040181348006855	0.5510846046420327	0.5196847407354015	0.5788070264032731	0.543329794088216	0.47981538273045965	0.6121631160200127	0.5089765236307519	0.5079118599988722	0.4531427602793016	0.5326792919436051	0.5268772743783755	0.5723126283896904	0.5355568798728475	0.7219349457848605	0.5519804956556378	0.501975406916988	0.5074069411959989	0.5033615955841777	0.4597449416458079	0.583164574027892	0.49548411925795177	0.472057503136162	0.49541088000319483	0.45320511004804387	0.5216109716399854	0.5660103492033274	0.5357890001451246	0.5686349770846755	0.6344908863402563	0.49468957382901035
CM176	0.40569480085285875	0.39916325572439393	0.4191145553321739	0.4708573757980507	0.34909447844088004	0.4996698602353886	0.4683181267100992	0.0	0.2910533672794983	0.33174538393860115	0.40738257738339556	0.35635340516104536	0.3000893189363401	0.39441154071967216	0.3669711697672137	0.3979226651348708	0.41907870707183553	0.36439108219652894	0.45731316926370286	0.3864451637898734	0.2782247445190614	0.48564049739620024	0.35104069301147744	0.34277301452924347	0.2952537916648643	0.3836399760809366	0.3496398341977015	0.4190802001615846	0.39312379293416766	0.6721772920618324	0.4117790407324607	0.4578456072450367	0.4262602122264048	0.3660029456032152	0.3770755425025059	0.47990891145553993	0.43393448172799254	0.3936441542493789	0.3266106503907808	0.35760665791855967	0.42858486301633736	0.4296896885325992	0.46863313550269403	0.4567632693766668	0.5419585031471534	0.4027609473275971
CM179	0.4099208503238686	0.41394323722744253	0.40444137635541755	0.5234069375129509	0.36171169660435737	0.5011928284546172	0.4917007181518841	0.2910533672794983	0.0	0.3910037766230234	0.41816197107394254	0.40433495377954637	0.31679948220553295	0.42183889503223754	0.3722850129180138	0.449361564992839	0.5083235222108248	0.43998362123142226	0.5278201383483756	0.4502118927616897	0.3461972141427523	0.5516811654169145	0.42753397643052266	0.3791424305709812	0.30954793051855617	0.4470889912135499	0.41475440591605545	0.4833448227656127	0.4068553759787123	0.7174092286922893	0.45203190077821587	0.4934606118997495	0.5072671296036569	0.4421002513346133	0.43690443383148386	0.545297632848113	0.467140673188402	0.4222244608492765	0.3934270803753502	0.40070248913745315	0.44579095479690656	0.5165745044325882	0.5229432818223496	0.5210075594567488	0.6068773352778762	0.416343690993754
CM181	0.43122482417293384	0.406200848651833	0.3979777261358812	0.4752755866337985	0.3985424639822816	0.47325758880088115	0.45352207295639896	0.33174538393860115	0.3910037766230234	0.0	0.34607025281674364	0.30836074743075276	0.2865766207213025	0.39698381791419435	0.40262558976061374	0.3529017878770837	0.36969313182235125	0.3643743422475594	0.42245215661309	0.3705870385810308	0.32341986690522695	0.4243697125346116	0.3512796990234669	0.2861017278324024	0.2738266045159282	0.3696860438133546	0.34846623005191285	0.38755265232770975	0.41692016239223967	0.6338095636265684	0.39002810069686694	0.41951676279460126	0.4077874507573653	0.35647962949510864	0.36734800409415475	0.39198836227461886	0.40096800286045653	0.3396297758194927	0.3092195392274015	0.37107608537895487	0.36667393062518944	0.4183642729002724	0.41256215985648664	0.46272134371100854	0.5175811503437069	0.4563648505648567
CM182	0.4439342610216781	0.43630826264748235	0.43422833896394974	0.49175198358668315	0.44200170394110083	0.48380213680192846	0.5019251993702792	0.40738257738339556	0.41816197107394254	0.34607025281674364	0.0	0.32144225789581854	0.3284525615370047	0.415091406766695	0.4079756712119515	0.42952438931195536	0.44557440603739273	0.403073907018407	0.4587771254670759	0.40436123557778325	0.41751490611669845	0.44784627196773286	0.39850180273214875	0.33184767493613887	0.3517321561493315	0.39147565843024434	0.4129219687057026	0.43327179047798237	0.4342016779659907	0.6362308486840845	0.4268547348516869	0.5014601972115388	0.4526676299035177	0.4097372299050233	0.3971499576858469	0.44626884812947665	0.4337212903439227	0.39553227340345815	0.3723005542926458	0.39001274759311433	0.4001730681728675	0.45354764299387523	0.45575230680595985	0.48200094610039895	0.5221327728572852	0.4655677903449233
CM183	0.4108300338210435	0.3984452760459071	0.39764989069377177	0.4195568434759643	0.42184569706726993	0.4923750586011975	0.4927037133306148	0.35635340516104536	0.40433495377954637	0.30836074743075276	0.32144225789581854	0.0	0.3065615762512954	0.37433977916948313	0.3965490812848048	0.4026321022007068	0.35447480827605216	0.37634526429333204	0.4331021853717797	0.3618049648161554	0.3776586983449182	0.4047809401825748	0.3439996657491804	0.28516370068153857	0.30943042796952475	0.3607226726235222	0.3803402837339686	0.3973289836022166	0.4027237477085615	0.6254702672325992	0.38111363730741615	0.4551917269044347	0.4001312962465383	0.3747924385851276	0.3979126414879202	0.3858363606645651	0.3936605984578376	0.3394831669221316	0.33317556393618275	0.3828108416004543	0.3747967136923705	0.40945602139682974	0.4102345837220602	0.4446006047010428	0.48334503993770783	0.4552505997142212
CM184	0.3943501575023302	0.38464504238581443	0.374148914114167	0.47594419706961594	0.3455843813875239	0.45924019101563	0.45069092671116584	0.3000893189363401	0.31679948220553295	0.2865766207213025	0.3284525615370047	0.3065615762512954	0.0	0.37465691618044306	0.3402434427393105	0.3817397701628449	0.402356031923172	0.35909967534670656	0.4582434958778992	0.3857768822959053	0.3154645225453926	0.46171117417251295	0.31801212342257706	0.2599855426717985	0.2308100131093565	0.3648482793224489	0.3381411109434374	0.42330920588069476	0.4004806270740508	0.6475241619800947	0.4062018656015578	0.4652332626723234	0.4343021455590753	0.3452989914180348	0.34499030844381423	0.44224372919379024	0.3837377270606055	0.33104008530068674	0.3044960548057993	0.33153727150910606	0.3521759996943123	0.40833710678142554	0.44767811706153726	0.4567430390100505	0.5385949664594235	0.4171595807078536
CM198	0.43820917782628716	0.4441191771702434	0.4515059229102791	0.48370865042004957	0.4456152924815077	0.5407713659144577	0.5472651222008273	0.39441154071967216	0.42183889503223754	0.39698381791419435	0.415091406766695	0.37433977916948313	0.37465691618044306	0.0	0.32991679052909645	0.4145377919694323	0.4226875058059061	0.40257554555727065	0.4728898676074106	0.37604209611100564	0.41004292571378465	0.44971096882292333	0.38148482132350164	0.355008741713609	0.3629643365706678	0.391612674846707	0.3996340845016729	0.4404152381903964	0.45988018489688853	0.638870032280723	0.43846884795572166	0.4783498813434987	0.4305293913909443	0.4117999240341616	0.4287105908190132	0.44793588031862314	0.4592250458743958	0.41340475441377383	0.3665899957954238	0.40667812044078117	0.4013262484432756	0.4450796277557703	0.46737906134676427	0.4696995505242764	0.5170684048306118	0.48341262841116894
CM199	0.4282070605304873	0.4283598977904055	0.4395265106082107	0.49578709270937515	0.405247551082418	0.5219813298207833	0.5143395358336614	0.3669711697672137	0.3722850129180138	0.40262558976061374	0.4079756712119515	0.3965490812848048	0.3402434427393105	0.32991679052909645	0.0	0.4290619843908167	0.4580726238387844	0.41762590496579444	0.5127710900248675	0.4132452984950237	0.36442559745942604	0.49849570428135004	0.4056114614829487	0.356796352797035	0.3418566228989923	0.4196112187964991	0.4079840867351475	0.47211863494091183	0.46033024302115844	0.6866373415247838	0.43739974010031235	0.48681888214800506	0.47551309309642953	0.4290511392019994	0.42117149326661063	0.49424405816984246	0.4608776112046661	0.41455966347784456	0.3830991726269553	0.4105123315803901	0.445870267452761	0.4735117453977421	0.5018825213290721	0.5035648543067242	0.5704582703153804	0.45308857490680865
CM213	0.4442170675654856	0.42377597167334413	0.4448286197854172	0.44225813012371773	0.4258452618249035	0.5009864788303974	0.5040181348006855	0.3979226651348708	0.449361564992839	0.3529017878770837	0.42952438931195536	0.4026321022007068	0.3817397701628449	0.4145377919694323	0.4290619843908167	0.0	0.4073557151780373	0.3548225059337813	0.4168681549790617	0.3792721943910841	0.3261176312134718	0.45528348223231385	0.35534324710774257	0.3797797646960225	0.35505723997165434	0.44189736234973703	0.4056809762396641	0.47010667194221245	0.4706131257915141	0.6404271749495191	0.4294341921099693	0.44738403295297	0.401064574962294	0.3828912318356537	0.3611758312366419	0.382822890976327	0.44530449739703304	0.3404749518108864	0.35102864286951296	0.3675192374647419	0.4317346163024145	0.3768362011909965	0.44709828810785135	0.4339047520150755	0.4738481990902414	0.44973440651852803
CM219	0.4824278442707044	0.4525687307478965	0.4448994184081986	0.4579849583528141	0.49237306787919777	0.5799118969375143	0.5510846046420327	0.41907870707183553	0.5083235222108248	0.36969313182235125	0.44557440603739273	0.35447480827605216	0.402356031923172	0.4226875058059061	0.4580726238387844	0.4073557151780373	0.0	0.2994738830961048	0.36797644577961397	0.30962376578961226	0.4026082666660486	0.35877584725251865	0.34797512129436187	0.3633829416923728	0.4150760168053805	0.3656355383593678	0.38912549379814954	0.38198733296058424	0.46830333726249573	0.5714727662919907	0.44802349267893515	0.48560301624464847	0.4034060835429716	0.38082213150542593	0.4427032973651008	0.3665965510542191	0.4758372718509158	0.42882864300053186	0.38008817600109446	0.4534754802872621	0.4098772837522114	0.32743545058415996	0.3632462929100029	0.41351879156808913	0.3988853932990611	0.5522843410042608
CM222	0.44488597320091106	0.40884025513992933	0.43682588007297496	0.4598593805942295	0.44814060281991336	0.5428464601604834	0.5196847407354015	0.36439108219652894	0.43998362123142226	0.3643743422475594	0.403073907018407	0.37634526429333204	0.35909967534670656	0.40257554555727065	0.41762590496579444	0.3548225059337813	0.2994738830961048	0.0	0.33415459493726846	0.2803424294914899	0.3541623878125535	0.3684611781703094	0.33364364716033473	0.342235730534495	0.3648525241942411	0.34696766972575366	0.35840835803873483	0.3563425635971473	0.390539583344986	0.5865583764140121	0.4273057101427614	0.47617284777350527	0.3543255050748132	0.3305116065692669	0.3562802586258389	0.3687967843577969	0.43056460060840734	0.359184815697008	0.332605692905243	0.38310202596031234	0.37197845628976733	0.31292484566401324	0.32411846591642834	0.3779972499787075	0.40586653963823194	0.4955157810870307
CM229	0.5053413463742001	0.49324065453130456	0.48940428688318466	0.4880370511730651	0.5431023971189956	0.6249006082955293	0.5788070264032731	0.45731316926370286	0.5278201383483756	0.42245215661309	0.4587771254670759	0.4331021853717797	0.4582434958778992	0.4728898676074106	0.5127710900248675	0.4168681549790617	0.36797644577961397	0.33415459493726846	0.0	0.3255959877336591	0.44542707232409584	0.2877722373477259	0.42021150131639934	0.4118020788833982	0.45954846428347174	0.3756632996286264	0.4158380146121747	0.2973131879820927	0.45630210990509007	0.5292354844507626	0.3907628339184323	0.5066956992391958	0.4109077496539846	0.3750379987422006	0.4203426427632434	0.4087255640182476	0.5018227823747659	0.43508493541953186	0.41806848670199154	0.44892619674164835	0.3785366378901967	0.311098288319281	0.3434194750561926	0.3423274106785746	0.35910051322939185	0.5646320625010893
CM230	0.43389729378481534	0.4118520303052601	0.42700435599443637	0.43154885840354046	0.4486927151804612	0.56605061154059	0.543329794088216	0.3864451637898734	0.4502118927616897	0.3705870385810308	0.40436123557778325	0.3618049648161554	0.3857768822959053	0.37604209611100564	0.4132452984950237	0.3792721943910841	0.30962376578961226	0.2803424294914899	0.3255959877336591	0.0	0.35839189324885146	0.34808673922172256	0.3437085285230277	0.33458254576942176	0.3772662686366296	0.36060972601843067	0.3815882146697026	0.3869999511510942	0.4295666877639748	0.5846950037496812	0.41120739726933137	0.4662709801937305	0.3905307361057634	0.35221273381562523	0.3919479659074535	0.37576178068250277	0.45319255970927214	0.4021187804410752	0.35808123607452297	0.4050148732346525	0.39141059731495126	0.33209953585406815	0.37840011271687	0.4153664091152375	0.40908221286041857	0.5028155778004499
CM246	0.3946933440971965	0.4066063018358337	0.4281931211201473	0.44514786615471746	0.3846439666824166	0.4870777731190461	0.47981538273045965	0.2782247445190614	0.3461972141427523	0.32341986690522695	0.41751490611669845	0.3776586983449182	0.3154645225453926	0.41004292571378465	0.36442559745942604	0.3261176312134718	0.4026082666660486	0.3541623878125535	0.44542707232409584	0.35839189324885146	0.0	0.47289919517602125	0.3173924454149295	0.3349167060992231	0.27252484028998675	0.3996099766425502	0.3771022203485734	0.4614789654079408	0.4426419481583309	0.6748297995185483	0.4289440177675587	0.4479063984238395	0.4349364293407571	0.3700420147217515	0.3507763005748668	0.4334084414552942	0.42167665979730284	0.37232903439543613	0.33836172629839384	0.3708749599392658	0.4281971833933433	0.4152067178065155	0.46857261930650196	0.4619044408498931	0.5243741855203039	0.4045905934929151
CM253	0.516955334445458	0.48817122201003	0.5019466845959769	0.5236939769401411	0.5296999572733504	0.6282575084828756	0.6121631160200127	0.48564049739620024	0.5516811654169145	0.4243697125346116	0.44784627196773286	0.4047809401825748	0.46171117417251295	0.44971096882292333	0.49849570428135004	0.45528348223231385	0.35877584725251865	0.3684611781703094	0.2877722373477259	0.34808673922172256	0.47289919517602125	0.0	0.40529011355468275	0.40615013411256956	0.4558029678252374	0.35765176073171323	0.39064193008108045	0.285651733090377	0.44091376670898824	0.5222047618661787	0.37435290017763123	0.4819708097791218	0.4393358495315359	0.4165795003104457	0.4559344826894256	0.39238295912828475	0.48782100588840666	0.4551492553158644	0.4047279132994463	0.4821477957781476	0.3687083753174055	0.37531210414873023	0.3787776620580896	0.3813355419102344	0.37445869496409495	0.5662084793392421
CM257	0.40976712868294407	0.38378226781765473	0.38402465491585097	0.4260895629126791	0.40306741407020463	0.516586297480027	0.5089765236307519	0.35104069301147744	0.42753397643052266	0.3512796990234669	0.39850180273214875	0.3439996657491804	0.31801212342257706	0.38148482132350164	0.4056114614829487	0.35534324710774257	0.34797512129436187	0.33364364716033473	0.42021150131639934	0.3437085285230277	0.3173924454149295	0.40529011355468275	0.0	0.280124046311768	0.31489441629601594	0.37712416708025887	0.3840062181158985	0.4110991882726045	0.45167510758358215	0.6206353558487778	0.36429858889699074	0.46188664064451584	0.38037359144210303	0.32778410522312296	0.3646868175458444	0.3935171488893341	0.42169958675961094	0.3585773165261445	0.3002018418740954	0.3566356529242052	0.3956304335327586	0.40688815382598703	0.4412521841409305	0.4769263366625638	0.49285382528411775	0.4498450101793083
CM259	0.40620237401406156	0.3984707363476148	0.37472998523853474	0.44247942539001867	0.381178765784596	0.5094828783818398	0.5079118599988722	0.34277301452924347	0.3791424305709812	0.2861017278324024	0.33184767493613887	0.28516370068153857	0.2599855426717985	0.355008741713609	0.356796352797035	0.3797797646960225	0.3633829416923728	0.342235730534495	0.4118020788833982	0.33458254576942176	0.3349167060992231	0.40615013411256956	0.280124046311768	0.0	0.25451980273479036	0.3211161591504129	0.3188008789342445	0.3581502636873381	0.4112060657094287	0.6224737945358251	0.3549984938265751	0.44973182153491476	0.3762575780831959	0.32680398440320485	0.3467406841983537	0.375158310876337	0.3961350623430812	0.3392160028770184	0.2738141269560256	0.3293081252708159	0.3435028298385607	0.38100431441911287	0.4233414561801244	0.433320925216402	0.47552588215333885	0.4320546663674965
CM260	0.4011953191352321	0.3795752469771387	0.37511473783898797	0.46636355727440465	0.34015902087307376	0.4440103616800158	0.4531427602793016	0.2952537916648643	0.30954793051855617	0.2738266045159282	0.3517321561493315	0.30943042796952475	0.2308100131093565	0.3629643365706678	0.3418566228989923	0.35505723997165434	0.4150760168053805	0.3648525241942411	0.45954846428347174	0.3772662686366296	0.27252484028998675	0.4558029678252374	0.31489441629601594	0.25451980273479036	0.0	0.34832095433101873	0.3064638974848439	0.4123564404651061	0.3838187130885113	0.6664310590484707	0.4145450267653027	0.43656298464179083	0.4234673503321384	0.36413379362095566	0.3721908884092477	0.4373280194220351	0.37974888861375766	0.32442253688431266	0.3074193934421925	0.3367185911893408	0.37552648846649905	0.42640768788422767	0.445079009715183	0.4771035857851454	0.5350877086467125	0.4123921720038647
CM261	0.4614299925878213	0.4109073427463233	0.46383970224743737	0.48072326236297147	0.46329513156285845	0.5652480224113527	0.5326792919436051	0.3836399760809366	0.4470889912135499	0.3696860438133546	0.39147565843024434	0.3607226726235222	0.3648482793224489	0.391612674846707	0.4196112187964991	0.44189736234973703	0.3656355383593678	0.34696766972575366	0.3756632996286264	0.36060972601843067	0.3996099766425502	0.35765176073171323	0.37712416708025887	0.3211161591504129	0.34832095433101873	0.0	0.30412592298034025	0.33364445333171094	0.4044748893288511	0.5900493402954954	0.40496498411134907	0.43701015332833937	0.4285704054326094	0.39347176524125893	0.42007465438535013	0.4271111332028551	0.4478010291437819	0.4221637141172266	0.36310041928702214	0.39879602701882255	0.3837740571550889	0.3821532167654765	0.38070989049294374	0.38977088260584014	0.45746958803965193	0.5037645479437097
CM262	0.46854790089893505	0.4388607656707947	0.4366725615279641	0.4810028816826628	0.4372332159800433	0.5361104845671109	0.5268772743783755	0.3496398341977015	0.41475440591605545	0.34846623005191285	0.4129219687057026	0.3803402837339686	0.3381411109434374	0.3996340845016729	0.4079840867351475	0.4056809762396641	0.38912549379814954	0.35840835803873483	0.4158380146121747	0.3815882146697026	0.3771022203485734	0.39064193008108045	0.3840062181158985	0.3188008789342445	0.3064638974848439	0.30412592298034025	0.0	0.37698100281202784	0.4071257770488974	0.6248709554065661	0.4324600890226951	0.4577404327445504	0.4447730535619092	0.386702852679453	0.4260913616541793	0.45095532117774056	0.43609585157377023	0.4297729908054828	0.35955149895763616	0.36900081334106594	0.3969029259350515	0.3812886848897377	0.4216354362809796	0.43341880093542146	0.5064046880298079	0.46900492892515555
