	CM009	CM021	CM025	CM039	CM086	CM110	CM118	CM176	CM179	CM181	CM182	CM183	CM184	CM198	CM199	CM213	CM219	CM222	CM229	CM230	CM246	CM253	CM257	CM259	CM260	CM261	CM262	CM271	CM293	CM362	CM372	CM383	CM436	CM437	CM438	CM439	CM441	CM443	CM444	CM452	CM469	CM471	CM535	CM538	CM540	CM557
CM009	0.0	0.07289011769075737	0.06485007936508128	0.14314921689372395	0.14303673493558447	0.19439485702573842	0.19756217472192886	0.09527880717360383	0.09852024689871469	0.0924328235144846	0.10399501304175526	0.09320997828810292	0.0842530718231779	0.12812393286274393	0.12509677374494563	0.1313277515080174	0.13847735806556064	0.15195439871678865	0.1509232615454178	0.17030666679781373	0.0870043838679431	0.11993187782666652	0.07589692078026611	0.09149393021139413	0.07682843031179144	0.13005029091028336	0.10660418198115927	0.0918948643378897	0.12534680384493574	0.18574086625903707	0.0794427768368519	0.14532098652155367	0.09873732714971457	0.08753049718584291	0.06666239772779717	0.08161239745466495	0.07118048825159992	0.07965467414482498	0.0773490040915878	0.06824030679646051	0.08532016114546963	0.09926403454271233	0.10610963473431351	0.12814192439250538	0.13326822194430807	0.13093959620813894
CM021	0.07289011769075737	0.0	0.04535425739464427	0.1302573225027419	0.10880792976572486	0.18758783196521142	0.1946061547337647	0.07155268503164136	0.06942830508619749	0.06404269837628176	0.07354118950170985	0.05885387347783413	0.05548815277741087	0.08368056721728281	0.07966515854611067	0.12103466910273174	0.1156005276104253	0.12126633447011297	0.13415066676840198	0.13591399367402396	0.07141384251189506	0.0864563956812548	0.0792361747453674	0.09555330404111073	0.08050217617120765	0.08998043765724341	0.07604850363628222	0.06992805696291474	0.08374220419719525	0.16493703930919898	0.062321606839906694	0.12474401141437205	0.12823424867768204	0.11309449906502961	0.08942648532386646	0.11077484526480208	0.07001823399179107	0.09438107874222172	0.07648180727706523	0.07031099887318018	0.07391088110333234	0.0920716855812646	0.08846413933369304	0.11656947895637117	0.12481590252738549	0.09973095958223764
CM025	0.06485007936508128	0.04535425739464427	0.0	0.14789382720847086	0.13692795451984602	0.19961339874083783	0.20494352761126927	0.0787289192805569	0.08010353945202289	0.0824249268434125	0.08687155181090728	0.0754099053146268	0.06607665558202515	0.10749435116154112	0.10599450570517101	0.1311181657866683	0.12261500543935779	0.12929644079705133	0.12923068667471777	0.14529537056684377	0.07937404027224729	0.09481276973624786	0.07359602284497174	0.09150193178894606	0.07509661101108617	0.10163378974223486	0.08125148980814581	0.06902246900078657	0.09741967818462113	0.17381986916762243	0.06565239063115953	0.15016548919110653	0.11929250804167171	0.10400450043841424	0.08088631797785088	0.10433084561634264	0.06261761288838283	0.09012121199677507	0.06658656770834925	0.05973775105669071	0.061387489831687576	0.08543624060835553	0.08071590043124793	0.11579069160254869	0.12099744513144904	0.12102545458097769
CM039	0.14314921689372395	0.1302573225027419	0.14789382720847086	0.0	0.11236513377502827	0.1953954880220875	0.20611645123756844	0.16492873518261858	0.14476859603382367	0.1562066350640212	0.16378916614110076	0.15359283315466266	0.15679574403619564	0.1307120773853048	0.11818686221263316	0.11282116469296784	0.1466125443862962	0.15205972805830356	0.15566661505883256	0.13947457200687824	0.15234104250014432	0.13085814641100688	0.1754257350367282	0.19449213927614006	0.1796289475198271	0.12979135603306696	0.1411732620698909	0.16638992579224013	0.11888022848398563	0.21071379056478345	0.14916756915997958	0.14769787454208966	0.1914106226836175	0.1853642615142646	0.1599908073683072	0.1780266396514358	0.16823481268467888	0.17780835193228983	0.17339827508427486	0.16488186323601506	0.1534924525834504	0.143205222070109	0.13791292750449471	0.0985652454797137	0.11857860125206487	0.09127745187618701
CM086	0.14303673493558447	0.10880792976572486	0.13692795451984602	0.11236513377502827	0.0	0.18813175088757533	0.19783895915224675	0.11261284375842506	0.09870273116321139	0.10190832156110592	0.12299953642033983	0.10103134890486865	0.10869317386687241	0.08860766535257886	0.0835650387979219	0.09638343270374353	0.08535022074364895	0.10141031857791703	0.1169608037791886	0.1022876642857329	0.10850462134067856	0.10368790945138301	0.12250311148246994	0.1361108224380213	0.1222940534311358	0.09730696793337898	0.11811528812556712	0.14853257024981834	0.10549629002394724	0.2081639155968923	0.10587084624749654	0.14261547732028607	0.16486251062343388	0.15830809560914572	0.14308418606178236	0.14575472900745576	0.12715805100178038	0.13177600666167383	0.14265242234068765	0.13880480726834368	0.15407948341999975	0.15212093206076385	0.14857385084492097	0.13183833411485338	0.14390027221693116	0.04536688217121064
CM110	0.19439485702573842	0.18758783196521142	0.19961339874083783	0.1953954880220875	0.18813175088757533	0.0	0.049398792610579646	0.21201204897717346	0.20956409856917274	0.18725909703970384	0.1942699857764799	0.19227124110257027	0.19122146308296434	0.19790905564677974	0.17717080756406992	0.20432861274662142	0.24984937877255176	0.2627913264881977	0.28430705167110715	0.2662023021187068	0.19403977496617208	0.239509157506621	0.18222474481353698	0.20324838456422117	0.1886073005513264	0.24746325898929247	0.23529464951333678	0.23364191394868603	0.22068291912955557	0.21556849516826343	0.17490936352004868	0.14893586794017166	0.20659233474387767	0.2034484596609538	0.18783310260847794	0.1890564521938282	0.1833573630092937	0.18776982461868036	0.19436272716432212	0.19066115085377547	0.2112454824107588	0.23912640577268135	0.24873994007099032	0.26397400017418815	0.27617028248146674	0.20133026208787685
CM118	0.19756217472192886	0.1946061547337647	0.20494352761126927	0.20611645123756844	0.19783895915224675	0.049398792610579646	0.0	0.21567410221871142	0.21347542041422812	0.19486723878597612	0.2037209184607484	0.19894436022176598	0.2003867608933034	0.20247233356776415	0.1831854151576338	0.2197868844794483	0.2585398027735598	0.2711884351341871	0.2936420890724882	0.275863717293588	0.2035905904016963	0.2481502945315324	0.1885429768731613	0.19400320062085405	0.19389476079886422	0.2563821988869319	0.24454192938048558	0.24200860179051892	0.23202732012541022	0.2231793549003624	0.18281685959181312	0.15400219253240735	0.19853356773917172	0.19503253631483836	0.1979828504035021	0.18415084213511312	0.18493344129912084	0.17835842769724908	0.1896710918402332	0.18273621504085089	0.21993837756985213	0.24893119619445767	0.2540141479484383	0.2697884767964141	0.2839012747014373	0.21313775989977693
CM176	0.09527880717360383	0.07155268503164136	0.0787289192805569	0.16492873518261858	0.11261284375842506	0.21201204897717346	0.21567410221871142	0.0	0.03308369130121929	0.0388134604166095	0.05415151579609571	0.033700424042985996	0.04018810371372863	0.0801198672940101	0.0791615006744169	0.1124958060884403	0.08293164059664165	0.11025165250622139	0.10769667857183901	0.1412802217087942	0.04951657033754862	0.0753152272260892	0.06080742851343703	0.06914698987513655	0.05602360634306979	0.08801428142303797	0.06808374588147988	0.06469569410290477	0.09501599946750519	0.19047743199528744	0.07787828169146249	0.15325931542635568	0.10707851153382093	0.09744987292038232	0.08498208480506167	0.09525731734330639	0.06842688897938193	0.0834011224861403	0.08986275415505603	0.08479306384027338	0.10433601847849598	0.08533274866683954	0.09168576159384913	0.12982639089767867	0.12364089845021548	0.1255893694443519
CM179	0.09852024689871469	0.06942830508619749	0.08010353945202289	0.14476859603382367	0.09870273116321139	0.20956409856917274	0.21347542041422812	0.03308369130121929	0.0	0.05523041147043012	0.06806438745931662	0.044029255099728375	0.04737517470708157	0.06587615036846721	0.06462871324860667	0.11209716139335242	0.08447812013713821	0.1003709844995373	0.10852895369436664	0.12326714694526486	0.06372204614691869	0.06032882820093422	0.07834540130411473	0.09010267949004691	0.07413031269687442	0.07242089572951005	0.055247674184197786	0.07602724600270627	0.0756403303898504	0.18951945389223057	0.07437378567350159	0.15015278854956193	0.12160088176569027	0.11063973429190356	0.09891933457993932	0.10881719008707477	0.0832807650272012	0.09556538365588105	0.09160813828935285	0.08984923217069159	0.10276783151297264	0.09624189685577125	0.0812323528208737	0.11134267547217161	0.11454016579582874	0.10954045726077544
CM181	0.0924328235144846	0.06404269837628176	0.0824249268434125	0.1562066350640212	0.10190832156110592	0.18725909703970384	0.19486723878597612	0.0388134604166095	0.05523041147043012	0.0	0.0372588028215904	0.022417909178057593	0.03802677691613379	0.08353722446391838	0.07505501596137688	0.10001953082825149	0.09032305689453853	0.11560937514545284	0.12445336207612952	0.14809186004986016	0.04701770704028396	0.08760817661797324	0.05048646713175247	0.057447805519088874	0.04621505082095542	0.10381385886573648	0.08007243507907061	0.07266540355311947	0.10546608176453985	0.18470155409065883	0.07455451354694119	0.13867172846539538	0.10168915531737813	0.09487654944405277	0.08319420878087123	0.08613835685508092	0.06095330811521536	0.06943259458445097	0.08463569756564293	0.08043729012791946	0.10550650166622116	0.09496596200123081	0.10415318438696748	0.14175087385193852	0.1347083260071334	0.11743227411281298
