	CM009	CM021	CM086	CM110	CM176	CM179	CM181	CM184	CM198	CM199	CM222	CM246	CM257	CM259	CM260	CM261	CM262	CM293	CM362	CM372	CM436	CM437	CM438	CM444	CM452	CM469	CM471	CM538	CM557
CM009	0.0	0.23526723624081064	0.34394993045897077	0.4852175640770912	0.2996820981521955	0.3118815815616928	0.28940989469501294	0.30758990661633223	0.3708722431949136	0.37222332604808267	0.3524538048877409	0.3016491158354858	0.27085237432942577	0.2900854361215975	0.2733757202463739	0.3450029803298232	0.32950526524935425	0.3471090800715279	0.6754222133916153	0.2826544804291675	0.30403337969401945	0.28680707331611366	0.2716868666799126	0.28249552950526524	0.26836876614345323	0.3024637393204848	0.32630637790582157	0.3825352672362408	0.3109676137492549
CM021	0.23526723624081064	0.0	0.27933637989270815	0.48082654480429166	0.2579177428968806	0.2558315120206636	0.24893701569640372	0.23496920325849394	0.30721239817206436	0.3044903636002384	0.28124379097953506	0.28611166302404134	0.26226902443870453	0.27665408305185774	0.2578382674349295	0.26443473077687263	0.27162726008344923	0.2591297436916352	0.6564871845817604	0.22493542618716472	0.35426187164712897	0.32511424597655475	0.2938803894297636	0.22926683886350088	0.22110073514802306	0.2705543413471091	0.3358434333399563	0.38650904033379696	0.252533280349692
CM086	0.34394993045897077	0.27933637989270815	0.0	0.37343532684283726	0.24196304391019272	0.22553149215179813	0.22549175442082256	0.22809457579972184	0.2705543413471091	0.26175243393602227	0.26073912179614545	0.25416252731969	0.2396185177826346	0.25662626664017485	0.23566461355056625	0.2775879197297834	0.29926485197695213	0.264673157162726	0.65416252731969	0.23556526922312737	0.3441883568448242	0.3326246771309358	0.3128154182396185	0.29616530896085835	0.2883568448241605	0.34369163520762963	0.36689847009735743	0.3918935028809855	0.17134909596662032
CM110	0.4852175640770912	0.48082654480429166	0.37343532684283726	0.0	0.4721438505861315	0.4680906020266243	0.41033181005364594	0.42276971984899664	0.46123584343333995	0.42521359030399364	0.4901450427180608	0.4222729982118021	0.4103516789191337	0.44945360619908603	0.4323663818795947	0.5293264454599642	0.5229088019074111	0.5091992847208424	0.7083051857738923	0.43856546791178225	0.4537055434134711	0.4493145241406716	0.42656467315716273	0.4444466520961653	0.440492747864097	0.5107689250943771	0.5297039539042321	0.5889131730578184	0.4231670971587522
CM176	0.2996820981521955	0.2579177428968806	0.24196304391019272	0.4721438505861315	0.0	0.09431750447049474	0.1713689648321081	0.17178621100735147	0.2444466520961653	0.24468507848201868	0.2460758990661633	0.21271607391217962	0.1885157957480628	0.19117822372342538	0.17077289886747465	0.2357440890125174	0.225273196900457	0.2613153188952911	0.6379296642161733	0.23129346314325452	0.28074706934234056	0.276356050069541	0.2742896880588118	0.24273792966421617	0.24398966818994636	0.2966421617325651	0.31295450029803296	0.3930061593483012	0.28400556328233656
CM179	0.3118815815616928	0.2558315120206636	0.22553149215179813	0.4680906020266243	0.09431750447049474	0.0	0.19165507649513214	0.16922312735942777	0.2368567454798331	0.2310152990264256	0.2373733359825154	0.22569044307570038	0.20437115040731174	0.21589509239022453	0.1864494337373336	0.21051062984303595	0.21637194516193126	0.23407510431154382	0.6332207430955692	0.2227895887144844	0.30673554540035763	0.29256904430757	0.28984700973574407	0.2496920325849394	0.26409696006358035	0.2861514007550169	0.3219749652294854	0.37101132525332803	0.27057421021259687
CM181	0.28940989469501294	0.24893701569640372	0.22549175442082256	0.41033181005364594	0.1713689648321081	0.19165507649513214	0.0	0.13411484204251936	0.25396383866481226	0.2362408106497119	0.2165308960858335	0.19175442082257102	0.1344128750248361	0.13457182594873832	0.12183588317107093	0.2343930061593483	0.20854361215974568	0.2762368368766143	0.6384263858533678	0.22374329425789788	0.24544009537055433	0.23936022253129347	0.2356248758195907	0.20590105304987086	0.2081064971190145	0.2837075303000199	0.30673554540035763	0.3811444466520962	0.27200476852771704
CM184	0.30758990661633223	0.23496920325849394	0.22809457579972184	0.42276971984899664	0.17178621100735147	0.16922312735942777	0.13411484204251936	0.0	0.2535267236240811	0.23957878005165906	0.22410093383667792	0.19723822769719848	0.1302801510033777	0.15773892310749058	0.13266441486191138	0.20172859129743692	0.19145638784025432	0.24859924498311148	0.6321875620902047	0.19276773296244784	0.2746473276375919	0.2448638982714087	0.2323465130141069	0.16413669779455592	0.1728789986091794	0.24752632624677132	0.29584740711305385	0.3458772104112855	0.2592489568845619
CM198	0.3708722431949136	0.30721239817206436	0.2705543413471091	0.46123584343333995	0.2444466520961653	0.2368567454798331	0.25396383866481226	0.2535267236240811	0.0	0.1122193522749851	0.30435128154182395	0.32036558712497515	0.28178025034770515	0.27613749254917547	0.25722233260480826	0.2669183389628452	0.2623484999006557	0.27633618120405323	0.64619511225909	0.28422412080270215	0.3639976157361415	0.3580369560898073	0.36926286509040335	0.29715875223524735	0.3201668984700974	0.33649910590105303	0.37466719650307967	0.41627260083449236	0.3140472878998609
CM199	0.37222332604808267	0.3044903636002384	0.26175243393602227	0.42521359030399364	0.24468507848201868	0.2310152990264256	0.2362408106497119	0.23957878005165906	0.1122193522749851	0.0	0.29688058811841844	0.3150208623087622	0.2770514603616134	0.28189946354063183	0.2566063977746871	0.26987879992052455	0.2614742698191933	0.27631631233856546	0.6360222531293463	0.2799721835883171	0.3750447049473475	0.36775283131333203	0.36433538644943375	0.2966818994635406	0.3176832902841248	0.3434134710908007	0.37613749254917545	0.4159745678521756	0.3062785614941387
