	CM009	CM021	CM086	CM110	CM176	CM179	CM181	CM184	CM198	CM199	CM222	CM246	CM257	CM259	CM260	CM261	CM262	CM293	CM362	CM372	CM436	CM437	CM438	CM444	CM452	CM469	CM471	CM538	CM557
CM009	0.0	0.4543828264758497	0.5446428571428571	0.662015503875969	0.517829457364341	0.5330634278002699	0.5899280575539568	0.5530546623794212	0.6019900497512438	0.5935085007727975	0.6077348066298343	0.5391014975041597	0.5779334500875657	0.5543859649122806	0.5612903225806452	0.5775401069518716	0.5921501706484642	0.5483870967741935	0.8123827392120075	0.546617915904936	0.6158301158301158	0.56	0.5354477611940298	0.531578947368421	0.5435897435897435	0.5523978685612788	0.6221374045801527	0.6068222621184919	0.5408618127786032
CM021	0.4543828264758497	0.0	0.544	0.6479591836734694	0.5370675453047776	0.5607344632768362	0.5417515274949084	0.5195729537366548	0.5960144927536232	0.5966666666666667	0.5814432989690722	0.5638297872340425	0.546875	0.5377176015473888	0.5415929203539823	0.5487077534791253	0.5662878787878788	0.5038022813688213	0.7978723404255319	0.494824016563147	0.6162046908315565	0.5606694560669456	0.5544354838709677	0.498046875	0.5066666666666667	0.5324165029469549	0.6173361522198731	0.6090373280943026	0.5281803542673108
CM086	0.5446428571428571	0.544	0.0	0.5	0.4120443740095087	0.4153846153846154	0.5098743267504489	0.4311774461028192	0.537828947368421	0.5359877488514548	0.5523465703971119	0.5072697899838449	0.49473684210526314	0.4843205574912892	0.43926788685524126	0.5498281786941581	0.5361344537815126	0.5058043117744611	0.8087719298245614	0.4846846846846847	0.6252252252252253	0.5905096660808435	0.5622837370242214	0.5033898305084745	0.4882154882154882	0.5357142857142857	0.6236559139784946	0.6067796610169491	0.4587706146926537
CM110	0.662015503875969	0.6479591836734694	0.5	0.0	0.567043618739903	0.5861111111111111	0.5104166666666666	0.5160714285714286	0.5850091407678245	0.5959933222036727	0.6008146639511202	0.5681415929203539	0.5431372549019607	0.5368217054263565	0.5117540687160941	0.6114285714285714	0.6153846153846154	0.6401384083044983	0.8200836820083682	0.6118546845124283	0.6271186440677966	0.6008146639511202	0.5849802371541502	0.5482041587901701	0.5606617647058824	0.6133828996282528	0.6563786008230452	0.6834264432029795	0.58887171561051
CM176	0.517829457364341	0.5370675453047776	0.4120443740095087	0.567043618739903	0.0	0.3442622950819672	0.4783427495291902	0.4013840830449827	0.48426573426573427	0.4935483870967742	0.5227272727272727	0.46075085324232085	0.4575645756457565	0.45255474452554745	0.4097222222222222	0.5	0.48663101604278075	0.45789473684210524	0.7878228782287823	0.48333333333333334	0.5804597701149425	0.5365853658536586	0.5210237659963437	0.45143884892086333	0.46045694200351495	0.5044563279857398	0.5871212121212122	0.5865724381625441	0.45941807044410415
CM179	0.5330634278002699	0.5607344632768362	0.4153846153846154	0.5861111111111111	0.3442622950819672	0.0	0.5441860465116279	0.41353383458646614	0.5301914580265096	0.5042134831460674	0.5919629057187017	0.4831130690161527	0.5191424196018377	0.4868624420401855	0.4442793462109955	0.5450381679389313	0.5351270553064275	0.4880239520958084	0.8256333830104322	0.5362095531587057	0.6417445482866043	0.5897832817337462	0.5604900459418071	0.5105105105105106	0.5081481481481481	0.5479041916167665	0.65284178187404	0.6248153618906942	0.47587131367292224
CM181	0.5899280575539568	0.5417515274949084	0.5098743267504489	0.5104166666666666	0.4783427495291902	0.5441860465116279	0.0	0.41014799154334036	0.524416135881104	0.5088062622309197	0.47619047619047616	0.4791666666666667	0.42280285035629456	0.3592233009708738	0.39655172413793105	0.45605700712589076	0.4820627802690583	0.5178197064989518	0.7369791666666666	0.44844124700239807	0.49868073878627966	0.4723618090452261	0.4650602409638554	0.4013921113689095	0.45614035087719296	0.4875283446712018	0.5577889447236181	0.579185520361991	0.5291005291005291
CM184	0.5530546623794212	0.5195729537366548	0.4311774461028192	0.5160714285714286	0.4013840830449827	0.41353383458646614	0.41014799154334036	0.0	0.4669187145557656	0.46234676007005254	0.4979253112033195	0.43911439114391143	0.3917525773195876	0.3465553235908142	0.34615384615384615	0.4493927125506073	0.451171875	0.47026022304832715	0.7608247422680412	0.4709418837675351	0.5578947368421052	0.5010351966873706	0.4757085020242915	0.3996023856858847	0.41392649903288203	0.4796116504854369	0.5743801652892562	0.5637065637065637	0.48242811501597443
CM198	0.6019900497512438	0.5960144927536232	0.537828947368421	0.5850091407678245	0.48426573426573427	0.5301914580265096	0.524416135881104	0.4669187145557656	0.0	0.4119922630560928	0.5562770562770563	0.5628415300546448	0.49375	0.49075975359342916	0.4849056603773585	0.49469214437367304	0.5101214574898786	0.5464895635673624	0.7664399092970522	0.5413223140495868	0.5855855855855856	0.5747863247863247	0.5824847250509165	0.504	0.5411089866156787	0.5303643724696356	0.6118421052631579	0.6149193548387096	0.5914826498422713
CM199	0.5935085007727975	0.5966666666666667	0.5359877488514548	0.5959933222036727	0.4935483870967742	0.5042134831460674	0.5088062622309197	0.46234676007005254	0.4119922630560928	0.0	0.5719844357976653	0.561344537815126	0.5066162570888468	0.4781783681214421	0.4547069271758437	0.510556621880998	0.5102040816326531	0.5487804878048781	0.7876984126984127	0.5415094339622641	0.621031746031746	0.5938697318007663	0.5764925373134329	0.5127737226277372	0.5335689045936396	0.5555555555555556	0.6274509803921569	0.6190476190476191	0.5671641791044776
