	CM009	CM021	CM086	CM110	CM176	CM179	CM181	CM184	CM198	CM199	CM222	CM246	CM257	CM259	CM260	CM261	CM262	CM293	CM362	CM372	CM436	CM437	CM438	CM444	CM452	CM469	CM471	CM538	CM557
CM009	0.0	0.3402406161235864	0.4335872886851385	0.5368956522548264	0.4053864881932437	0.43866752134256726	0.43151841042413513	0.38832107802670424	0.44204800797827154	0.43052279898689244	0.44705609850458167	0.3900310184364141	0.41170831129911967	0.40682085041945476	0.4032441670782692	0.4635152752600488	0.4743916138683061	0.45039765866566	0.686831164717023	0.42659151663484046	0.47224496046943765	0.399579225387602	0.39772416721133863	0.4062306329971432	0.4248293139821095	0.42494837861164364	0.45913000609481924	0.5061408231491622	0.44516529071405375
CM021	0.3402406161235864	0.0	0.43060135039180675	0.5448753745044621	0.39934769226128075	0.43606546503515786	0.40821943329429033	0.37915218101289233	0.4458860741518886	0.4279362363715704	0.4110175717765053	0.40700834486854526	0.38098154689178987	0.39847610859523774	0.3753481354383675	0.4122905529814759	0.43914548678477605	0.40218019860277376	0.6694745065767147	0.40863424877340326	0.46672648338687417	0.4240550804794265	0.4298710813253158	0.358800874934907	0.3888909531033722	0.41161285955832877	0.46132682516293205	0.4876551397204373	0.444360865590523
CM086	0.4335872886851385	0.43060135039180675	0.0	0.3996016553618705	0.3480204658830279	0.37974941865368583	0.4008539434767276	0.3476500258821782	0.44390696364161497	0.4032250364231305	0.44727779859098526	0.39987035783554914	0.4011230496112361	0.3824123027340989	0.3330576986500912	0.4634424158546394	0.4379388897468065	0.4514050774882555	0.7073870968030833	0.43047084846188943	0.5124779983646163	0.45031275830894485	0.44173489102860736	0.40257527977450225	0.4093319830691944	0.4553002748674396	0.48758205462096554	0.5276530326270177	0.40398726858201145
CM110	0.5368956522548264	0.5448753745044621	0.3996016553618705	0.0	0.4982739579445429	0.4626557343831608	0.4741682282742114	0.4572054835746494	0.5420839376720379	0.5207069514864419	0.5420475751700747	0.4961043469778913	0.5181208712334192	0.5101617191159058	0.44647970030611966	0.5672462267611195	0.5364645964301714	0.536599216123773	0.7523130614996486	0.567425500377962	0.5171962594392521	0.5237042808824426	0.4772036925996904	0.5085229033220722	0.4564651357808984	0.5555220024617898	0.582581631402747	0.6143841821111994	0.44697869283572983
CM176	0.4053864881932437	0.39934769226128075	0.3480204658830279	0.4982739579445429	0.0	0.32109835658885094	0.3293188343496845	0.2975636399639504	0.392978555528445	0.3665372541082469	0.362211768901659	0.2809147437560794	0.34792335390574297	0.3399883899826791	0.2954565583150708	0.3768879015329844	0.34820898618608775	0.39302377123404375	0.6711592208347641	0.4085696862613644	0.4261581334342179	0.36588792252153884	0.37391756740668214	0.3266762529698958	0.3516586047818629	0.42526955649635645	0.42958332719009057	0.45789328868929985	0.39815054856707177
CM179	0.43866752134256726	0.43606546503515786	0.37974941865368583	0.4626557343831608	0.32109835658885094	0.0	0.4195749428617965	0.34821145433671463	0.44738381074684735	0.40003014314893753	0.47686427657477476	0.3859036161333747	0.4577444562288915	0.4105240500655903	0.3388441533361257	0.47524198212215124	0.4489732415457224	0.43479375731141623	0.7352866820758533	0.4782392923329839	0.472170901332153	0.46743785561178974	0.4105135988675576	0.41939180538780224	0.3580647459570164	0.476180929113731	0.5411395178117926	0.5493337867850087	0.37761358936809064
CM181	0.43151841042413513	0.40821943329429033	0.4008539434767276	0.4741682282742114	0.3293188343496845	0.4195749428617965	0.0	0.2885889399999634	0.4004889319269294	0.40297598738354445	0.3641687209831591	0.33909943270536336	0.35549607163495395	0.2890156323057419	0.2748391403142641	0.3665694694622268	0.350492262077671	0.41858557494540444	0.6350220795758904	0.39200086460295724	0.4086356509506232	0.3585628206306749	0.3692879601158697	0.31022834725561765	0.37541370865290813	0.3673071172260156	0.42031803933761125	0.4636448615874598	0.45347984682322484
CM184	0.38832107802670424	0.37915218101289233	0.3476500258821782	0.4572054835746494	0.2975636399639504	0.34821145433671463	0.2885889399999634	0.0	0.3797367438758444	0.33970623964477736	0.35753430739404074	0.3227699672473026	0.32088105487058877	0.25824151295157133	0.22747952496823262	0.36494149444115365	0.3372264506050774	0.3960998837710414	0.6495813370459375	0.4096407552595121	0.4316941419706277	0.3395133026635577	0.3425772563374817	0.3030119833983333	0.32892048041079625	0.3546364515893117	0.4119383020268047	0.46075803432731816	0.40987953492201495
CM198	0.44204800797827154	0.4458860741518886	0.44390696364161497	0.5420839376720379	0.392978555528445	0.44738381074684735	0.4004889319269294	0.3797367438758444	0.0	0.33444158167568416	0.40627813419875974	0.4079247836974713	0.3804652288825889	0.35742960841927535	0.36411875415714484	0.3931759436810028	0.396751027134827	0.45891437594827206	0.6399973597835384	0.44014616136313417	0.42751675029316566	0.408810442135047	0.4303191822124876	0.36742375551102296	0.4063095548212937	0.40186159269003247	0.44682156899813563	0.4736713067415719	0.4730540080402226
CM199	0.43052279898689244	0.4279362363715704	0.4032250364231305	0.5207069514864419	0.3665372541082469	0.40003014314893753	0.40297598738354445	0.33970623964477736	0.33444158167568416	0.0	0.4189167141063781	0.3785284554925095	0.4097314056192771	0.3582229717302828	0.33780424105091483	0.4192916343062131	0.4103362435488745	0.45880847021741233	0.6879210508410335	0.4397241731928597	0.4776283293319696	0.42860588860038645	0.42076026389927085	0.3844926808341586	0.40655990799370234	0.4443618063742641	0.47574419485742897	0.503151630747785	0.44670845473922965
